ticker,name,sr_score,sr_total,hist_agree,ret_3d,ret_5d,ret_10d,ret_1m,ret_3m,mom_3m,mom_1m,mom_10d,mom_5d,pred_3d_avg,pred_3d_winrate,pred_3d_n,pred_5d_avg,pred_5d_winrate,pred_5d_n,pred_10d_avg,pred_10d_winrate,pred_10d_n
AAXJ,Asia ex-Jpn,3.5,10,bullish,3.7,1.11,1.42,-2.37,10.13,0.41,-1.1,0.06,0.18,,,61.0,,,61.0,,,61.0
ACWI,ACWI,3.2,10,bullish,1.53,-0.31,-0.75,-2.29,0.59,-0.76,-1.05,-0.57,-0.34,,,71.0,,,71.0,,,71.0
ACWX,ACWX,3.2,10,bullish,2.06,-0.09,-0.57,-4.12,4.57,-0.64,-1.73,-0.49,-0.23,,,71.0,,,71.0,,,71.0
AFK,Africa,3.0,10,bullish,1.46,-2.36,-3.21,-8.73,5.01,-1.49,-2.0,-1.19,-0.96,,,61.0,,,61.0,,,61.0
AGF,AGF,0.1,10,bearish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.06,,,46.0,,,46.0,,,46.0
AGG,Agg Bond,0.0,10,bullish,0.46,-0.36,-0.82,-1.23,-0.07,-0.66,-1.87,-1.19,-0.66,,,84.0,,,84.0,,,84.0
AIA,AIA,3.1,10,bullish,5.29,2.13,2.78,-0.42,18.19,0.96,-0.62,0.23,0.36,,,71.0,,,71.0,,,71.0
AIQ,AIQ,3.3,10,bullish,2.65,0.42,2.19,0.87,-1.27,-0.75,-0.19,0.23,-0.06,,,35.0,,,35.0,,,35.0
AIRR,AIRR,4.4,10,bullish,1.94,-0.77,-4.89,-6.5,10.74,0.03,-1.82,-1.62,-0.56,,,38.0,,,38.0,,,38.0
ALAI,ALAI,4.5,10,bullish,1.65,0.47,2.96,0.23,-5.81,-0.84,-0.31,0.28,-0.1,,,7.0,,,7.0,,,7.0
AMG,AMG,3.4,10,bullish,5.28,1.38,-8.25,-13.67,2.63,-0.89,-2.0,-2.0,0.05,,,100.0,,,100.0,,,100.0
APIE,APIE,0.0,10,bearish,1.43,-1.37,-2.06,-5.85,-0.82,-1.65,-1.87,-0.85,-0.69,,,14.0,,,14.0,,,14.0
APO,APO,8.2,10,bullish,8.46,0.57,1.6,-13.02,-26.52,-1.67,-1.16,0.31,0.16,,,46.0,,,46.0,,,46.0
ARES,ARES,4.4,10,bullish,7.58,-4.42,-7.79,-22.41,-40.23,-2.0,-1.59,-0.81,-0.67,,,38.0,,,38.0,,,38.0
ARGT,ARGT,3.7,10,bullish,0.74,-0.67,1.19,-5.5,-3.46,-0.46,-0.62,0.08,-0.16,,,46.0,,,46.0,,,46.0
ARKF,ARKF,3.9,10,bullish,4.28,1.24,4.99,10.86,-15.82,-0.84,0.81,0.55,0.14,,,33.0,,,33.0,,,33.0
ARKG,ARKG,2.5,10,bullish,2.87,-3.62,-7.4,-5.08,-10.86,-1.07,-0.66,-1.13,-0.74,,,38.0,,,38.0,,,38.0
ARKK,ARKK,4.5,10,bullish,3.41,0.22,1.09,3.99,-9.13,-0.74,0.09,-0.08,-0.13,,,38.0,,,38.0,,,38.0
ARKQ,ARKQ,4.0,10,bullish,1.98,0.25,0.26,-0.58,5.76,-0.44,-0.55,-0.34,-0.22,,,38.0,,,38.0,,,38.0
ARKW,ARKW,3.9,10,bullish,3.36,1.46,4.37,6.58,-15.27,-0.87,0.36,0.4,0.13,,,38.0,,,38.0,,,38.0
ARKX,ARKX,3.6,10,bullish,1.93,0.32,-0.06,0.96,10.46,-0.19,-0.38,-0.37,-0.19,,,27.0,,,27.0,,,27.0
ARTY,ARTY,3.6,10,bullish,4.16,2.32,4.49,-1.51,5.1,-0.21,-0.54,0.53,0.36,,,35.0,,,35.0,,,35.0
ASEA,ASEA,3.0,10,bullish,2.51,1.19,0.46,-2.68,7.22,0.46,-1.18,-0.14,0.32,,,46.0,,,46.0,,,46.0
ASHR,ASHR,4.1,10,bullish,0.12,-0.03,1.75,-0.12,2.03,-0.6,-0.53,0.28,-0.21,,,38.0,,,38.0,,,38.0
AVDE,AVDE,3.7,10,bullish,0.95,-0.91,-2.26,-5.16,4.62,-0.86,-2.0,-1.08,-0.6,,,33.0,,,33.0,,,33.0
AVDV,AVDV,3.8,10,bullish,0.01,-2.15,-4.28,-6.41,7.62,-0.67,-2.0,-1.71,-1.1,,,33.0,,,33.0,,,33.0
AVEM,AVEM,3.2,10,bullish,3.3,0.42,0.3,-3.35,8.98,0.11,-1.45,-0.29,-0.08,,,33.0,,,33.0,,,33.0
AVES,AVES,3.2,10,bullish,2.45,0.85,-0.82,-4.33,6.54,-0.14,-1.73,-0.58,0.13,,,33.0,,,33.0,,,33.0
AVIV,AVIV,3.9,10,bullish,0.85,-0.42,-1.91,-4.65,5.61,-0.82,-1.98,-0.98,-0.41,,,33.0,,,33.0,,,33.0
AVNM,AVNM,0.2,10,bearish,1.46,-0.54,-1.65,-4.59,6.16,-0.52,-1.96,-0.91,-0.47,,,14.0,,,14.0,,,14.0
BAI,BAI,3.8,10,bullish,2.52,0.35,2.12,-1.04,1.33,-0.34,-0.44,0.1,-0.12,,,6.0,,,6.0,,,6.0
BAM,BAM,5.9,10,bullish,3.74,-1.18,-3.9,-15.0,-16.8,-1.3,-1.61,-0.61,-0.27,,,14.0,,,14.0,,,14.0
BATT,BATT,4.6,10,bullish,0.27,-1.64,-0.92,-2.85,8.85,-0.41,-1.07,-0.59,-0.65,,,35.0,,,35.0,,,35.0
BBCA,BBCA,4.0,10,bullish,0.99,-0.5,-1.2,0.53,4.7,-0.63,-0.7,-1.05,-0.6,,,35.0,,,35.0,,,35.0
BBEU,BBEU,3.3,10,bullish,1.16,-0.39,-1.4,-4.66,2.45,-1.05,-1.7,-0.68,-0.31,,,35.0,,,35.0,,,35.0
