ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,potential_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
AJG,215.81,215.35,0.21,OPTIMAL,95,1.48,0.9,210.45,2.55,,,,0.295,-79.5,72.9,77.0,clean,85.2,WARNING,-19.1,0,Deep Decline,1.87,-0.32,-14.58,XLF,index,Index,10.0,False,False,"{'grade': 'OK', 'median_mae': -4.21, 'median_ttg': 2.0, 'prob_good': 32.9, 'prob_bad': 46.8}",84.3
SKYY,113.1,112.01,0.97,OPTIMAL,95,1.48,0.9,112.66,0.39,,,,0.528,55.7,60.8,273.0,clean,94.8,WARNING,-15.4,0,Deep Decline,0.48,1.5,-12.88,XLK,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",83.0
CLOU,19.89,19.38,2.62,OPTIMAL,95,1.48,0.9,19.76,0.64,,,,0.705,94.7,64.5,188.0,clean,88.6,WARNING,-14.2,0,Deep Decline,1.64,5.07,-12.69,XLK,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",82.4
AXON,498.02,497.63,0.08,OPTIMAL,95,1.48,0.9,504.42,-1.27,,,,0.004,-21.5,70.4,95.0,clean,81.1,WARNING,-23.4,0,Deep Decline,1.71,14.77,-11.59,XLK,equity,Equity,11.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.13, 'median_ttg': 2.0, 'prob_good': 27.5, 'prob_bad': 53.2}",82.2
AMD,202.34,202.03,0.15,OPTIMAL,95,1.48,0.9,200.05,1.15,,,,0.041,-22.7,63.4,208.0,clean,88.4,WARNING,-24.2,1,Basing,2.93,1.09,0.64,XLK,equity,Equity,16.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",82.0
HUBS,258.5,256.13,0.93,OPTIMAL,95,1.48,0.9,262.22,-1.42,,,,0.075,77.2,61.0,267.0,clean,91.3,WARNING,-36.5,0,Deep Decline,-2.29,10.71,-33.72,,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",82.0
APP,459.31,441.37,4.06,OPTIMAL,95,1.48,0.9,454.34,1.09,,,,0.144,115.0,54.0,504.0,clean,95.2,WARNING,-37.8,0,Deep Decline,1.32,9.7,-33.85,XLK,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",80.7
LQDA,36.08,35.44,1.81,OPTIMAL,95,1.48,0.9,37.07,-2.66,,,,0.59,247.4,84.5,19.0,clean,56.4,CAUTION,-22.7,2,Sustained Uptrend,1.06,7.41,7.16,,equity,Equity,7.0,True,False,"{'grade': 'ROUGH', 'median_mae': -5.42, 'median_ttg': 1.0, 'prob_good': 27.3, 'prob_bad': 52.7}",79.7
JD,27.41,27.38,0.14,OPTIMAL,95,1.48,0.9,28.0,-2.1,,,,0.245,71.0,59.5,321.0,clean,83.6,WARNING,-11.5,1,Basing,-3.77,0.02,-4.81,VXUS,index,Index,6.0,False,False,"{'grade': 'OK', 'median_mae': -4.21, 'median_ttg': 2.0, 'prob_good': 32.9, 'prob_bad': 46.8}",79.2
SPGI,427.26,425.21,0.48,OPTIMAL,95,1.48,0.9,427.06,0.05,,,,0.005,-7.9,59.9,303.0,clean,81.8,WARNING,-22.6,0,Deep Decline,0.16,2.34,-15.68,XLF,bond,Bond,4.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -1.18, 'median_ttg': 2.0, 'prob_good': 50.9, 'prob_bad': 37.7}",78.8
