target_date,section,similar_date,score,event,fwd_5d,fwd_10d,fwd_21d
2026-03-27,25Y_broad,2026-03-26,0.9076,,,,
2026-03-27,25Y_broad,2026-03-25,0.8927,,,,
2026-03-27,25Y_broad,2026-03-24,0.8073,,,,
2026-03-27,25Y_broad,2026-03-23,0.795,,,,
2026-03-27,25Y_broad,2026-03-20,0.78,,,,
2026-03-27,25Y_broad,2026-03-19,0.7314,,,,
2026-03-27,25Y_broad,2026-03-18,0.7013,,,,
2026-03-27,25Y_broad,2022-05-13,0.6874,,,,
2026-03-27,25Y_broad,2022-05-16,0.6857,,,,
2026-03-27,25Y_broad,2026-03-13,0.6802,,,,
2026-03-27,25Y_broad,2022-05-19,0.6679,,,,
2026-03-27,25Y_broad,2026-03-17,0.6619,,,,
2026-03-27,25Y_broad,2010-02-11,0.6576,,,,
2026-03-27,25Y_broad,2022-05-06,0.6567,,,,
2026-03-27,25Y_broad,2010-02-16,0.6482,,,,
2026-03-27,25Y_broad,2021-10-05,0.6458,,,,
2026-03-27,25Y_broad,2010-02-18,0.6436,,,,
2026-03-27,25Y_broad,2022-05-09,0.6424,,,,
2026-03-27,25Y_broad,2005-04-05,0.6423,,,,
2026-03-27,25Y_broad,2010-05-28,0.6401,,,,
2026-03-27,25Y_broad,2023-10-13,0.6395,,,,
2026-03-27,25Y_broad,2025-01-10,0.6386,,,,
2026-03-27,25Y_broad,2021-10-06,0.6379,,,,
2026-03-27,25Y_broad,2010-02-12,0.6359,,,,
2026-03-27,25Y_broad,2022-05-12,0.6299,,,,
2026-03-27,25Y_broad,2010-06-01,0.6291,,,,
2026-03-27,25Y_broad,2022-05-02,0.6281,,,,
2026-03-27,25Y_broad,2025-01-02,0.6277,,,,
2026-03-27,25Y_broad,2025-01-13,0.6262,,,,
2026-03-27,25Y_broad,2010-06-02,0.6253,,,,
2026-03-27,25Y_broad,2022-05-05,0.625,,,,
2026-03-27,25Y_broad,2004-05-17,0.6247,,,,
2026-03-27,25Y_broad,2026-03-12,0.6246,,,,
2026-03-27,25Y_broad,2010-02-17,0.6224,,,,
2026-03-27,25Y_broad,2022-04-29,0.6218,,,,
2026-03-27,25Y_broad,2004-05-06,0.6216,,,,
2026-03-27,25Y_broad,2026-03-16,0.6211,,,,
2026-03-27,25Y_broad,2022-05-18,0.6187,,,,
2026-03-27,25Y_broad,2022-05-17,0.6178,,,,
2026-03-27,25Y_broad,2022-05-03,0.6156,,,,
2026-03-27,25Y_broad,2023-10-12,0.6155,,,,
2026-03-27,25Y_broad,2024-12-31,0.6119,,,,
2026-03-27,25Y_broad,2013-06-28,0.6112,,,,
2026-03-27,25Y_broad,2023-10-10,0.6112,,,,
2026-03-27,25Y_broad,2025-01-08,0.61,,,,
2026-03-27,25Y_broad,2016-01-25,0.6046,,,,
2026-03-27,25Y_broad,2004-05-05,0.6027,,,,
2026-03-27,25Y_broad,2016-01-27,0.6027,,,,
2026-03-27,25Y_broad,2021-10-08,0.6021,,,,
2026-03-27,25Y_broad,2025-01-07,0.6018,,,,
2026-03-27,25Y_broad,2022-05-20,0.6002,,,,
2026-03-27,25Y_broad,2021-10-01,0.5988,,,,
2026-03-27,25Y_broad,2004-05-21,0.5983,,,,
2026-03-27,25Y_broad,2004-05-18,0.5979,,,,
2026-03-27,25Y_broad,2021-10-12,0.5931,,,,
2026-03-27,25Y_broad,2021-12-06,0.592,,,,
2026-03-27,25Y_broad,2010-06-11,0.5919,,,,
2026-03-27,25Y_broad,2023-10-11,0.5909,,,,
2026-03-27,25Y_broad,2021-10-07,0.5901,,,,
2026-03-27,25Y_broad,2008-10-22,0.588,,,,
2026-03-27,25Y_broad,2002-09-30,0.5879,,,,
2026-03-27,25Y_broad,2008-07-07,0.5854,,,,
2026-03-27,25Y_broad,2005-04-01,0.5846,,,,
2026-03-27,25Y_broad,2020-03-25,0.5842,,,,
2026-03-27,25Y_broad,2016-01-26,0.5839,,,,
2026-03-27,25Y_broad,2016-01-28,0.5826,,,,
2026-03-27,25Y_broad,2020-03-27,0.5826,,,,
2026-03-27,25Y_broad,2004-05-14,0.5813,,,,
2026-03-27,25Y_broad,2008-10-13,0.5808,,,,
