ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,potential_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
ETSY,54.16,52.58,3.01,OPTIMAL,95,1.48,0.9,53.86,0.56,,,,0.063,36.9,77.7,64.0,clean,75.4,WARNING,-16.0,1,Basing,4.17,22.95,0.76,XLF,equity,Equity,37.0,False,False,"{'grade': 'OK', 'median_mae': -3.12, 'median_ttg': 1.0, 'prob_good': 39.2, 'prob_bad': 38.3}",83.0
ASTS,91.9,89.21,3.01,OPTIMAL,95,1.48,0.9,89.59,2.58,,,,0.223,118.9,94.1,5.0,clean,44.1,CAUTION,-29.2,3,Parabolic,5.52,8.85,34.42,XLI,equity,Equity,11.0,False,False,"{'grade': 'OK', 'median_mae': -3.47, 'median_ttg': 2.0, 'prob_good': 37.2, 'prob_bad': 43.3}",79.4
JD,27.92,27.42,1.82,OPTIMAL,95,1.48,0.9,27.98,-0.19,,,,0.217,66.7,63.2,275.0,clean,78.9,WARNING,-9.9,1,Basing,-0.07,1.86,-3.22,VXUS,index,Index,6.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -2.68, 'median_ttg': 1.0, 'prob_good': 42.7, 'prob_bad': 35.9}",79.0
HUBS,257.95,254.13,1.5,OPTIMAL,95,1.48,0.9,268.39,-3.89,,,,0.238,152.1,56.8,451.0,clean,83.5,WARNING,-36.6,0,Deep Decline,0.12,3.12,-30.35,,equity,Equity,27.0,False,False,"{'grade': 'OK', 'median_mae': -4.1, 'median_ttg': 1.0, 'prob_good': 35.0, 'prob_bad': 46.6}",78.2
PANW,168.88,159.61,5.81,OPTIMAL,90,1.5,1.11,167.02,1.11,,,,0.844,229.7,67.1,194.0,clean,76.6,WARNING,-13.9,0,Deep Decline,0.45,10.85,-9.73,,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.66, 'median_ttg': 1.0, 'prob_good': 24.8, 'prob_bad': 49.7}",78.0
SAIC,96.88,91.59,5.78,OPTIMAL,90,1.5,1.11,93.62,3.48,,,,0.471,87.0,78.7,54.0,clean,62.5,WARNING,-16.1,1,Basing,5.83,9.37,-3.46,XLF,equity,Equity,11.0,False,False,"{'grade': 'OK', 'median_mae': -3.8, 'median_ttg': 2.0, 'prob_good': 31.2, 'prob_bad': 42.9}",77.8
CLNFF,57.0,55.51,2.68,OPTIMAL,95,1.48,0.9,58.97,-3.33,,,,0.129,67.7,83.8,25.0,clean,49.1,CAUTION,-8.5,3,Parabolic,-4.27,6.48,37.25,XLB,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -3.17, 'median_ttg': 1.0, 'prob_good': 38.9, 'prob_bad': 40.3}",77.3
VRSN,239.27,227.84,5.02,OPTIMAL,90,1.5,1.11,239.58,-0.13,,,,0.716,165.2,77.9,61.0,clean,61.9,WARNING,-6.4,1,Basing,1.75,9.48,-1.23,,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.66, 'median_ttg': 1.0, 'prob_good': 24.8, 'prob_bad': 49.7}",77.3
SKYY,112.52,112.07,0.4,OPTIMAL,95,1.48,0.9,112.77,-0.23,,,,0.323,42.9,50.9,583.0,clean,87.2,WARNING,-15.9,0,Deep Decline,0.71,-0.82,-13.38,XLK,equity,Equity,27.0,False,False,"{'grade': 'OK', 'median_mae': -4.1, 'median_ttg': 1.0, 'prob_good': 35.0, 'prob_bad': 46.6}",77.2
PYPL,44.07,44.0,0.15,OPTIMAL,95,1.48,0.9,45.32,-2.77,,,,0.04,29.6,49.2,635.0,clean,88.7,BREAKDOWN,-29.4,0,Deep Decline,-0.66,6.31,-28.15,XLC,equity,Equity,27.0,False,False,"{'grade': 'OK', 'median_mae': -4.1, 'median_ttg': 1.0, 'prob_good': 35.0, 'prob_bad': 46.6}",77.1
NTR,76.6,74.37,2.99,OPTIMAL,95,1.48,0.9,78.6,-2.55,,,,0.657,148.1,80.8,40.0,clean,51.0,CAUTION,-10.3,3,Parabolic,-8.74,8.99,23.85,XLE,sector,Sector,34.0,False,False,"{'grade': 'OK', 'median_mae': -3.56, 'median_ttg': 2.0, 'prob_good': 36.2, 'prob_bad': 41.8}",76.8
INTU,452.15,421.64,7.24,OPTIMAL,90,1.5,1.11,453.49,-0.29,,,,0.637,290.5,62.4,289.0,clean,77.0,WARNING,-33.4,0,Deep Decline,3.91,16.06,-32.45,XLF,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.66, 'median_ttg': 1.0, 'prob_good': 24.8, 'prob_bad': 49.7}",76.4
LQDA,36.83,35.87,2.69,OPTIMAL,95,1.48,0.9,36.95,-0.34,,,,0.481,219.1,75.6,81.0,clean,55.4,WARNING,-21.1,3,Parabolic,-2.0,5.35,4.45,,equity,Equity,7.0,True,False,"{'grade': 'OK', 'median_mae': -3.5, 'median_ttg': 1.0, 'prob_good': 35.8, 'prob_bad': 41.8}",76.3
