ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,combined_score
CORN,18.63,17.74,5.02,OPTIMAL,90,1.5,1.11,18.17,2.56,,,,0.815,76.1,69.7,121.0,clean,76.0,CAUTION,-1.1,1,Basing,2.43,6.72,3.8,DBA,commodity,Commodity,21.0,False,False,78.7
WEC,115.67,114.03,1.44,OPTIMAL,95,1.48,0.9,115.88,-0.19,,,,0.19,20.4,59.3,188.0,clean,82.4,HEALTHY,-1.6,2,Sustained Uptrend,-0.36,2.44,10.54,XLU,equity,Equity,2.0,False,False,78.7
GEV,838.59,818.18,2.49,OPTIMAL,95,1.48,0.9,840.24,-0.2,,,,0.04,25.2,57.0,198.0,clean,84.8,HEALTHY,-6.3,3,Parabolic,2.84,6.04,34.11,XLI,bond,Bond,20.0,False,False,78.6
CME,310.52,307.89,0.86,OPTIMAL,95,1.48,0.9,316.58,-1.91,,,,0.258,53.3,70.6,115.0,clean,68.4,CAUTION,-5.7,2,Sustained Uptrend,-1.99,1.23,14.96,,equity,Equity,19.0,False,False,78.5
LBRT,30.41,26.73,13.76,GOOD,60,1.52,-0.9,28.21,7.78,,,,0.637,162.7,88.9,16.0,clean,88.0,HEALTHY,0.0,3,Parabolic,9.27,25.66,53.97,XLI,commodity,Commodity,9.0,False,False,78.5
WM,241.84,234.21,3.25,OPTIMAL,95,1.48,0.9,242.43,-0.25,,,,0.413,66.1,60.6,183.0,clean,79.8,CAUTION,-2.5,2,Sustained Uptrend,-1.73,4.37,15.54,,equity,Equity,2.0,False,False,78.4
SNDK,621.03,611.06,1.63,OPTIMAL,95,1.48,0.9,599.24,3.64,,,,0.052,-52.2,59.3,188.0,clean,80.4,HEALTHY,-14.3,3,Parabolic,9.8,14.66,182.98,XLK,equity,Equity,16.0,False,False,78.1
AROC,35.41,33.46,5.83,OPTIMAL,90,1.5,1.11,36.08,-1.84,,,,0.753,176.6,64.5,161.0,clean,79.9,CAUTION,-5.0,3,Parabolic,-1.09,11.11,39.91,XLI,equity,Equity,,False,False,78.0
CEF,53.38,52.1,2.45,OPTIMAL,95,1.48,0.12,53.86,-0.91,,,,0.287,90.1,80.3,56.0,clean,54.9,CAUTION,-13.0,3,Parabolic,2.35,3.44,25.5,IAU,miner,Miner,5.0,False,False,77.8
EBAY,90.34,87.77,2.93,OPTIMAL,95,1.48,0.9,91.19,-0.93,,,,0.814,184.5,57.8,195.0,clean,79.9,CAUTION,-7.8,2,Sustained Uptrend,-2.9,3.27,7.69,XLC,index,Index,1.0,False,False,77.5
