ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
PKX,88.94,0.8,12.02,40.93,43.22,65.41,91.68,14.93,3.41,1.06,1.51,2.12,4,True,True,True,True,True,10.22,32.71,60.76,7.94,26.27,47.33,10.16,41.58,54.68,2.36,VXUS,0.65,1.26,clean,1.409,normal,none,87.80375974323705,97.11141678129297,98.83081155433288,94.6,1
BELFB,290.46,1.24,5.3,27.23,39.64,88.3,316.07,4.26,5.14,1.46,2.23,7.97,4,True,True,True,True,True,3.5,19.01,285.15,1.23,12.57,271.72,3.45,27.88,279.07,1.0428,VXUS,0.56,-0.06,clean,1.147,normal,none,90.03897294818891,97.11141678129297,93.87895460797799,93.7,2
ICHR,71.23,-1.77,7.97,35.24,149.75,352.83,345.19,-4.52,4.42,4.25,2.36,2.31,4,True,True,True,True,True,6.18,27.02,314.27,3.9,20.58,300.83,6.12,35.89,308.19,1.0217,XLI,0.51,-0.19,clean,1.65,confirmed,none,85.69463548830811,97.11141678129297,93.74140302613479,92.2,3
BELFA,259.66,1.95,6.66,21.34,36.33,92.94,312.16,3.41,3.21,1.7,2.56,8.59,4,True,True,True,True,True,4.86,13.12,281.24,2.59,6.68,267.8,4.8,21.99,275.16,0.5595,VXUS,0.56,-0.1,clean,0.699,thin,none,90.38858321870701,97.11141678129297,88.37689133425035,92.0,4
MXL,82.37,1.4,16.42,330.36,381.41,475.21,679.28,11.7,20.11,1.15,1.25,1.78,3,True,True,True,True,True,14.63,322.13,648.36,12.35,315.7,634.93,14.57,331.01,642.28,2.1178,XLK,0.38,-0.18,clean,1.895,confirmed,none,97.64442916093536,79.7455295735901,98.69325997248968,92.0,4
ELA,23.27,21.26,32.14,36.24,81.94,144.18,250.45,1.51,1.13,2.26,1.76,3.06,3,True,True,True,True,True,30.34,28.02,219.53,28.07,21.58,206.1,30.29,36.89,213.45,3.7798,,,3.73,overextended,1.551,confirmed,none,96.54974782209996,79.7455295735901,99.58734525447042,92.0,4
STRO,39.83,5.68,8.77,47.25,172.81,290.49,319.26,1.54,5.39,3.66,1.68,1.85,3,True,True,True,True,True,6.97,39.03,288.34,4.69,32.59,274.91,6.91,47.9,282.26,2.837,,,-0.12,clean,1.056,normal,none,96.67583677212286,79.7455295735901,99.10591471801926,91.8,7
REX,48.68,1.37,0.37,9.32,40.73,53.32,145.12,0.27,25.11,4.37,1.31,3.56,4,True,True,True,True,True,-1.43,1.1,114.2,-3.7,-5.34,100.76,-1.48,9.97,108.12,1.8379,XLE,0.55,-1.44,clean,0.796,normal,none,77.52751031636863,97.11141678129297,98.00550206327372,90.9,8
EFXT,28.39,4.95,5.85,35.32,68.59,125.14,326.28,1.18,6.03,1.94,1.82,4.76,3,True,True,True,True,True,4.06,27.1,295.36,1.78,20.66,281.92,4.0,35.97,289.28,1.1092,,,0.28,clean,0.964,normal,none,93.71847776249427,79.7455295735901,94.15405777166438,89.2,9
ANAB,66.96,-0.59,1.87,53.26,109.71,189.12,399.33,-3.15,28.46,2.06,1.72,3.64,4,True,True,True,True,True,0.07,45.04,368.41,-2.2,38.6,354.97,0.02,53.91,362.33,0.1318,QQQ,0.36,-0.96,clean,0.803,normal,buy_today,86.82943603851443,97.11141678129297,82.9436038514443,89.0,10
