ticker,name,sr_score,sr_total,hist_agree,ret_3d,ret_5d,ret_10d,ret_1m,ret_3m,mom_3m,mom_1m,mom_10d,mom_5d,pred_3d_avg,pred_3d_winrate,pred_3d_n,pred_5d_avg,pred_5d_winrate,pred_5d_n,pred_10d_avg,pred_10d_winrate,pred_10d_n
AAXJ,Asia ex-Jpn,3.9,10,bullish,-1.66,-2.99,-2.51,-8.19,7.73,-0.05,-2.0,-1.0,-1.29,,,74.0,,,74.0,,,74.0
ACWI,ACWI,3.7,10,bullish,-0.3,-1.55,-2.63,-5.65,-0.3,-0.93,-1.94,-1.23,-0.88,,,78.0,,,78.0,,,78.0
ACWX,ACWX,3.9,10,bullish,-0.66,-2.14,-2.79,-8.07,3.27,-1.0,-2.0,-1.18,-1.07,,,78.0,,,78.0,,,78.0
AFK,Africa,3.3,10,bullish,-2.82,-4.7,-7.95,-15.73,-3.35,-2.0,-2.0,-2.0,-1.6,,,74.0,,,74.0,,,74.0
AGF,AGF,0.0,10,bearish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.06,,,60.0,,,60.0,,,60.0
AGG,Agg Bond,0.2,10,bullish,-0.38,-0.6,-1.43,-1.88,-1.31,-1.7,-2.0,-1.96,-1.05,,,92.0,,,92.0,,,92.0
AIA,AIA,4.0,10,bullish,-1.12,-2.02,-0.3,-5.83,16.92,0.77,-1.41,-0.39,-0.78,,,78.0,,,78.0,,,78.0
AIQ,AIQ,3.8,10,bullish,-0.73,-1.67,-2.64,-2.74,-2.58,-0.88,-0.75,-0.84,-0.66,,,35.0,,,35.0,,,35.0
AIRR,AIRR,4.2,10,bullish,0.78,0.58,-1.72,-8.82,12.45,0.14,-2.0,-0.85,-0.12,,,42.0,,,42.0,,,42.0
ALAI,ALAI,3.4,10,bullish,-0.09,-1.13,-0.64,-2.18,-4.73,-0.79,-0.65,-0.45,-0.52,,,3.0,,,3.0,,,3.0
AMG,AMG,3.7,10,bullish,0.61,1.56,-1.49,-3.6,0.91,-1.04,-1.19,-0.7,0.11,,,100.0,,,100.0,,,100.0
APIE,APIE,4.0,10,bullish,-1.29,-3.4,-3.77,-9.87,-4.17,-2.0,-2.0,-1.33,-1.45,,,11.0,,,11.0,,,11.0
APO,APO,6.2,10,bullish,0.12,7.62,2.95,-7.01,-23.9,-1.47,-0.56,0.5,1.46,,,57.0,,,57.0,,,57.0
ARES,ARES,4.9,10,bullish,0.6,6.07,-2.06,-13.44,-36.03,-1.75,-0.9,-0.13,1.11,,,42.0,,,42.0,,,42.0
ARGT,ARGT,4.1,10,bullish,0.55,1.75,0.38,-8.74,-4.35,-0.53,-0.91,-0.02,0.25,,,57.0,,,57.0,,,57.0
ARKF,ARKF,0.5,10,bearish,-0.77,-2.1,-3.0,4.31,-16.94,-0.88,0.24,-0.53,-0.5,,,35.0,,,35.0,,,35.0
ARKG,ARKG,4.5,10,bullish,1.25,0.45,-7.43,-7.43,-8.0,-0.88,-0.94,-1.11,0.0,,,42.0,,,42.0,,,42.0
ARKK,ARKK,4.7,10,bullish,-1.58,-2.46,-5.4,-1.69,-10.69,-0.82,-0.43,-0.95,-0.61,,,42.0,,,42.0,,,42.0
ARKQ,ARKQ,4.4,10,bullish,-1.48,-1.72,-3.68,-6.23,3.89,-0.57,-1.18,-0.96,-0.62,,,42.0,,,42.0,,,42.0
ARKW,ARKW,4.7,10,bullish,-0.04,-0.92,-1.23,3.88,-14.86,-0.86,0.11,-0.36,-0.31,,,42.0,,,42.0,,,42.0
ARKX,ARKX,0.3,10,bearish,-1.55,-1.52,-3.59,-5.45,9.95,-0.24,-1.05,-0.91,-0.57,,,27.0,,,27.0,,,27.0
ARTY,ARTY,3.9,10,bullish,-2.11,-2.31,-1.22,-5.11,3.91,-0.31,-1.03,-0.54,-0.78,,,35.0,,,35.0,,,35.0
ASEA,ASEA,3.6,10,bullish,0.34,1.12,0.96,-5.67,5.41,0.06,-1.91,0.02,0.29,,,57.0,,,57.0,,,57.0
ASHR,ASHR,4.2,10,bullish,-3.15,-4.59,-4.14,-5.88,-2.65,-1.25,-1.92,-1.65,-2.0,,,42.0,,,42.0,,,42.0
AVDE,AVDE,4.6,10,bullish,-1.49,-2.68,-3.91,-9.24,2.32,-1.41,-2.0,-1.54,-1.31,,,35.0,,,35.0,,,35.0
AVDV,AVDV,4.2,10,bullish,-2.44,-3.19,-5.29,-10.77,5.23,-1.15,-2.0,-1.9,-1.44,,,35.0,,,35.0,,,35.0
AVEM,AVEM,3.5,10,bullish,-1.03,-2.19,-2.48,-8.53,7.59,-0.16,-2.0,-1.06,-1.06,,,35.0,,,35.0,,,35.0
AVES,AVES,3.4,10,bullish,-1.09,-2.06,-2.87,-9.48,4.89,-0.47,-2.0,-1.18,-1.04,,,30.0,,,30.0,,,30.0
AVIV,AVIV,4.8,10,bullish,-1.61,-2.45,-3.49,-8.86,3.56,-1.34,-2.0,-1.43,-1.23,,,30.0,,,30.0,,,30.0
AVNM,AVNM,3.9,10,bullish,-1.43,-2.42,-3.36,-9.05,4.07,-1.03,-2.0,-1.41,-1.23,,,11.0,,,11.0,,,11.0
BAI,BAI,3.3,10,bullish,0.23,0.65,1.15,-2.45,6.12,-0.1,-0.67,-0.09,-0.05,,,3.0,,,3.0,,,3.0
BAM,BAM,5.4,10,bullish,-1.34,-0.82,-5.66,-14.24,-17.09,-1.32,-1.54,-0.92,-0.17,,,11.0,,,11.0,,,11.0
BATT,BATT,3.8,10,bullish,-0.49,-4.02,-5.16,-8.31,4.67,-0.7,-1.75,-1.3,-1.15,,,35.0,,,35.0,,,35.0
BBCA,BBCA,4.3,10,bullish,-1.51,-3.38,-4.65,-5.54,0.36,-1.67,-2.0,-2.0,-1.99,,,35.0,,,35.0,,,35.0
BBEU,BBEU,4.6,10,bullish,-1.61,-3.1,-4.25,-10.0,-2.29,-2.0,-2.0,-1.55,-1.41,,,35.0,,,35.0,,,35.0
BBIN,BBIN,4.5,10,bullish,-1.35,-2.71,-3.82,-9.26,-0.98,-1.96,-2.0,-1.4,-1.24,,,35.0,,,35.0,,,35.0
BBJP,BBJP,4.2,10,bullish,-1.09,-2.15,-2.73,-9.03,-1.19,-1.57,-2.0,-0.87,-0.84,,,35.0,,,35.0,,,35.0
BEN,BEN,0.0,10,bearish,1.16,-1.82,-7.12,-13.46,0.19,-0.49,-1.83,-1.41,-0.59,,,100.0,,,100.0,,,100.0
BIL,BIL,0.0,10,neutral,0.03,0.07,0.13,0.01,0.33,2.0,0.17,0.8,0.47,,,79.0,,,79.0,,,79.0
BINV,BINV,3.6,10,bullish,-0.98,-2.25,-4.3,-9.41,0.65,-2.0,-2.0,-1.62,-1.13,,,4.0,,,4.0,,,4.0
BITO,BITO,0.0,10,bearish,-1.28,-5.25,1.52,3.15,-22.76,-0.44,0.71,0.45,-0.71,,,27.0,,,27.0,,,27.0
BITQ,BITQ,0.0,10,bearish,0.24,-2.19,4.43,10.58,5.16,-0.14,0.37,0.19,-0.44,,,31.0,,,31.0,,,31.0
BK,BK,4.6,10,bullish,0.72,0.1,0.34,-2.28,0.91,-1.05,-0.88,-0.27,-0.21,,,100.0,,,100.0,,,100.0
BKCH,BKCH,0.0,10,bearish,1.45,-2.39,4.51,3.33,-2.75,-0.43,-0.12,0.1,-0.41,,,31.0,,,31.0,,,31.0
BKGI,BKGI,4.4,10,bullish,-1.89,-2.57,-1.81,-2.31,8.92,0.19,-1.52,-1.19,-1.55,,,11.0,,,11.0,,,11.0
BKIE,BKIE,4.0,10,bullish,-1.42,-2.88,-4.4,-8.9,-0.74,-1.91,-2.0,-1.65,-1.37,,,31.0,,,31.0,,,31.0
BLK,BLK,3.4,10,bullish,0.71,3.39,1.83,-10.83,-8.43,-0.95,-1.73,0.32,0.9,,,100.0,,,100.0,,,100.0
BLOK,BLOK,3.8,10,bullish,-0.22,-2.71,-1.06,-1.27,-8.31,-0.69,-0.34,-0.32,-0.63,,,42.0,,,42.0,,,42.0
BN,BN,4.3,10,bullish,0.25,0.54,-4.21,-14.42,-12.11,-1.39,-2.0,-0.86,0.06,,,100.0,,,100.0,,,100.0
BND,Total Bond,0.1,10,bullish,-0.43,-0.63,-1.46,-1.93,-1.06,-1.48,-2.0,-2.0,-1.13,,,79.0,,,79.0,,,79.0
BNDX,BNDX,2.0,10,bullish,-0.32,-0.55,-1.14,-2.09,-0.8,-0.42,-2.0,-1.61,-1.1,,,53.0,,,53.0,,,53.0
BNO,BNO,4.7,10,bullish,-6.15,2.71,14.58,44.48,77.48,2.0,2.0,1.46,0.27,,,58.0,,,58.0,,,58.0
BOTZ,BOTZ,4.4,10,bullish,-2.3,-3.79,-5.65,-12.74,-3.7,-0.72,-2.0,-1.25,-1.12,,,42.0,,,42.0,,,42.0
BUZZ,BUZZ,0.1,10,bearish,-2.64,-4.05,-4.32,-1.56,-7.22,-0.85,-0.43,-0.89,-1.03,,,31.0,,,31.0,,,31.0
BWX,BWX,3.2,10,bullish,0.34,-0.2,-1.63,-3.86,-1.89,-0.96,-2.0,-1.11,-0.19,,,78.0,,,78.0,,,78.0
BX,BX,5.2,10,bullish,-4.03,1.71,-1.54,-10.16,-29.13,-1.37,-0.74,-0.1,0.43,,,79.0,,,79.0,,,79.0
CCNR,CCNR,3.4,10,bullish,-1.72,-2.28,-1.6,-3.88,19.69,0.98,-1.64,-0.92,-1.05,,,3.0,,,3.0,,,3.0
CEF,CEF,3.6,10,bullish,-11.4,-15.78,-19.6,-18.39,-2.62,-1.95,-2.0,-2.0,-2.0,,,100.0,,,100.0,,,100.0
CG,CG,4.7,10,bullish,0.17,3.06,-2.09,-10.2,-18.78,-0.93,-0.85,-0.33,0.46,,,53.0,,,53.0,,,53.0
CGDG,CGDG,4.0,10,bullish,-0.66,-2.3,-3.13,-6.24,-0.21,-1.45,-2.0,-1.66,-1.43,,,8.0,,,8.0,,,8.0
