ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,slope_stage,slope_tq_score,spread_support,source_count,sources,sector
PHYS,IAU,136.0,67.9,12.0,88.1,,,,,,3.4,6.0,,,none,4,"['ranker', 'ranker_long', 'secrot', 'stock_secrot']",Financial Services
VIV,VXUS,20.0,83.4,118.0,78.9,,,,,,,5.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Communication Services
RBC,XLI,32.0,81.1,26.0,86.8,,,,,,,5.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
LHX,XLI,34.0,80.7,87.0,80.7,,,,,,,8.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
SII,IAU,36.0,80.4,6.0,89.5,,,,,,3.9,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
ITA,XLI,37.0,80.3,103.0,79.6,,,,,,3.7,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
CW,XLI,47.0,78.7,125.0,78.4,,,,,,,5.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
EIS,XLK,50.0,77.9,86.0,80.8,,,,,,3.6,,,,bullish,3,"['ranker', 'ranker_long', 'secrot']",
XLE,XLE,54.0,76.6,140.0,77.6,,,,,,0.4,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
VDE,XLE,57.0,76.3,148.0,77.3,,,,,,0.4,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
PPA,XLI,74.0,74.3,111.0,79.3,,,,,,3.7,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
IGF,VXUS,76.0,74.0,115.0,79.1,,,,,,4.0,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
XLU,XLU,77.0,73.6,107.0,79.5,,,,,,4.0,,,,bearish,3,"['ranker', 'ranker_long', 'secrot']",
NOC,XLI,83.0,72.9,11.0,88.2,,,,,,,7.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
VPU,XLU,84.0,72.8,131.0,78.3,,,,,,3.8,,,,bearish,3,"['ranker', 'ranker_long', 'secrot']",
NVS,XLV,84.0,72.8,26.0,86.8,,,,,,,6.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Healthcare
CACI,--,109.0,70.2,103.0,79.6,,,,,,,5.0,,,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Technology
IAU,IAU,142.0,67.3,18.0,87.6,,,,,,3.3,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
SGOL,IAU,142.0,67.3,14.0,87.7,,,,,,3.5,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
GLD,IAU,148.0,67.0,14.0,87.7,,,,,,3.3,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
NBTX,--,6.0,91.0,80.0,81.3,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
NYT,XLC,7.0,90.6,59.0,82.8,,,,,,,4.0,,,none,2,"['ranker', 'ranker_long']",Communication Services
AAOI,--,8.0,90.4,36.0,85.3,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
INSW,XLV,9.0,89.4,33.0,85.5,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
TIGO,XLRE,10.0,88.8,76.0,81.6,,,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
TERN,--,11.0,88.4,59.0,82.8,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
ECPG,XLI,13.0,87.8,73.0,81.8,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
APEI,XLY,14.0,87.7,4.0,89.7,,,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
MTZ,XLI,15.0,87.2,49.0,83.4,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Industrials
RTX,XLI,16.0,85.5,145.0,77.5,,,,,,,4.0,,,none,2,"['ranker', 'ranker_long']",Industrials
STNG,--,17.0,84.8,56.0,83.0,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
DNTH,--,18.0,84.7,140.0,77.6,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
EFXT,XLI,19.0,84.4,62.0,82.7,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
WMB,XLE,21.0,83.1,47.0,83.5,,,,,,,2.0,,,none,2,"['ranker', 'ranker_long']",Energy
SLGL,--,22.0,82.5,30.0,86.0,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
GD,XLI,23.0,82.3,131.0,78.3,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Industrials
ORANY,--,26.0,82.0,125.0,78.4,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
TEN,--,28.0,81.8,54.0,83.1,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
SBLK,--,31.0,81.5,40.0,84.7,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
MRNA,--,33.0,81.0,,,,,,,,,6.0,,,none,2,"['ranker', 'stock_secrot']",Healthcare
ISSC,QQQ,35.0,80.5,19.0,87.4,,,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
TRMD,--,38.0,80.0,47.0,83.5,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
MISL,XLI,38.0,80.0,,,,,,,,5.0,,,,none,2,"['ranker', 'secrot']",
TRV,--,38.0,80.0,50.0,83.3,,,,,,,1.0,,,none,2,"['ranker', 'ranker_long']",Financial Services
IYZ,XLI,44.0,79.1,,,,,,,,3.7,,,,none,2,"['ranker', 'secrot']",
SOYB,TLT,45.0,79.0,,,,,,,,3.1,,,,none,2,"['ranker', 'secrot']",
KYMR,--,45.0,79.0,83.0,81.1,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
TJX,--,47.0,78.7,43.0,83.9,,,,,,,1.0,,,bearish,2,"['ranker', 'ranker_long']",Consumer Cyclical
KMI,XLE,49.0,78.2,145.0,77.5,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Energy
NMM,IAU,51.0,77.8,19.0,87.4,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
AROC,XLE,52.0,77.6,25.0,86.9,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
ATI,XLI,58.0,76.2,2.0,92.1,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Industrials
XOM,XLE,58.0,76.2,125.0,78.4,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Energy
ANAB,--,60.0,76.0,57.0,82.9,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
KNX,XLY,61.0,75.9,117.0,79.0,,,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
HCA,--,64.0,75.5,41.0,84.5,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Healthcare
JNJ,XLP,64.0,75.5,66.0,82.5,,,,,,,2.0,,,bearish,2,"['ranker', 'ranker_long']",Healthcare
BP,XLE,67.0,75.1,125.0,78.4,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Energy
ASC,--,69.0,75.0,107.0,79.5,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
CLMT,--,70.0,74.8,1.0,93.8,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
