ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,spread_support,source_count,sources,sector
AU,IAU,4.0,93.2,3.0,93.0,,,,,,,5.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Basic Materials
SII,IAU,6.0,92.0,14.0,89.0,,,,,,5.2,,none,3,"['ranker', 'ranker_long', 'secrot']",
SCCO,IAU,12.0,90.3,80.0,82.5,,,,,,,6.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Basic Materials
MTSI,XLK,16.0,89.5,123.0,79.0,,,,,,,6.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Technology
BKR,XLE,43.0,84.0,143.0,78.1,,,,,,,6.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Energy
CW,XLI,52.0,82.8,135.0,78.5,,,,,,,5.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
RBC,XLI,54.0,82.0,66.0,83.6,,,,,,,5.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
EWY,VXUS,78.0,78.7,20.0,87.6,,,,,,4.9,,none,3,"['ranker', 'ranker_long', 'secrot']",
FLKR,VXUS,85.0,77.6,143.0,78.1,,,,,,4.5,,none,3,"['ranker', 'ranker_long', 'secrot']",
REMX,IAU,95.0,76.2,89.0,81.4,,,,,,5.7,,none,3,"['ranker', 'ranker_long', 'secrot']",
GOEX,IAU,111.0,74.1,22.0,87.5,,,,,,3.5,,none,3,"['ranker', 'ranker_long', 'secrot']",
KGC,IAU,118.0,73.5,33.0,86.7,,,,,,,6.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Basic Materials
LHX,XLI,119.0,73.3,107.0,80.3,,,,,,,8.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
ULTA,--,122.0,73.1,83.0,82.0,,,,,,,5.0,bearish,3,"['ranker', 'ranker_long', 'stock_secrot']",Consumer Cyclical
NVS,XLV,136.0,72.3,54.0,84.4,,,,,,,6.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Healthcare
HALFF,XLC,147.0,71.4,111.0,79.9,,,,,,0.2,,none,3,"['ranker', 'ranker_long', 'secrot']",
PHYS,--,,,41.0,85.6,,,,,,3.2,6.0,none,3,"['ranker_long', 'secrot', 'stock_secrot']",Financial Services
EFXT,--,1.0,96.3,135.0,78.5,,,,,,,,none,2,"['ranker', 'ranker_long']",
GLTO,--,2.0,94.6,131.0,78.6,,,,,,,,none,2,"['ranker', 'ranker_long']",
LINC,--,3.0,93.6,7.0,90.4,,,,,,,,none,2,"['ranker', 'ranker_long']",
HYMC,IAU,5.0,92.4,40.0,85.8,,,,,,,,none,2,"['ranker', 'ranker_long']",
EZPW,XLI,7.0,91.9,13.0,89.1,,,,,,,,none,2,"['ranker', 'ranker_long']",
