ticker,name,sr_score,sr_total,hist_agree,ret_3d,ret_5d,ret_10d,ret_1m,ret_3m,mom_3m,mom_1m,mom_10d,mom_5d,pred_3d_avg,pred_3d_winrate,pred_3d_n,pred_5d_avg,pred_5d_winrate,pred_5d_n,pred_10d_avg,pred_10d_winrate,pred_10d_n
VGIT,VGIT,0.1,10,bullish,0.29,-0.34,-0.62,-1.69,-0.73,-1.34,-2.0,-1.0,-0.69,,,61.0,,,61.0,,,61.0
VGK,Europe,3.0,10,bullish,3.08,-0.78,-3.44,-9.04,-1.93,-1.94,-2.0,-1.25,-0.42,,,77.0,,,77.0,,,77.0
VGLT,VGLT,0.1,10,bullish,1.09,-0.32,-0.58,-3.39,-0.74,-0.26,-1.61,-0.26,-0.18,,,61.0,,,61.0,,,61.0
VGSH,VGSH,0.0,10,bullish,0.08,-0.13,-0.3,-0.79,-0.4,-1.48,-2.0,-1.11,-0.59,,,61.0,,,61.0,,,61.0
VGT,VGT,3.0,10,bullish,1.6,-0.47,-2.53,-2.83,-5.83,-0.9,-0.76,-0.84,-0.29,,,87.0,,,87.0,,,87.0
VHT,VHT,3.5,10,bullish,0.9,-0.41,-4.0,-7.02,-6.33,-1.17,-1.89,-1.42,-0.2,,,87.0,,,87.0,,,87.0
VIG,VIG,3.4,10,bullish,1.46,0.41,-2.23,-4.72,-2.21,-1.06,-1.77,-1.18,0.11,,,73.0,,,73.0,,,73.0
VIS,VIS,3.0,10,bullish,2.59,0.36,-2.28,-6.77,5.15,-0.11,-1.83,-0.95,-0.05,,,77.0,,,77.0,,,77.0
VIXM,VIXM,3.0,10,bearish,-2.5,-0.94,2.5,7.9,12.61,1.08,1.07,0.41,-0.35,,,51.0,,,51.0,,,51.0
VIXY,VIXY,3.0,10,bearish,-4.03,-0.09,7.6,21.68,28.48,1.34,1.41,0.61,0.02,,,51.0,,,51.0,,,51.0
VLUE,Value Factor,3.5,10,bullish,1.57,-0.09,-0.7,-3.84,5.64,-0.31,-1.46,-0.61,-0.29,,,48.0,,,48.0,,,48.0
VMOT,VMOT,2.6,10,bullish,-0.75,-1.26,-3.84,-3.92,-8.64,-2.0,-1.33,-1.42,-0.62,,,38.0,,,38.0,,,38.0
VNM,VNM,2.0,10,bearish,2.34,-1.26,-3.42,-12.65,-9.65,-1.62,-1.95,-0.82,-0.46,,,61.0,,,61.0,,,61.0
VNQ,VNQ,3.0,10,bullish,-0.73,-4.19,-4.91,-7.38,-0.15,-0.15,-2.0,-1.86,-1.95,,,77.0,,,77.0,,,77.0
VNQI,VNQI,3.6,10,bullish,1.15,-2.38,-4.32,-11.26,-1.71,-1.25,-2.0,-1.6,-1.18,,,51.0,,,51.0,,,51.0
VONG,VONG,3.4,10,bullish,1.01,-1.19,-4.22,-4.47,-9.22,-1.25,-1.13,-1.44,-0.56,,,51.0,,,51.0,,,51.0
VOO,S&P 500 (V),3.5,10,bullish,1.31,-0.43,-2.61,-4.18,-3.8,-1.08,-1.41,-1.2,-0.34,,,51.0,,,51.0,,,51.0
VOOV,VOOV,3.8,10,bullish,1.24,0.14,-1.74,-4.58,-1.03,-0.8,-1.72,-0.91,-0.03,,,51.0,,,51.0,,,51.0
VOX,VOX,3.2,10,bullish,-0.48,-1.97,-4.54,-3.9,-5.79,-1.23,-1.13,-1.55,-0.92,,,77.0,,,77.0,,,77.0
VPL,VPL,3.0,10,bullish,3.4,-0.18,-1.87,-7.61,10.49,0.47,-2.0,-0.83,-0.28,,,77.0,,,77.0,,,77.0
VPU,VPU,3.9,10,bullish,2.17,-2.26,-1.19,-3.37,6.76,0.76,-1.3,-0.73,-1.26,,,87.0,,,87.0,,,87.0
VSGX,VSGX,3.7,10,bullish,3.27,-0.55,-3.16,-9.2,0.59,-1.41,-2.0,-1.21,-0.37,,,35.0,,,35.0,,,35.0
VSS,VSS,3.5,10,bullish,3.01,-0.18,-2.94,-7.99,2.16,-0.84,-2.0,-1.23,-0.25,,,61.0,,,61.0,,,61.0
VT,VT,3.0,10,bullish,2.06,-0.49,-2.73,-5.8,-1.56,-1.13,-1.94,-1.25,-0.39,,,69.0,,,69.0,,,69.0
VTI,Total Market,3.3,10,bullish,1.51,-0.26,-2.42,-4.14,-3.68,-1.02,-1.37,-1.1,-0.26,,,97.0,,,97.0,,,97.0
VTIP,VTIP,3.2,10,bullish,-0.32,-0.6,-0.36,0.0,0.73,0.27,-0.12,-0.76,-1.61,,,48.0,,,48.0,,,48.0
VTV,VTV,3.3,10,bullish,1.62,0.47,-0.86,-4.12,3.07,-0.12,-1.65,-0.6,0.11,,,87.0,,,87.0,,,87.0
VUG,Growth (V),3.0,10,bullish,0.93,-1.25,-4.13,-4.22,-9.42,-1.3,-1.06,-1.38,-0.57,,,87.0,,,87.0,,,87.0
VWO,EM (V),0.0,10,bearish,3.38,0.23,-2.2,-7.4,1.66,-0.85,-2.0,-0.92,-0.04,,,77.0,,,77.0,,,77.0
VXUS,VXUS,3.5,10,bullish,3.12,-0.27,-2.53,-7.65,2.6,-1.07,-2.0,-1.1,-0.28,,,51.0,,,51.0,,,51.0
VXX,VXX,3.0,10,bearish,-3.48,0.12,7.63,21.87,28.64,1.33,1.41,0.61,0.04,,,61.0,,,61.0,,,61.0
VXZ,VXZ,3.0,10,bearish,-2.24,-0.56,2.63,8.3,12.71,1.07,1.12,0.43,-0.24,,,61.0,,,61.0,,,61.0
VYMI,VYMI,3.9,10,bullish,3.06,-0.5,-2.24,-7.15,4.27,-0.88,-2.0,-1.05,-0.41,,,38.0,,,38.0,,,38.0
WCMI,WCMI,0.0,10,,3.48,-0.24,-2.53,-6.66,0.06,-1.6,-1.87,-1.0,-0.24,,,,,,,,,
WEAT,WEAT,2.0,10,bullish,-0.77,-2.31,-0.77,3.68,12.25,2.0,0.96,-0.19,-0.94,,,51.0,,,51.0,,,51.0
WGMI,WGMI,2.0,10,bearish,7.35,3.45,3.93,-5.29,-4.1,-0.63,-0.62,-0.07,0.09,,,22.0,,,22.0,,,22.0
WOOD,WOOD,3.0,10,bullish,4.62,0.06,-4.03,-11.59,-1.07,-0.05,-2.0,-0.94,0.09,,,69.0,,,69.0,,,69.0
WT,WT,0.0,10,bearish,12.39,4.35,-5.04,-10.84,17.35,0.08,-1.29,-0.9,0.62,,,100.0,,,100.0,,,100.0
WTAI,WTAI,3.0,10,bullish,2.57,-0.91,-0.91,-1.57,-0.47,-0.6,-0.63,-0.5,-0.44,,,24.0,,,24.0,,,24.0
WWJD,WWJD,3.5,10,bullish,3.01,-0.03,-2.28,-7.3,1.88,-0.99,-2.0,-1.02,-0.16,,,32.0,,,32.0,,,32.0
XAR,XAR,3.0,10,bullish,3.07,-1.55,-3.82,-5.68,6.82,-0.61,-1.4,-1.15,-0.69,,,51.0,,,51.0,,,51.0
XBI,Biotech,3.1,10,bullish,3.43,2.75,-1.54,-3.65,-1.17,-0.73,-1.08,-0.63,0.59,,,73.0,,,73.0,,,73.0
XCEM,XCEM,3.6,10,bullish,3.26,-0.16,-2.65,-8.66,10.41,0.29,-2.0,-1.13,-0.32,,,41.0,,,41.0,,,41.0
XHB,Homebuilders,0.0,10,bearish,3.26,-0.19,-3.54,-15.2,-4.93,-0.63,-2.0,-0.71,-0.07,,,73.0,,,73.0,,,73.0
XLB,Materials,3.3,10,bullish,4.86,1.62,-1.15,-7.67,7.87,0.51,-1.72,-0.47,0.5,,,100.0,,,100.0,,,100.0
XLC,Comm Svc,3.1,10,bullish,-0.71,-1.96,-4.76,-4.07,-4.48,-1.27,-1.22,-1.7,-0.96,,,35.0,,,35.0,,,35.0
XLE,Energy,4.2,10,bullish,2.63,4.18,6.83,10.47,37.69,2.0,1.28,1.2,1.07,,,100.0,,,100.0,,,100.0
XLF,Financials,3.2,10,bullish,0.39,0.61,-0.75,-3.35,-10.94,-2.0,-0.85,-0.26,0.25,,,100.0,,,100.0,,,100.0
