ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,slope_stage,slope_tq_score,health_score,health_verdict,spread_support,source_count,sources,sector
WDC,XLK,11.0,89.1,3.0,91.2,,,,,,,5.0,,,83.1,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
MUFG,VGK,29.0,83.9,54.0,82.9,,,,,,,5.0,,,88.4,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Financial Services
CMI,XLI,36.0,82.9,97.0,80.1,,,,,,,5.0,,,90.3,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Industrials
IBKR,VXUS,40.0,82.3,105.0,79.6,,,,,,,5.0,,,94.0,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Financial Services
CW,XLI,41.0,82.2,49.0,83.5,,,,,,,5.0,,,92.2,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Industrials
SMFG,VGK,44.0,81.7,54.0,82.9,,,,,,,5.0,,,88.1,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Financial Services
STX,XLK,47.0,81.5,5.0,90.2,,,,,,,6.0,,,85.4,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
RBC,XLI,50.0,81.3,19.0,86.3,,,,,,,5.0,,,89.8,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Industrials
DXJ,VXUS,68.0,78.1,68.0,82.0,,,,,,3.2,,,,88.1,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
RVMD,--,71.0,77.7,43.0,83.8,,,,,,,5.0,,,85.4,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Healthcare
DBJP,VXUS,78.0,76.4,78.0,81.3,,,,,,3.4,,,,84.0,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
AMAT,XLK,89.0,75.0,70.0,81.9,,,,,,,5.0,,,81.2,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
MKSI,VXUS,98.0,73.4,70.0,81.9,,,,,,,6.0,,,84.1,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
SYRE,HYG,1.0,95.8,87.0,80.6,,,,,,,,,,85.4,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
AGX,IAU,2.0,95.0,1.0,94.4,,,,,,,,,,82.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
AXSM,XLV,4.0,92.1,9.0,88.8,,,,,,,,,,89.8,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
CRS,XLI,8.0,90.9,26.0,85.1,,,,,,,3.0,,,90.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Industrials
TRVI,XLY,9.0,90.2,137.0,78.3,,,,,,,,,,81.8,HEALTHY,bearish,3,"['ranker', 'ranker_long', 'pullback_health']",
NWPX,XLI,10.0,89.3,6.0,90.0,,,,,,,,,,85.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TH,--,12.0,88.8,116.0,79.3,,,,,,,,,,86.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TVTX,XLY,13.0,88.6,126.0,78.9,,,,,,,,,,84.0,HEALTHY,bearish,3,"['ranker', 'ranker_long', 'pullback_health']",
WWD,XLI,14.0,88.4,31.0,84.7,,,,,,,3.0,,,81.6,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Industrials
MTRN,XLI,15.0,88.0,37.0,84.0,,,,,,,,,,81.9,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
GHM,XLI,16.0,87.4,46.0,83.7,,,,,,,,,,84.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
BELFB,QQQ,17.0,87.3,16.0,86.6,,,,,,,,,,85.5,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",
AXGN,XLV,18.0,87.0,14.0,87.3,,,,,,,,,,90.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
ESE,XLI,19.0,86.9,13.0,87.4,,,,,,,,,,89.8,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
ENVA,XLF,20.0,86.6,23.0,85.6,,,,,,,,,,85.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
LQDA,XLV,21.0,86.1,73.0,81.8,,,,,,,,,,81.9,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
USFD,XLP,22.0,85.9,75.0,81.6,,,,,,,3.0,,,82.8,HEALTHY,bearish,3,"['ranker', 'ranker_long', 'pullback_health']",Consumer Defensive
DVA,--,23.0,85.5,21.0,86.2,,,,,,,,,,83.4,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
HWM,XLI,24.0,85.3,77.0,81.4,,,,,,,2.0,,,89.1,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Industrials
BELFA,QQQ,24.0,85.3,37.0,84.0,,,,,,,,,,87.3,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",
WEBC,--,27.0,84.6,2.0,91.4,,,,,,,,,,89.9,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TD,VGK,29.0,83.9,81.0,81.2,,,,,,,3.0,,,89.4,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Financial Services
ATI,XLI,32.0,83.5,40.0,83.9,,,,,,,3.0,,,88.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Industrials
SIMO,XLK,34.0,83.2,10.0,88.7,,,,,,,,,,82.2,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",
PLXS,XLK,42.0,81.8,58.0,82.8,,,,,,,,,,86.5,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",
BMO,VGK,45.0,81.6,105.0,79.6,,,,,,,3.0,,,91.8,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Financial Services
BNS,VGK,47.0,81.5,85.0,80.7,,,,,,,4.0,,,89.6,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Financial Services
AMG,XLF,51.0,81.1,,,,,,,,4.8,,,,90.6,HEALTHY,none,3,"['ranker', 'secrot', 'pullback_health']",
MAR,VGK,52.0,80.8,29.0,84.9,,,,,,,2.0,,,81.5,HEALTHY,bearish,3,"['ranker', 'ranker_long', 'pullback_health']",Consumer Cyclical
FRO,XLF,54.0,80.5,46.0,83.7,,,,,,,,,,90.1,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TTMI,VXUS,57.0,79.5,19.0,86.3,,,,,,,,,,89.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
DOCN,XLK,58.0,79.4,64.0,82.1,,,,,,,,,,90.1,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",
AZLCZ,XLB,59.0,79.3,17.0,86.5,,,,,,,,,,82.8,HEALTHY,bearish,3,"['ranker', 'ranker_long', 'pullback_health']",
FLXS,--,63.0,78.7,34.0,84.2,,,,,,,,,,93.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
SNX,XLK,63.0,78.7,133.0,78.6,,,,,,,2.0,,,84.7,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",Technology
RY,VGK,66.0,78.5,78.0,81.3,,,,,,,3.0,,,87.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Financial Services
CASY,XLP,70.0,78.0,33.0,84.4,,,,,,,5.0,,,60.0,CAUTION,bearish,3,"['ranker', 'ranker_long', 'stock_secrot']",Consumer Cyclical
MATX,VGK,71.0,77.7,64.0,82.1,,,,,,,,,,84.2,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
CAT,XLI,74.0,77.3,15.0,86.9,,,,,,,3.0,,,87.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Industrials
FTAI,XLI,76.0,77.0,,,,,,,,,7.0,,,83.1,HEALTHY,none,3,"['ranker', 'stock_secrot', 'pullback_health']",Industrials
EWO,VGK,78.0,76.4,,,,,,,,3.6,,,,83.1,HEALTHY,none,3,"['ranker', 'secrot', 'pullback_health']",
GL,XLF,81.0,76.1,35.0,84.1,,,,,,,0.0,,,89.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Financial Services
HEWJ,VXUS,86.0,75.6,,,,,,,,0.1,,,,84.3,HEALTHY,none,3,"['ranker', 'secrot', 'pullback_health']",
HEFA,VGK,95.0,73.5,,,,,,,,3.1,,,,88.0,HEALTHY,none,3,"['ranker', 'secrot', 'pullback_health']",
NVT,XLK,95.0,73.5,142.0,77.7,,,,,,,2.0,,,85.6,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",Industrials
CNO,XLF,98.0,73.4,51.0,83.3,,,,,,,,,,89.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
ITA,XLI,104.0,73.0,,,,,,,,3.6,,,,80.4,HEALTHY,none,3,"['ranker', 'secrot', 'pullback_health']",
KEYS,XLI,105.0,72.9,62.0,82.2,,,,,,,2.0,,,83.5,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",Technology
BEN,XLF,109.0,72.7,,,,,,,,2.1,3.0,,,88.1,HEALTHY,none,3,"['ranker', 'secrot', 'pullback_health']",Financial Services
SEI,QQQ,109.0,72.7,53.0,83.1,,,,,,,,,,84.8,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",
SLAB,QQQ,113.0,72.0,124.0,79.0,,,,,,,,,,82.6,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",
TWIN,XLI,121.0,71.5,141.0,77.8,,,,,,,,,,89.2,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
EWS,VGK,124.0,71.4,,,,,,,,3.4,,,,81.3,HEALTHY,none,3,"['ranker', 'secrot', 'pullback_health']",
CAH,XLV,124.0,71.4,60.0,82.4,,,,,,,1.0,,,80.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Healthcare
CECO,XLI,127.0,71.3,7.0,89.8,,,,,,,,,,83.8,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
INTC,QQQ,130.0,70.8,,,,,,,,,5.0,,,80.1,HEALTHY,bullish,3,"['ranker', 'stock_secrot', 'pullback_health']",Technology
HLT,XLI,132.0,70.5,110.0,79.4,,,,,,,2.0,,,86.3,HEALTHY,bearish,3,"['ranker', 'ranker_long', 'pullback_health']",Consumer Cyclical
UNM,XLF,135.0,70.4,148.0,77.5,,,,,,,0.0,,,82.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Financial Services
PFG,XLF,135.0,70.4,64.0,82.1,,,,,,,2.0,,,86.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Financial Services
VICR,VXUS,138.0,69.9,145.0,77.6,,,,,,,,,,85.2,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
ADEA,XLK,144.0,69.5,82.0,81.1,,,,,,,,,,80.2,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",
KLAC,QQQ,146.0,69.4,85.0,80.7,,,,,,,5.0,,,60.0,CAUTION,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Technology
XPH,XLY,147.0,69.3,,,,,,,,3.1,,,,89.5,HEALTHY,bearish,3,"['ranker', 'secrot', 'pullback_health']",
MU,--,,,89.0,80.5,,,,,,,6.0,,,82.4,HEALTHY,bullish,3,"['ranker_long', 'stock_secrot', 'pullback_health']",Technology
GS,--,,,94.0,80.3,,,,,,,5.0,,,86.9,HEALTHY,none,3,"['ranker_long', 'stock_secrot', 'pullback_health']",Financial Services
KBWB,--,,,124.0,79.0,,,,,,2.4,,,,84.1,HEALTHY,none,3,"['ranker_long', 'secrot', 'pullback_health']",
AIRR,--,,,126.0,78.9,,,,,,3.6,,,,86.7,HEALTHY,none,3,"['ranker_long', 'secrot', 'pullback_health']",
AMKR,--,,,140.0,77.9,,,,,,,6.0,,,80.2,HEALTHY,bullish,3,"['ranker_long', 'stock_secrot', 'pullback_health']",Technology
DFTX,XLV,3.0,92.4,,,,,,,,,,,,85.8,HEALTHY,none,2,"['ranker', 'pullback_health']",
BTSG,QQQ,6.0,91.8,,,,,,,,,,,,84.7,HEALTHY,bullish,2,"['ranker', 'pullback_health']",
ORKA,HYG,26.0,85.0,23.0,85.6,,,,,,,,,,54.3,CAUTION,none,2,"['ranker', 'ranker_long']",
CTRN,XLY,29.0,83.9,,,,,,,,,,,,85.2,HEALTHY,bearish,2,"['ranker', 'pullback_health']",
ROIV,HYG,33.0,83.3,,,,,,,,,1.0,,,84.8,HEALTHY,none,2,"['ranker', 'pullback_health']",Healthcare
STRZ,SPY,38.0,82.6,,,,,,,,,,,,90.9,HEALTHY,none,2,"['ranker', 'pullback_health']",
MRNA,QQQ,39.0,82.5,,,,,,,,,6.0,,,78.4,CAUTION,bullish,2,"['ranker', 'stock_secrot']",Healthcare
SCHL,--,45.0,81.6,29.0,84.9,,,,,,,,,,78.5,CAUTION,none,2,"['ranker', 'ranker_long']",
PLOW,XLB,47.0,81.5,61.0,82.3,,,,,,,,,,69.7,CAUTION,bearish,2,"['ranker', 'ranker_long']",
VIK,VGK,52.0,80.8,,,,,,,,,1.0,,,92.5,HEALTHY,bearish,2,"['ranker', 'pullback_health']",Consumer Cyclical
ROST,XLI,55.0,80.2,43.0,83.8,,,,,,,3.0,,,77.2,CAUTION,bearish,2,"['ranker', 'ranker_long']",Consumer Cyclical
PH,XLI,56.0,80.0,64.0,82.1,,,,,,,3.0,,,57.7,CAUTION,none,2,"['ranker', 'ranker_long']",Industrials
SPHR,VGK,61.0,79.1,,,,,,,,,,,,87.2,HEALTHY,none,2,"['ranker', 'pullback_health']",
MSGE,XLC,62.0,78.9,,,,,,,,,,,,85.2,HEALTHY,none,2,"['ranker', 'pullback_health']",
CNTA,SPY,67.0,78.3,,,,,,,,,,,,86.7,HEALTHY,none,2,"['ranker', 'pullback_health']",
ARWR,XLY,68.0,78.1,,,,,,,,,,,,90.4,HEALTHY,bearish,2,"['ranker', 'pullback_health']",
KYMR,LQD,77.0,76.9,,,,,,,,,,,,87.3,HEALTHY,none,2,"['ranker', 'pullback_health']",
HUBB,XLI,80.0,76.3,68.0,82.0,,,,,,,2.0,,,59.2,CAUTION,none,2,"['ranker', 'ranker_long']",Industrials
ATEX,QQQ,83.0,75.9,12.0,87.9,,,,,,,,,,60.0,CAUTION,bullish,2,"['ranker', 'ranker_long']",
CALY,HYG,83.0,75.9,,,,,,,,,,,,82.8,HEALTHY,none,2,"['ranker', 'pullback_health']",
SEPN,SPY,86.0,75.6,,,,,,,,,,,,92.2,HEALTHY,none,2,"['ranker', 'pullback_health']",
ARQT,VXUS,88.0,75.5,,,,,,,,,,,,85.1,HEALTHY,none,2,"['ranker', 'pullback_health']",
ECPG,XLI,89.0,75.0,31.0,84.7,,,,,,,,,,61.2,CAUTION,none,2,"['ranker', 'ranker_long']",
