ticker,name,sr_score,sr_total,hist_agree,ret_3d,ret_5d,ret_10d,ret_1m,ret_3m,mom_3m,mom_1m,mom_10d,mom_5d,pred_3d_avg,pred_3d_winrate,pred_3d_n,pred_5d_avg,pred_5d_winrate,pred_5d_n,pred_10d_avg,pred_10d_winrate,pred_10d_n
AAXJ,Asia ex-Jpn,2.0,10,bearish,2.45,-2.79,-1.46,3.06,20.13,2.0,-0.07,-0.86,-1.24,,,56.0,,,56.0,,,56.0
ACWI,ACWI,2.1,10,bullish,0.59,-2.07,-1.53,0.76,10.95,1.08,-0.39,-1.08,-1.45,,,58.0,,,58.0,,,58.0
ACWX,ACWX,2.0,10,bullish,2.0,-0.99,-0.41,1.94,10.65,1.18,-0.03,-0.51,-0.68,,,58.0,,,58.0,,,58.0
AFK,Africa,2.0,10,bearish,1.18,-2.52,-3.44,-6.58,1.37,-0.98,-1.55,-1.05,-0.92,,,56.0,,,56.0,,,56.0
AGF,AGF,0.1,10,bullish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.06,,,52.0,,,52.0,,,52.0
AGG,Agg Bond,2.0,10,bullish,0.72,0.22,-0.12,0.25,-0.41,-0.49,0.19,-0.23,0.41,,,78.0,,,78.0,,,78.0
AIA,AIA,2.0,10,bearish,2.36,-3.83,-1.65,5.46,31.1,2.0,0.03,-0.9,-1.36,,,58.0,,,58.0,,,58.0
AIQ,AIQ,0.0,10,bearish,-0.76,-6.05,-3.6,4.8,31.61,1.88,0.09,-1.18,-1.97,,,26.0,,,26.0,,,26.0
AIRR,AIRR,0.0,10,bearish,0.2,-2.59,-1.61,-0.73,17.5,0.44,-0.94,-0.91,-1.2,,,28.0,,,28.0,,,28.0
AIS,AIS,0.0,10,,2.99,-5.0,-1.45,12.22,77.18,2.0,0.19,-0.87,-1.4,,,,,,,,,
ALAI,ALAI,0.0,10,,-1.17,-5.57,-4.38,1.94,27.16,0.91,-0.3,-1.33,-1.89,,,,,,,,,
AMG,AMG,2.7,10,bullish,2.29,2.84,13.66,14.19,27.33,0.89,1.31,2.0,0.39,,,100.0,,,100.0,,,100.0
AMLP,AMLP,0.2,10,bullish,-0.53,-1.77,-0.25,-3.26,0.48,-0.26,-1.42,-0.29,-1.25,,,53.0,,,53.0,,,53.0
APIE,APIE,2.0,10,bearish,1.75,-1.19,-0.31,1.11,7.76,0.58,-0.11,-0.37,-0.72,,,4.0,,,4.0,,,4.0
