ticker,price,ret_1m,ret_3m,ret_6m,ret_1y,ret_5y,ret_10y,ratio_3m_1m,ratio_6m_3m,ratio_1y_6m,ratio_5y_1y,ratio_10y_5y,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1y,vs_spy_5y,vs_spy_10y,vs_qqq_1y,vs_qqq_5y,vs_qqq_10y,vs_iau_1y,vs_iau_5y,vs_iau_10y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,strong_flag,score_returns,score_ratios,score_spy_days,history_depth,score_depth,score,rank
AGX,697.15,21.21,95.96,133.68,339.01,1310.09,1989.15,4.52,1.39,2.54,3.86,1.52,4,True,True,True,True,True,310.44,1238.12,1744.96,299.32,1212.27,1471.72,299.4,1159.0,1733.03,0.6215,,,0.48,clean,0.729,thin,none,strong_buy,92.30566012812892,96.22052704576977,96.25520110957004,6,100.0,96.2,1
MUSA,592.81,17.99,38.64,63.1,18.92,315.37,892.48,2.15,1.63,0.3,16.67,2.83,4,True,True,True,True,True,-9.65,243.4,648.3,-20.78,217.55,375.05,-20.7,164.27,636.36,0.6772,,,1.7,clean,1.143,normal,none,strong_buy,76.70893600158509,96.22052704576977,96.39389736477115,6,100.0,91.5,2
EXCE,23.0,20.1,12.2,53.03,158.43,1269.05,52172.73,0.61,4.35,2.99,8.01,41.11,4,True,True,True,True,True,129.86,1197.08,51928.54,118.73,1171.23,51655.29,118.81,1117.95,51916.61,-0.2478,,,1.65,clean,,normal,none,strong_buy,81.8390462981309,96.22052704576977,84.39667128987517,6,100.0,90.7,3
REX,51.16,12.66,49.11,59.92,155.16,268.59,470.35,3.88,1.22,2.59,1.73,1.75,3,True,True,True,True,True,126.59,196.62,226.16,115.47,170.77,-47.09,115.55,117.49,214.23,0.5175,XLE,0.4,0.65,clean,0.932,normal,none,strong_buy,82.73892081104287,78.57142857142857,95.7004160887656,6,100.0,89.7,4
CASY,852.63,14.69,36.23,64.43,87.17,284.4,658.3,2.47,1.78,1.35,3.26,2.31,4,True,True,True,True,True,58.6,212.43,414.11,47.47,186.58,140.86,47.55,133.3,402.18,-0.5104,XLP,0.39,1.48,clean,1.781,confirmed,none,strong_buy,81.47744534707087,96.22052704576977,79.05686546463245,6,100.0,89.5,5
MRVL,163.66,52.8,108.06,84.78,168.52,256.32,1544.82,2.05,0.78,1.99,1.52,6.03,3,True,True,True,True,True,139.95,184.35,1300.64,128.82,158.51,1027.39,128.9,105.23,1288.71,-0.5857,QQQ,0.51,2.33,overextended,1.402,normal,none,none,92.44105409153954,78.57142857142857,77.39251040221914,6,100.0,88.9,6
FTI,74.6,5.04,32.15,78.51,157.06,928.97,215.83,6.38,2.44,2.0,5.91,0.23,4,True,True,True,True,True,128.5,857.0,-28.35,117.37,831.15,-301.6,117.45,777.87,-40.28,-0.2714,XLE,0.46,-0.44,clean,1.022,normal,none,strong_buy,76.11452347929463,96.22052704576977,83.77253814147018,6,100.0,88.8,7
NUE,225.81,30.93,24.78,50.8,88.62,179.85,359.71,0.8,2.05,1.74,2.03,2.0,4,True,True,True,True,True,60.05,107.88,115.52,48.92,82.03,-157.72,49.0,28.76,103.59,-0.819,XLB,0.54,2.66,overextended,0.996,normal,none,none,81.95627765669374,96.22052704576977,71.84466019417476,6,100.0,88.2,8
EACO,96.5,3.76,11.56,32.19,147.44,421.62,1755.77,3.07,2.78,4.58,2.86,4.16,5,True,True,True,True,True,118.87,349.65,1511.58,107.74,323.8,1238.33,107.82,270.53,1499.65,-0.0243,,,-0.26,clean,,normal,none,strong_buy,67.43775179974902,99.86130374479889,89.32038834951457,6,100.0,88.1,9
KEN,90.1,5.4,25.8,71.78,193.77,151.25,889.02,4.77,2.78,2.7,0.78,5.88,4,True,True,True,True,True,165.21,79.28,644.84,154.08,53.44,371.59,154.16,0.16,632.9,-0.4257,VGK,0.33,-0.38,clean,1.541,confirmed,none,strong_buy,75.32197344957402,96.22052704576977,80.85991678224687,6,100.0,88.0,10
