ticker,price,ret_1m,ret_3m,ret_6m,ret_1y,ret_5y,ret_10y,ratio_3m_1m,ratio_6m_3m,ratio_1y_6m,ratio_5y_1y,ratio_10y_5y,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1y,vs_spy_5y,vs_spy_10y,vs_qqq_1y,vs_qqq_5y,vs_qqq_10y,vs_iau_1y,vs_iau_5y,vs_iau_10y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,strong_flag,score_returns,score_ratios,score_spy_days,history_depth,score_depth,score,rank
LINC,38.67,24.3,65.75,80.2,148.68,494.92,1321.69,2.71,1.22,1.85,3.33,2.67,4,True,True,True,True,True,133.51,430.15,1099.55,126.74,411.0,871.04,97.59,331.45,1061.43,0.1748,XLB,0.32,1.14,clean,1.899,confirmed,none,strong_buy,93.98353142235688,96.77814029363785,91.68026101141925,6,100.0,95.9,1
CF,126.95,27.64,60.68,50.95,64.08,149.51,256.2,2.2,0.84,1.26,2.33,1.71,3,True,True,True,True,True,48.91,84.74,34.06,42.14,65.59,-194.45,12.99,-13.97,-4.06,1.7013,XLE,0.48,2.32,overextended,1.916,confirmed,none,none,89.08568321292628,82.70799347471451,99.34747145187602,6,100.0,93.1,2
ISSC,29.4,21.68,167.5,155.64,314.06,368.88,984.82,7.73,0.93,2.02,1.17,2.67,3,True,True,True,True,True,298.89,304.11,762.68,292.13,284.96,534.17,262.97,205.4,724.56,-0.0387,XLI,0.39,0.16,clean,1.343,normal,none,strong_buy,95.50998213314689,82.70799347471451,86.7862969004894,6,100.0,92.6,3
SII,137.89,5.43,49.52,91.78,207.86,201.2,720.77,9.12,1.85,2.26,0.97,3.58,4,False,True,True,True,False,192.69,136.43,498.63,185.92,117.28,270.12,156.76,37.72,460.51,-0.508,IAU,0.61,-0.56,clean,1.187,normal,none,none,90.88402081876797,96.77814029363785,75.12234910277324,6,100.0,91.6,4
MPC,234.99,19.61,34.66,27.0,57.11,306.14,522.99,1.77,0.78,2.12,5.36,1.71,3,True,True,True,True,True,41.94,241.36,300.85,35.17,222.22,72.33,6.01,142.66,262.72,0.359,XLE,0.67,1.54,clean,1.249,normal,none,strong_buy,86.01336129884255,82.70799347471451,94.69820554649266,6,100.0,91.3,5
NYT,81.03,7.33,16.58,38.55,65.15,61.79,528.1,2.26,2.32,1.69,0.95,8.55,4,True,True,True,True,True,49.98,-2.98,305.96,43.22,-22.13,77.45,14.06,-101.69,267.84,0.0009,,,0.46,clean,1.101,normal,none,strong_buy,81.10774489241047,96.77814029363785,88.09135399673735,6,100.0,91.3,5
EFXT,21.58,11.07,37.72,100.74,186.59,188.12,171.45,3.41,2.67,1.85,1.01,0.91,3,True,True,True,True,True,171.42,123.35,-50.69,164.65,104.2,-279.21,135.49,24.64,-88.81,-0.0147,XLI,0.37,0.21,clean,1.314,normal,none,strong_buy,90.00233045910045,82.70799347471451,87.35725938009789,6,100.0,91.0,7
PWR,577.82,4.3,39.49,47.91,113.69,550.33,2461.26,9.18,1.21,2.37,4.84,4.47,4,True,True,True,True,True,98.52,485.56,2239.12,91.75,466.41,2010.61,62.6,386.85,2201.0,-0.5482,XLK,0.59,-0.27,clean,1.028,normal,none,strong_buy,88.65454827934437,96.77814029363785,73.98042414355628,6,100.0,90.7,8
EZPW,25.77,1.98,30.28,44.05,81.48,352.9,791.7,15.31,1.45,1.85,4.33,2.24,4,True,True,True,True,True,66.31,288.13,569.56,59.54,268.98,341.04,30.38,189.42,531.43,-0.395,XLI,0.51,-0.41,clean,0.837,normal,none,strong_buy,85.12001864367281,96.77814029363785,78.62969004893964,6,100.0,90.6,9
COP,127.04,13.84,33.78,35.9,25.37,118.42,213.51,2.44,1.06,0.71,4.67,1.8,3,True,True,True,True,True,10.2,53.65,-8.63,3.43,34.5,-237.14,-25.73,-45.05,-46.75,0.5446,XLE,0.88,1.71,clean,1.249,normal,none,strong_buy,81.46119785597762,82.70799347471451,96.3295269168026,6,100.0,90.2,10
PBR,19.02,20.65,61.55,48.44,35.53,132.17,243.85,2.98,0.79,0.73,3.72,1.84,3,True,True,True,True,True,20.36,67.4,21.71,13.59,48.25,-206.8,-15.56,-31.3,-16.41,0.0018,XLE,0.54,1.52,clean,1.333,normal,none,strong_buy,86.46391672492814,82.70799347471451,88.17292006525285,6,100.0,90.1,11
FTI,65.35,5.81,47.25,66.58,126.44,649.43,189.93,8.13,1.41,1.9,5.14,0.29,3,True,True,True,True,True,111.27,584.66,-32.21,104.5,565.51,-260.72,75.34,485.95,-70.33,-0.2812,XLE,0.5,-0.16,clean,1.122,normal,none,strong_buy,89.17501747844327,82.70799347471451,81.07667210440457,6,100.0,89.5,12
FORM,93.17,0.96,73.08,158.52,185.53,105.81,1117.91,75.78,2.17,1.17,0.57,10.57,3,False,True,True,True,False,170.36,41.04,895.77,163.6,21.89,667.26,134.44,-57.67,857.65,-0.3948,XLI,0.38,-0.51,clean,1.008,normal,none,none,88.93808746989824,82.70799347471451,78.71125611745514,6,100.0,89.0,13
CENX,51.28,-2.33,59.64,90.61,159.88,186.13,595.73,-25.56,1.52,1.76,1.16,3.2,3,False,True,True,True,False,144.71,121.36,373.59,137.94,102.21,145.07,108.79,22.65,335.46,-0.1971,XLK,0.41,-0.75,clean,1.036,normal,none,none,85.99394080633884,82.70799347471451,83.278955954323,6,100.0,89.0,13
