ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
ERAS,22.47,3.79,23.26,53.17,118.37,844.12,1528.26,6.14,2.29,2.23,7.13,12.91,4,True,True,True,True,True,22.29,44.71,1493.89,21.55,41.62,1481.7,25.28,46.43,1489.49,3.9522,,,-0.09,clean,1.591,confirmed,none,99.07773386034256,96.24505928853755,99.68379446640316,98.3,1
SITM,556.13,6.03,18.18,56.94,53.32,91.93,326.45,3.02,3.13,0.94,1.72,6.12,4,True,True,True,True,True,17.22,48.48,292.08,16.48,45.4,279.89,20.2,50.2,287.68,0.5833,XLI,0.56,0.4,clean,0.926,normal,none,97.28590250329381,96.24505928853755,90.43478260869566,94.7,2
EZPW,31.73,4.41,5.8,21.01,45.62,80.18,97.69,1.32,3.62,2.17,1.76,2.14,4,True,True,True,True,True,4.83,12.55,63.33,4.09,9.47,51.14,7.82,14.27,58.93,0.7392,XLI,0.52,0.38,clean,0.667,thin,none,90.48089591567852,96.24505928853755,92.56916996047431,93.1,3
CLMT,32.78,0.92,0.74,12.07,57.22,75.58,243.25,0.8,16.36,4.74,1.32,4.25,4,True,True,True,True,True,-0.23,3.61,208.88,-0.97,0.52,196.69,2.76,5.33,204.48,3.0686,,,-0.02,clean,0.62,thin,none,82.27272727272727,96.24505928853755,99.52569169960475,92.7,4
PLXS,249.87,2.59,12.11,16.69,37.85,66.21,101.33,4.67,1.38,2.27,1.75,2.68,4,True,True,True,True,True,11.14,8.23,66.96,10.4,5.14,54.77,14.13,9.95,62.56,0.6629,XLI,0.61,0.7,clean,0.864,normal,none,89.67061923583663,96.24505928853755,91.77865612648222,92.6,5
MTZ,382.88,1.69,6.91,18.67,56.55,84.81,235.12,4.08,2.7,3.03,1.5,4.16,4,True,True,True,True,True,5.94,10.21,200.76,5.2,7.12,188.57,8.93,11.92,196.36,0.3252,XLI,0.68,0.26,clean,0.763,normal,none,91.51515151515152,96.24505928853755,87.19367588932806,91.7,6
TIGO,84.23,1.3,2.9,12.2,39.09,81.49,160.45,2.23,4.21,3.2,2.08,4.11,4,True,True,True,True,True,1.93,3.74,126.08,1.19,0.65,113.89,4.91,5.46,121.68,0.7409,XLI,0.36,-0.22,clean,1.133,normal,none,85.19104084321475,96.24505928853755,92.64822134387352,91.4,7
DOCN,95.86,0.36,8.4,12.88,76.54,141.28,259.3,23.61,1.53,5.94,1.85,3.39,4,True,True,True,True,True,7.43,4.42,224.93,6.69,1.33,212.74,10.42,6.14,220.53,0.3966,XLK,0.39,0.41,clean,0.812,normal,none,88.7812911725955,96.24505928853755,88.77470355731225,91.3,8
POWL,252.18,3.88,8.32,34.99,77.23,117.19,356.19,2.15,4.2,2.21,1.52,4.61,4,True,True,True,True,True,7.35,26.52,321.82,6.61,23.44,309.63,10.34,28.24,317.42,-0.0266,XLI,0.57,0.19,clean,0.779,normal,none,96.77206851119895,96.24505928853755,78.49802371541502,90.5,9
PARXF,19.81,0.92,4.54,1.43,43.55,58.73,136.68,4.95,0.32,30.38,1.35,3.14,4,True,True,True,True,True,3.57,-7.03,102.31,2.83,-10.11,90.12,6.56,-5.31,97.91,2.2498,XLE,0.6,0.67,clean,0.197,thin,none,75.50724637681158,96.24505928853755,98.57707509881422,90.1,10
LBRT,32.32,9.86,15.59,8.82,50.26,103.14,169.11,1.58,0.57,5.7,2.05,3.36,3,True,True,True,True,True,14.63,0.36,134.74,13.88,-2.73,122.55,17.61,2.08,130.34,2.8288,,,3.19,overextended,0.925,normal,none,89.9209486166008,79.60474308300395,99.28853754940712,89.6,11
MEOH,60.37,0.45,3.44,2.79,25.77,78.03,109.91,7.67,0.81,9.23,3.03,4.26,4,True,True,True,True,True,2.48,-5.67,75.54,1.73,-8.76,63.35,5.46,-3.95,71.14,2.7244,XLE,0.52,1.35,clean,1.144,normal,none,73.36627140974969,96.24505928853755,99.1304347826087,89.6,11
MRVL,165.56,5.24,24.14,79.26,99.23,96.49,227.06,4.61,3.28,1.25,0.97,2.29,3,True,True,True,True,True,23.17,70.79,192.7,22.43,67.71,180.51,26.15,72.51,188.3,0.6202,QQQ,0.48,1.14,clean,1.533,confirmed,none,97.40447957839262,79.60474308300395,91.38339920948617,89.5,13
ESP,71.58,0.25,6.44,28.97,32.8,93.62,146.06,25.54,4.5,1.13,2.85,4.45,4,True,True,True,True,True,5.47,20.51,111.7,4.73,17.42,99.51,8.46,22.23,107.3,0.1444,,,0.56,clean,1.222,normal,none,87.76679841897233,96.24505928853755,83.87351778656127,89.3,14
GPRE,16.32,0.43,2.26,0.12,37.49,55.73,364.96,5.24,0.05,305.54,1.49,9.73,4,True,True,True,True,True,1.29,-8.34,330.59,0.55,-11.43,318.4,4.27,-6.62,326.19,1.9679,XLE,0.46,0.46,clean,1.063,normal,none,73.00395256916995,96.24505928853755,97.94466403162055,89.1,15
REX,46.55,2.53,6.84,14.21,34.69,50.31,129.99,2.7,2.08,2.44,1.45,3.75,3,True,True,True,True,True,5.87,5.74,95.62,5.13,2.66,83.43,8.86,7.46,91.22,2.999,XLE,0.45,1.1,clean,1.02,normal,none,87.60210803689064,79.60474308300395,99.44664031620553,88.9,16
MPWR,1592.17,4.61,13.5,44.53,47.88,54.78,211.08,2.93,3.3,1.08,1.14,4.41,3,True,True,True,True,True,12.53,36.07,176.71,11.79,32.99,164.52,15.52,37.79,172.31,0.6637,XLK,0.68,0.88,clean,0.909,normal,none,94.66403162055336,79.60474308300395,91.85770750988142,88.7,17
BE,237.57,3.4,13.1,62.85,63.13,127.6,1307.41,3.85,4.8,1.0,2.02,20.71,4,True,True,True,True,True,12.13,54.39,1273.04,11.39,51.3,1260.85,15.11,56.11,1268.64,-0.1786,XLK,0.62,0.57,clean,0.867,normal,none,97.94466403162055,96.24505928853755,71.6205533596838,88.6,18
STX,587.62,1.33,10.49,38.28,69.57,173.86,679.75,7.86,3.65,1.82,2.5,9.77,4,True,True,True,True,True,9.53,29.81,645.38,8.78,26.73,633.19,12.51,31.53,640.98,-0.1392,XLK,0.55,0.76,clean,0.786,normal,none,95.24374176548089,96.24505928853755,73.59683794466403,88.4,19
ALAB,197.54,1.79,15.65,62.24,12.02,25.41,257.15,8.73,3.98,0.19,2.12,21.4,4,True,True,True,True,True,14.68,53.78,222.78,13.94,50.69,210.59,17.67,55.49,218.38,0.0292,XLK,0.6,0.93,clean,1.181,normal,none,87.2463768115942,96.24505928853755,80.8695652173913,88.1,20
KEYS,346.53,2.23,5.02,16.06,60.64,107.08,156.48,2.25,3.2,3.78,1.77,2.58,4,True,True,True,True,True,4.05,7.6,122.11,3.31,4.51,109.92,7.04,9.32,117.71,-0.0925,XLI,0.56,0.16,clean,0.687,thin,none,90.8498023715415,96.24505928853755,75.65217391304347,87.6,21
PAFRY,45.2,0.0,6.05,36.56,22.49,83.74,316.59,,6.04,0.62,3.72,14.07,3,True,True,True,True,True,5.09,28.09,282.22,4.34,25.01,270.03,8.07,29.81,277.82,1.2107,,,-0.18,clean,0.181,thin,none,87.52964426877469,79.60474308300395,95.8102766798419,87.6,21
XPO,224.76,1.65,1.19,20.62,50.24,65.26,133.11,0.72,17.35,2.44,1.3,2.65,4,True,True,True,True,True,0.22,12.16,98.74,-0.52,9.08,86.55,3.21,13.88,94.34,0.0355,XLI,0.68,-0.59,clean,0.576,thin,none,85.21739130434783,96.24505928853755,81.02766798418972,87.5,23
JBHT,253.71,2.7,6.46,23.68,20.4,50.14,97.41,2.39,3.67,0.86,2.46,4.78,3,True,True,True,True,True,5.49,15.21,63.04,4.75,12.13,50.85,8.48,16.93,58.64,0.8954,XLI,0.61,-0.04,clean,0.954,normal,none,87.18050065876152,79.60474308300395,93.91304347826087,86.9,24
EFXT,24.88,1.68,5.74,16.53,48.71,120.57,284.54,3.42,2.88,2.95,2.47,5.84,4,True,True,True,True,True,4.77,8.07,250.18,4.03,4.99,237.99,7.76,9.79,245.78,-0.1509,XLI,0.34,0.73,clean,0.661,thin,none,91.3175230566535,96.24505928853755,72.72727272727273,86.8,25
SDRL,47.72,1.25,1.04,5.83,25.32,59.87,133.35,0.83,5.62,4.34,2.36,5.27,4,True,True,True,True,True,0.07,-2.63,98.98,-0.67,-5.72,86.79,3.06,-0.91,94.58,0.3951,XLE,0.53,0.63,clean,0.615,thin,none,74.6574440052701,96.24505928853755,88.69565217391305,86.5,26
PARR,63.79,-2.0,0.13,3.39,77.24,81.53,356.95,-0.06,26.98,22.8,1.06,4.62,4,True,True,True,True,True,-0.84,-5.07,322.58,-1.58,-8.16,310.39,2.14,-3.36,318.18,1.3556,XLE,0.51,0.79,clean,1.282,normal,buy_today,65.53359683794467,96.24505928853755,96.52173913043478,86.1,27
BG,126.42,0.52,2.77,1.88,12.21,33.45,57.85,5.36,0.68,6.5,2.74,4.74,4,True,True,True,True,True,1.8,-6.58,23.48,1.06,-9.67,11.29,4.79,-4.86,19.08,1.282,XLB,0.47,0.88,clean,0.761,normal,none,65.10540184453228,96.24505928853755,96.28458498023716,85.9,28
KN,31.27,2.42,7.83,18.9,25.99,32.5,117.15,3.23,2.41,1.38,1.25,4.51,3,True,True,True,True,True,6.86,10.44,82.79,6.12,7.35,70.6,9.85,12.15,78.38,0.6254,XLI,0.68,0.39,clean,1.536,confirmed,none,86.45586297760211,79.60474308300395,91.5415019762846,85.9,28
CNL,20.4,-1.4,4.94,43.97,27.02,87.85,96.53,-3.52,8.9,0.61,3.25,3.57,3,True,True,True,True,True,3.97,35.5,62.16,3.23,32.42,49.97,6.96,37.22,57.76,2.201,IAU,0.69,-0.38,clean,0.883,normal,buy_today,79.34123847167325,79.60474308300395,98.49802371541502,85.8,30
INSW,76.81,0.71,1.56,5.0,36.43,69.78,142.15,2.2,3.21,7.28,1.92,3.9,4,True,True,True,True,True,0.59,-3.46,107.78,-0.15,-6.54,95.59,3.58,-1.74,103.38,0.2771,XLI,0.44,-0.63,clean,0.749,thin,none,74.85507246376812,96.24505928853755,86.16600790513834,85.8,30
DXPE,167.96,2.56,11.12,19.54,27.16,42.38,112.12,4.35,1.76,1.39,1.56,4.13,3,True,True,True,True,True,10.15,11.07,77.76,9.41,7.99,65.57,13.14,12.79,73.36,0.4733,XLI,0.62,1.27,clean,1.472,normal,none,88.33333333333333,79.60474308300395,89.56521739130436,85.8,30
ODFL,222.78,1.27,4.31,20.4,24.98,54.32,46.5,3.39,4.73,1.22,2.17,1.86,3,True,True,True,True,True,3.34,11.94,12.13,2.6,8.85,-0.06,6.33,13.66,7.73,1.0572,XLI,0.53,-0.3,clean,0.667,thin,none,81.36363636363636,79.60474308300395,95.098814229249,85.4,33
FIX,1773.91,2.87,10.46,21.37,56.75,113.89,421.23,3.65,2.04,2.65,2.01,7.42,4,True,True,True,True,True,9.49,12.91,386.87,8.75,9.83,374.67,12.48,14.63,382.46,-0.3886,XLI,0.76,0.68,clean,0.96,normal,none,95.59288537549408,96.24505928853755,64.38735177865613,85.4,33
