ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,combined_score
HCA,543.01,525.47,3.34,OPTIMAL,95,1.48,0.9,537.92,0.95,,,,0.15,16.4,85.8,21.0,clean,94.7,HEALTHY,-2.4,2,Sustained Uptrend,1.6,8.19,11.16,,bond,Bond,4.0,False,False,91.7
RAAX,41.33,40.32,2.52,OPTIMAL,95,1.48,0.12,41.32,0.02,,,,0.612,52.1,85.7,22.0,clean,89.6,HEALTHY,-1.9,2,Sustained Uptrend,0.78,3.4,16.92,IAU,miner,Miner,5.0,False,False,90.1
AA,66.7,61.05,9.25,OPTIMAL,90,1.5,1.11,62.64,6.48,,,,0.243,76.7,88.1,13.0,clean,90.8,HEALTHY,-2.5,3,Parabolic,10.47,8.0,53.44,XLK,commodity,Commodity,45.0,False,False,89.6
VTR,85.97,84.33,1.95,OPTIMAL,95,1.48,0.9,86.0,-0.03,,,,0.006,2.1,84.9,23.0,clean,88.8,HEALTHY,-2.2,2,Sustained Uptrend,1.19,2.47,7.46,XLRE,sector,Sector,14.0,False,False,89.6
EQIX,975.9,912.28,6.97,OPTIMAL,90,1.5,1.11,962.19,1.42,,,,0.365,69.8,82.5,35.0,clean,96.6,HEALTHY,-1.7,2,Sustained Uptrend,2.4,13.91,31.76,XLU,sector,Sector,14.0,False,False,89.4
SHLD,76.22,74.64,2.12,OPTIMAL,95,1.48,0.9,76.5,-0.36,,,,0.665,88.5,82.9,32.0,clean,89.9,HEALTHY,-2.9,2,Sustained Uptrend,1.63,4.53,18.8,XLI,equity,Equity,11.0,False,False,89.2
MPLX,58.87,57.16,2.99,OPTIMAL,95,1.48,0.9,58.72,0.26,,,,0.532,58.7,80.3,51.0,clean,91.4,HEALTHY,-1.6,2,Sustained Uptrend,0.36,6.3,6.65,XLRE,bond,Bond,4.0,False,False,88.8
PWR,569.47,534.67,6.51,OPTIMAL,90,1.5,1.11,562.88,1.17,,,,0.552,106.2,82.5,35.0,clean,92.9,HEALTHY,-1.3,3,Parabolic,3.69,11.52,24.35,XLK,index,Index,1.0,False,False,88.2
VDE,163.28,154.09,5.97,OPTIMAL,90,1.5,1.11,159.63,2.29,,,,0.777,74.3,85.9,19.0,clean,87.7,HEALTHY,-0.4,3,Parabolic,2.33,8.26,26.42,XLE,commodity,Commodity,9.0,False,False,87.9
XLE,57.94,54.69,5.95,OPTIMAL,90,1.5,1.11,56.56,2.45,,,,0.742,68.3,86.1,17.0,clean,87.5,HEALTHY,-0.5,3,Parabolic,2.59,8.14,26.78,XLE,commodity,Commodity,9.0,False,False,87.9
BG,126.0,119.01,5.87,OPTIMAL,90,1.5,1.11,119.0,5.88,,,,0.085,-29.4,87.7,15.0,clean,84.7,HEALTHY,-0.9,3,Parabolic,11.31,6.45,37.78,XLB,sector,Sector,34.0,False,False,87.6
OKE,86.2,83.9,2.74,OPTIMAL,95,1.48,0.9,85.36,0.99,,,,0.0,-0.7,80.8,46.0,clean,85.5,HEALTHY,-3.1,3,Parabolic,0.7,3.28,14.99,XLE,index,Index,10.0,False,False,87.2
TYRA,36.19,32.23,12.3,GOOD,75,1.52,1.24,34.49,4.93,,,,0.793,278.1,95.4,5.0,clean,91.4,HEALTHY,-1.1,3,Parabolic,4.78,15.25,63.61,,equity,Equity,7.0,False,False,87.1
