year,period,date,date_start,label,composite,momentum,spreads
2026,24,2026-03-05,2026-02-20,Mar 05,1.0,1.0,1.0
2001,16,2001-09-10,2001-08-28,Sep 10,0.6404,0.5307,0.75
2000,19,2000-10-20,2000-10-09,Oct 20,0.583,0.5409,0.625
2000,10,2000-06-16,2000-06-05,Jun 16,0.5699,0.5398,0.6
2004,3,2004-03-12,2004-03-01,Mar 12,0.5639,0.5563,0.5714
2011,7,2011-05-06,2011-04-25,May 06,0.5596,0.5359,0.5833
2025,5,2025-04-09,2025-03-27,Apr 09,0.5508,0.5632,0.5385
2024,16,2024-09-10,2024-08-28,Sep 10,0.5495,0.5221,0.5769
2000,2,2000-02-25,2000-02-14,Feb 25,0.5434,0.4867,0.6
2004,12,2004-07-16,2004-07-05,Jul 16,0.5414,0.5113,0.5714
