ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,slope_stage,slope_tq_score,health_score,health_verdict,spread_support,source_count,sources,sector
EC,XLE,20.0,81.0,12.0,87.0,,,,,,,7.0,,,82.7,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Energy
BK,SPY,50.0,73.8,78.0,80.8,,,,,,2.4,2.0,,,87.2,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",Financial Services
DBJP,VXUS,61.0,72.7,113.0,78.6,,,,,,2.0,,,,89.6,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
STT,XLI,73.0,71.2,121.0,78.3,,,,,,4.1,1.0,,,88.7,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",Financial Services
IOO,SPY,76.0,70.7,133.0,78.0,,,,,,3.7,,,,88.9,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
VOO,SPY,81.0,70.2,140.0,77.8,,,,,,3.6,,,,89.0,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
SPY,SPY,82.0,70.1,137.0,77.9,,,,,,3.6,,,,89.0,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
IVV,SPY,82.0,70.1,133.0,78.0,,,,,,3.5,,,,89.0,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
ADM,DBA,85.0,70.0,10.0,87.6,,,,,,,5.0,,,84.2,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Consumer Defensive
IWB,SPY,88.0,69.9,144.0,77.6,,,,,,3.6,,,,89.0,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
VTI,SPY,93.0,69.7,145.0,77.5,,,,,,3.6,,,,89.0,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
IWD,XLI,99.0,69.4,124.0,78.2,,,,,,3.5,,,,89.2,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
QTEC,XLK,109.0,68.5,102.0,79.4,,,,,,4.9,,,,85.0,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
