ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
AXTI,140.83,16.37,13.77,87.1,395.36,1292.98,9887.94,0.84,6.32,4.54,3.27,25.01,4,True,True,True,True,True,12.9,81.85,9860.02,12.56,76.95,9848.08,14.59,91.1,9852.44,5.2107,XLK,0.35,0.8,clean,0.796,normal,none,99.34618794326241,95.2127659574468,99.93351063829788,98.2,1
PBT,31.01,3.44,6.89,40.13,56.77,66.18,180.38,2.01,5.82,1.41,1.17,3.18,3,True,True,True,True,True,6.02,34.88,152.45,5.68,29.98,140.52,7.71,44.12,144.88,3.3758,XLE,0.57,-0.32,clean,1.523,confirmed,none,91.11812943262412,78.35771276595744,99.40159574468085,89.6,2
AXSM,235.97,1.0,3.62,29.14,35.03,60.78,123.12,3.63,8.04,1.2,1.74,3.52,4,True,True,True,True,True,2.75,23.89,95.19,2.41,18.99,83.26,4.44,33.14,87.62,0.7341,XLV,0.57,0.58,clean,0.814,normal,none,82.50775709219857,95.2127659574468,90.8909574468085,89.5,3
RVMD,151.56,-1.41,4.05,12.7,46.17,114.89,291.22,-2.87,3.14,3.63,2.49,6.31,4,True,True,True,True,True,3.18,7.45,263.3,2.84,2.55,251.36,4.87,16.7,255.72,1.9691,,,0.04,clean,0.709,thin,buy_today,75.6427304964539,95.2127659574468,97.6063829787234,89.5,3
BAND,61.39,4.87,13.75,167.49,339.76,343.25,347.78,2.82,12.18,2.03,1.01,1.02,3,True,True,True,True,True,12.87,162.25,319.85,12.53,157.34,307.91,14.57,171.49,312.27,0.817,XLV,0.3,0.34,clean,1.31,normal,none,97.82801418439716,78.35771276595744,91.75531914893617,89.3,5
MXL,99.16,-0.51,7.39,189.52,452.73,639.45,757.04,-14.43,25.66,2.39,1.41,1.67,3,True,True,True,True,True,6.51,184.27,729.12,6.17,179.37,717.18,8.2,193.51,721.54,3.1579,XLK,0.39,-0.27,clean,1.117,normal,buy_today,85.64937943262412,78.35771276595744,99.2686170212766,87.8,6
MTSI,385.98,1.45,2.76,35.72,57.2,138.89,218.02,1.9,12.92,1.6,2.43,3.81,3,True,True,True,True,True,1.89,30.47,190.09,1.55,25.57,178.16,3.58,39.71,182.52,1.5165,XLK,0.58,0.79,clean,1.143,normal,none,87.03457446808511,78.35771276595744,96.4095744680851,87.3,7
KLIC,104.4,3.27,2.31,23.32,51.13,195.83,220.84,0.71,10.08,2.19,3.83,4.32,4,True,True,True,True,True,1.44,18.07,192.91,1.1,13.17,180.98,3.13,27.31,185.34,-0.265,QQQ,0.74,0.94,clean,1.198,normal,none,87.91555851063829,95.2127659574468,77.12765957446808,86.8,8
ACMR,73.35,2.46,15.2,35.86,12.64,132.86,218.5,6.18,2.36,0.35,10.51,17.29,3,True,True,True,True,True,14.33,30.61,190.57,13.99,25.71,178.64,16.02,39.85,183.0,0.8003,QQQ,0.65,1.11,clean,1.087,normal,none,89.4669769503546,78.35771276595744,91.55585106382979,86.5,9
SNDK,1478.69,-4.12,5.05,58.58,121.86,501.19,3730.8,-1.23,11.6,2.08,4.11,30.61,4,True,True,True,True,True,4.17,53.34,3702.88,3.84,48.43,3690.94,5.87,62.58,3695.3,0.0134,XLK,0.6,0.22,clean,0.698,thin,buy_today,80.25265957446808,95.2127659574468,82.77925531914893,86.1,10
ANAB,59.71,-1.16,-5.45,16.46,64.99,142.03,330.5,4.7,-3.02,3.95,2.19,5.09,4,True,True,True,True,True,-6.32,11.21,302.57,-6.66,6.31,290.64,-4.63,20.46,295.0,1.3012,QQQ,0.36,-0.33,clean,0.538,thin,buy_today,65.48093971631205,95.2127659574468,95.27925531914893,85.3,11
TSAT,53.5,2.57,2.86,10.61,76.57,114.43,236.48,1.12,3.7,7.22,1.49,3.09,4,True,True,True,True,True,1.99,5.36,208.55,1.65,0.46,196.62,3.68,14.6,200.98,-0.3891,HYG,0.57,0.36,clean,1.163,normal,none,86.55252659574467,95.2127659574468,73.73670212765957,85.2,12
SITM,728.56,2.36,-5.88,31.01,83.98,169.54,262.25,-2.49,-5.27,2.71,2.02,3.12,3,True,True,True,True,True,-6.75,25.76,234.32,-7.09,20.86,222.39,-5.06,35.0,226.75,2.6142,XLK,0.51,0.15,clean,1.654,confirmed,none,78.67353723404254,78.35771276595744,98.47074468085107,85.2,12
TRGP,276.75,2.41,1.75,15.36,19.36,62.64,72.57,0.73,8.77,1.26,3.24,3.75,3,True,True,True,True,True,0.87,10.11,44.64,0.54,5.21,32.71,2.57,19.35,37.07,1.6386,XLE,0.7,-0.26,clean,0.773,normal,none,76.39627659574468,78.35771276595744,96.875,83.9,14
