year,period,date,date_start,label,composite,momentum,spreads
2026,24,2026-03-09,2026-02-24,Mar 09,1.0,1.0,1.0
2001,16,2001-09-10,2001-08-28,Sep 10,0.7804,0.5609,1.0
2000,10,2000-06-16,2000-06-05,Jun 16,0.6765,0.5531,0.8
2026,0,2025-04-07,2025-03-25,Apr 07,0.6539,0.6156,0.6923
2000,19,2000-10-20,2000-10-09,Oct 20,0.6387,0.5274,0.75
2024,16,2024-09-10,2024-08-28,Sep 10,0.609,0.5641,0.6538
2001,17,2001-09-24,2001-09-11,Sep 24,0.5907,0.5564,0.625
2000,8,2000-05-19,2000-05-08,May 19,0.5895,0.579,0.6
2000,23,2000-12-15,2000-12-04,Dec 15,0.5872,0.5494,0.625
2011,13,2011-07-29,2011-07-18,Jul 29,0.5787,0.5574,0.6
