ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
EQT,64.64,59.09,9.4,OPTIMAL,90,1.5,1.11,62.21,3.9,,,,0.879,133.5,89.1,14.0,clean,93.8,HEALTHY,-1.0,2,Sustained Uptrend,4.82,16.7,10.46,XLE,equity,Equity,19.0,False,False,"{'grade': 'OK', 'median_mae': -5.39, 'median_ttg': 2.0, 'prob_good': 34.6, 'prob_bad': 51.9}",90.8
SHLD,76.0,74.64,1.83,OPTIMAL,95,1.48,0.9,76.48,-0.63,,,,0.655,87.5,87.8,16.0,clean,89.0,HEALTHY,-3.2,2,Sustained Uptrend,1.33,4.22,18.45,XLI,equity,Equity,11.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.13, 'median_ttg': 2.0, 'prob_good': 27.5, 'prob_bad': 53.2}",90.7
VTR,86.2,84.34,2.21,OPTIMAL,95,1.48,0.9,86.02,0.21,,,,0.011,3.0,86.0,20.0,clean,90.4,HEALTHY,-1.9,2,Sustained Uptrend,1.46,2.74,7.74,XLRE,sector,Sector,14.0,False,False,"{'grade': 'OK', 'median_mae': -3.14, 'median_ttg': 1.0, 'prob_good': 36.4, 'prob_bad': 36.4}",90.5
RAAX,41.25,40.31,2.33,OPTIMAL,95,1.48,0.12,41.31,-0.15,,,,0.602,51.5,86.0,20.0,clean,88.3,HEALTHY,-2.0,2,Sustained Uptrend,0.59,3.2,16.69,IAU,miner,Miner,5.0,False,False,"{'grade': 'ROUGH', 'median_mae': -6.45, 'median_ttg': 2.0, 'prob_good': 21.1, 'prob_bad': 59.9}",89.8
DLR,180.35,175.58,2.72,OPTIMAL,95,1.48,0.9,179.4,0.53,,,,0.152,19.4,76.3,69.0,clean,93.4,HEALTHY,-2.4,2,Sustained Uptrend,0.33,4.53,10.81,XLRE,sector,Sector,14.0,False,False,"{'grade': 'OK', 'median_mae': -3.14, 'median_ttg': 1.0, 'prob_good': 36.4, 'prob_bad': 36.4}",88.0
VDE,162.15,154.05,5.26,OPTIMAL,90,1.5,1.11,159.52,1.65,,,,0.778,72.0,86.0,20.0,clean,87.7,HEALTHY,-1.1,3,Parabolic,1.62,7.51,25.54,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -8.52, 'median_ttg': 4.0, 'prob_good': 16.3, 'prob_bad': 70.0}",87.9
PWR,566.91,534.59,6.05,OPTIMAL,90,1.5,1.11,562.62,0.76,,,,0.543,104.7,81.2,41.0,clean,92.9,HEALTHY,-1.7,3,Parabolic,3.22,11.02,23.79,XLK,index,Index,1.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -5.5, 'median_ttg': 3.0, 'prob_good': 19.5, 'prob_bad': 61.9}",87.8
FIVE,217.03,212.39,2.18,OPTIMAL,95,1.48,0.9,220.24,-1.46,,,,0.375,74.5,84.3,24.0,clean,83.3,HEALTHY,-5.4,3,Parabolic,-2.08,5.01,23.78,SPY,equity,Equity,37.0,False,False,"{'grade': 'OK', 'median_mae': -4.25, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 46.1}",87.7
XLE,57.51,54.67,5.19,OPTIMAL,90,1.5,1.11,56.51,1.76,,,,0.745,65.8,86.2,19.0,clean,85.5,HEALTHY,-1.2,3,Parabolic,1.82,7.33,25.84,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -8.52, 'median_ttg': 4.0, 'prob_good': 16.3, 'prob_bad': 70.0}",87.3
GUNR,55.02,53.43,2.97,OPTIMAL,95,1.48,0.9,54.44,1.07,,,,0.198,28.5,82.4,33.0,clean,83.8,HEALTHY,-1.9,3,Parabolic,2.78,4.07,22.48,IAU,sector,Sector,34.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.51, 'median_ttg': 1.0, 'prob_good': 23.4, 'prob_bad': 54.9}",87.2
