ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,spread_support,source_count,sources,sector
XAR,XLI,91.0,74.8,,,,,,,,3.0,,none,2,"['ranker', 'secrot']",
TIP,LQD,91.0,74.8,,,,,,,,3.0,,none,2,"['ranker', 'secrot']",
GSG,XLE,96.0,74.1,,,,,,,,0.7,,none,2,"['ranker', 'secrot']",
WMB,XLE,98.0,74.0,145.0,78.0,,,,,,,2.0,none,2,"['ranker', 'ranker_long']",Energy
OSIS,XLI,100.0,73.9,124.0,78.6,,,,,,,,none,2,"['ranker', 'ranker_long']",
ATI,XLI,101.0,73.8,3.0,91.8,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Industrials
WMT,XLP,102.0,73.7,22.0,87.4,,,,,,,3.0,bearish,2,"['ranker', 'ranker_long']",Consumer Defensive
TERN,--,103.0,73.6,63.0,82.7,,,,,,,,none,2,"['ranker', 'ranker_long']",
FRO,--,103.0,73.6,5.0,89.9,,,,,,,,none,2,"['ranker', 'ranker_long']",
LUNMF,IAU,106.0,73.1,11.0,89.2,,,,,,,,none,2,"['ranker', 'ranker_long']",
COP,XLE,107.0,72.9,42.0,85.2,,,,,,,4.0,none,2,"['ranker', 'ranker_long']",Energy
KLIC,XLI,112.0,72.1,76.0,81.8,,,,,,,,none,2,"['ranker', 'ranker_long']",
MRNA,XLV,112.0,72.1,,,,,,,,,6.0,none,2,"['ranker', 'stock_secrot']",Healthcare
FIDU,XLI,114.0,71.9,,,,,,,,3.1,,none,2,"['ranker', 'secrot']",
GCOW,XLB,114.0,71.9,,,,,,,,2.9,,bearish,2,"['ranker', 'secrot']",
ABBV,XLV,118.0,71.6,130.0,78.5,,,,,,,1.0,none,2,"['ranker', 'ranker_long']",Healthcare
AEP,XLU,120.0,71.5,97.0,80.4,,,,,,,1.0,bearish,2,"['ranker', 'ranker_long']",Utilities
VIS,XLI,125.0,71.0,,,,,,,,3.3,,none,2,"['ranker', 'secrot']",
PH,XLI,130.0,70.6,110.0,79.5,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Industrials
NSKFF,--,130.0,70.6,5.0,89.9,,,,,,,,none,2,"['ranker', 'ranker_long']",
DAN,XLB,134.0,70.4,115.0,79.1,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
HAL,XLE,135.0,70.3,,,,,,,,,6.0,none,2,"['ranker', 'stock_secrot']",Energy
EXC,XLU,135.0,70.3,133.0,78.4,,,,,,,1.0,bearish,2,"['ranker', 'ranker_long']",Utilities
CB,--,138.0,70.1,69.0,82.4,,,,,,,0.0,none,2,"['ranker', 'ranker_long']",Financial Services
