ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,slope_stage,slope_tq_score,spread_support,source_count,sources,sector
PHYS,IAU,84.0,72.3,15.0,88.5,,,,,,3.8,6.0,,,none,4,"['ranker', 'ranker_long', 'secrot', 'stock_secrot']",Financial Services
XLE,XLE,18.0,85.9,95.0,79.0,,,,,,3.6,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
VDE,XLE,19.0,85.5,97.0,78.9,,,,,,3.7,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
SOYB,TLT,37.0,80.0,148.0,76.3,,,,,,3.2,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
RBC,XLI,41.0,79.6,21.0,87.9,,,,,,,5.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
LHX,XLI,41.0,79.6,66.0,81.7,,,,,,,8.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
EIS,SPY,46.0,78.3,64.0,81.9,,,,,,3.5,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
VIV,VXUS,59.0,76.3,92.0,79.5,,,,,,,5.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Communication Services
PBR,XLE,60.0,76.1,51.0,83.0,,,,,,,7.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Energy
NEE,XLU,73.0,74.0,97.0,78.9,,,,,,,5.0,,,bearish,3,"['ranker', 'ranker_long', 'stock_secrot']",Utilities
NVS,XLV,77.0,73.2,25.0,87.2,,,,,,,6.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Healthcare
SII,IAU,77.0,73.2,13.0,88.8,,,,,,4.1,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
CW,XLI,81.0,72.8,143.0,76.6,,,,,,,5.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
SGOL,IAU,82.0,72.4,14.0,88.6,,,,,,3.9,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
IAU,IAU,86.0,72.1,15.0,88.5,,,,,,3.6,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
IGF,VXUS,88.0,72.0,69.0,81.5,,,,,,3.8,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
PPA,XLI,91.0,71.9,88.0,79.9,,,,,,4.3,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
GLD,IAU,91.0,71.9,15.0,88.5,,,,,,3.6,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
EWC,VXUS,110.0,69.6,108.0,78.4,,,,,,4.1,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
BNO,XLE,111.0,69.5,56.0,82.6,,,,,,2.0,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
FAN,VGK,121.0,68.9,129.0,77.4,,,,,,3.8,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
ITA,XLI,122.0,68.8,97.0,78.9,,,,,,4.3,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
XLU,XLU,123.0,68.7,60.0,82.4,,,,,,3.7,,,,bearish,3,"['ranker', 'ranker_long', 'secrot']",
VPU,XLU,127.0,68.3,75.0,81.0,,,,,,3.6,,,,bearish,3,"['ranker', 'ranker_long', 'secrot']",
DBO,XLE,132.0,67.9,83.0,80.3,,,,,,2.0,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
GUNR,IAU,136.0,67.8,103.0,78.5,,,,,,4.7,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
XLI,XLI,141.0,66.8,129.0,77.4,,,,,,4.1,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
GNR,XLB,147.0,65.8,115.0,78.1,,,,,,4.9,,,,bearish,3,"['ranker', 'ranker_long', 'secrot']",
ERAS,--,1.0,98.9,121.0,77.9,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
CLMT,--,3.0,96.3,3.0,91.1,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
BATL,--,5.0,95.0,139.0,77.0,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
NYT,XLC,7.0,92.7,45.0,83.5,,,,,,,4.0,,,none,2,"['ranker', 'ranker_long']",Communication Services
TIGO,XLRE,8.0,91.3,55.0,82.8,,,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
GLTO,--,9.0,89.7,115.0,78.1,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
LINC,XLV,10.0,89.5,8.0,89.7,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
TERN,--,11.0,89.3,65.0,81.8,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
DNTH,--,12.0,88.3,145.0,76.5,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
THC,--,13.0,86.9,4.0,90.8,,,,,,,0.0,,,none,2,"['ranker', 'ranker_long']",Healthcare
GPRE,XLE,14.0,86.7,135.0,77.2,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
