ticker,composite_score,sustainability_score,extension_score,is_safe,pct_above_sma9,longest_run_days,positive_months,sma21_crosses,gain_last_1wk,gain_last_1mo,gain_last_3mo,gain_last_12mo,recency_ratio,extension_from_sma29_pct,regime,days_in_regime,current_price,dist_from_sma9_pct,dist_from_sma21_pct,dist_from_sma29_pct
WDC,1.0744,1.0,1.0,False,0.7658730158730159,57,11,6,0.06642242609582061,-0.04456747278439399,0.4374284143995604,5.087991154562383,-0.09388498209296318,-0.041190467844125445,TRENDING,3,261.5401,0.3821399470280232,-4.299093680699255,-4.119046784412545
SMTOY,1.0327,1.0,1.0,True,0.7103174603174603,34,10,12,0.05676928169480311,0.107737682165163,0.4274536105522022,2.5472222222222225,0.5293315401663095,0.07777512616194138,PULLBACK,1,63.85,-0.8711402449542849,1.3292928071580834,7.777512616194137
CIEN,1.0294,1.0,0.9967,False,0.7063492063492064,22,11,8,0.16619641703776722,0.15411269974768715,0.5463601532567051,4.166566265060241,0.46979147216119393,0.10330211905194947,TRENDING,3,343.06,4.212668721078202,5.106620135857511,10.330211905194947
FIX,1.0268,1.0,1.0,False,0.7023809523809523,21,10,11,0.08195471674510979,0.03379150636835604,0.35494340878828234,3.119686234817814,0.128637748178087,0.037452039124829216,TRENDING,2,1383.885,0.1663143477891997,-0.14650793828044603,3.7452039124829217
LUNMF,1.0238,1.0,1.0,True,0.6984126984126984,28,10,10,0.03757338551859113,0.0,0.3573988735279059,2.0789779326364695,0.0,-0.024043771342972795,BREAKDOWN,8,26.51,-3.1145943311946658,-5.261814407024827,-2.4043771342972793
COHR,1.0149,1.0,1.0,True,0.6865079365079365,36,9,10,0.030375021211606956,0.0857883678304796,0.23008356545961006,2.6078431372549025,0.3771210514476653,0.00676079368573304,DIP,6,242.88,-7.038300261118822,-2.171023482498876,0.676079368573304
HBM,1.0137,1.0,1.0,True,0.6865079365079365,33,9,7,-0.0231045311799013,-0.1761256148316308,0.19315068493150678,1.9951856946354884,-0.744449722674541,-0.13072057376090093,BREAKDOWN,8,21.775,-7.395156526875376,-13.282383395124375,-13.072057376090093
LITE,1.0119,1.0,1.0,False,0.6825396825396826,29,10,7,0.11856242389513638,0.0880319102610998,0.7066939890710382,8.75710715401437,0.12296650067989726,0.03098853353685786,DIP,7,624.65,-5.943203035595981,-3.9688047684516183,3.098853353685786
LASR,1.0115,1.0,0.9662,False,0.6865079365079365,40,11,9,0.09123465211459747,0.16684901531728658,0.6928571428571431,6.181818181818182,0.3634771203275222,0.13494917617702096,TRENDING,3,63.99,0.28907270352633935,8.125135781012391,13.494917617702097
FET,1.0089,1.0,1.0,True,0.6785714285714286,51,10,15,-0.03673255203778203,0.11999186495830783,0.5747783814698313,2.136104783599089,0.7364617189893979,0.029060589072960732,DIP,7,55.07,-4.78907330567081,-1.8368403629542156,2.906058907296073
STX,1.0089,1.0,1.0,False,0.6785714285714286,26,10,11,0.06465419501133796,-0.07769183548189074,0.2565569383112538,3.330796725469849,-0.2323228187937017,-0.06737154481846931,TRENDING,3,375.61,0.8352001049965777,-5.192768130156343,-6.737154481846917
OCANF,1.006,1.0,1.0,False,0.6746031746031746,31,10,10,-0.02534622419649868,-0.03841196184583662,0.3819933308632826,3.44047619047619,-0.11825365744503577,-0.015669930477196014,BREAKDOWN,8,37.3,-2.830844043070509,-4.685997980068379,-1.5669930477196015
GLW,1.004,1.0,1.0,True,0.7142857142857143,35,9,8,0.057952794224997994,-0.018547780285929294,0.3846602972399151,1.8730176211453746,-0.10562594333469894,-0.018556693006342648,BREAKDOWN,8,130.435,-5.004996904751316,-6.309675896709714,-1.8556693006342648
AU,1.003,1.0,1.0,True,0.6706349206349206,19,9,12,-0.011169513797634756,-0.0616371247884564,0.27960646180007287,2.3285939968404423,-0.2667648539012959,-0.04364580007387517,BREAKDOWN,8,105.35,-5.140415995517897,-7.31322085876719,-4.3645800073875165
ERAS,0.9939,1.0,0.9685,False,0.6626984126984127,45,10,12,-0.03878474466709769,0.2863321799307956,3.5613496932515334,8.718954248366012,0.4551222186975521,0.13249120226902655,PULLBACK,1,14.87,-1.9344910969443927,7.790818087676909,13.249120226902654
FIVE,0.9927,1.0,1.0,True,0.6666666666666666,42,11,13,0.01645577852099578,0.0616272074519697,0.23516933845111754,1.9707113765951672,0.35383461692197393,0.02996356611570522,PULLBACK,7,218.8226,-0.5709662270033524,0.567741555955019,2.996356611570522
CLS,0.9924,1.0,1.0,True,0.6706349206349206,31,6,12,0.061878807310035144,-0.10389610389610393,-0.24006195147134757,1.9578030810448759,-0.46918130141245423,-0.06223844585119739,TRENDING,3,264.96,0.28639557916251146,-4.639030376154283,-6.223844585119739
SNDK,0.9911,1.0,1.0,False,0.6547619047619048,26,9,6,0.16629055809455173,0.026162111656155007,1.6411577772051875,11.19310071371927,0.029221606010811595,0.00662653084376099,TRENDING,3,615.02,3.37358577954409,0.13948515324371097,0.662653084376099
TTMI,0.9911,1.0,1.0,False,0.6547619047619048,38,8,13,0.0435604595609147,-0.0017475516866158891,0.18068725868725877,3.1680781462971375,-0.005703605619848896,-0.07641460196932566,BREAKDOWN,8,91.7394,-7.1734359094973765,-7.949354851934127,-7.641460196932566
TERN,0.9907,1.0,0.9964,False,0.6547619047619048,24,10,7,0.035730966837926204,0.14777432712215322,-0.005828289621161109,11.117486338797814,0.1703106671114629,0.10361249356444163,TRENDING,24,44.35,1.9279877425944831,7.03696041925252,10.361249356444164
EFXT,0.9899,1.0,1.0,True,0.6904761904761905,18,10,8,-0.021688970927549733,0.14409066378845115,0.3554987212276215,1.888283378746594,0.9945697500538192,0.05755667939587831,PULLBACK,5,21.2,-3.951673798137418,2.042219624561654,5.7556679395878305
TYRA,0.9888,1.0,0.9776,True,0.6547619047619048,21,11,11,0.032819634703196376,0.20633333333333326,0.6235980260206371,2.344731977818854,1.1280462895762704,0.12296301051798116,TRENDING,3,36.19,4.528241335044929,10.402684563758378,12.296301051798116
NBTX,0.9884,1.0,0.944,False,0.6587301587301587,28,9,15,-0.058546631362165424,0.3266998341625207,0.419698314108252,8.696969696969697,0.5047973430425872,0.15934786682491092,PULLBACK,2,32.0,-7.090780050325842,7.859974640065477,15.934786682491092
SLGL,0.9881,1.0,1.0,False,0.6507936507936508,44,9,6,0.042008573178199615,0.28714069591528,1.0113475177304965,13.086092715231787,0.31996343504691377,0.08133740626629786,PULLBACK,1,85.08,-3.2766591718667137,1.504374502897391,8.133740626629786
STRL,0.9851,1.0,1.0,True,0.6468253968253969,21,9,10,0.032421376325580065,-0.059897190661657995,0.2301197491028617,2.5032635692201994,-0.24624185285031003,-0.01284584456712932,BREAKDOWN,1,407.92001,-1.1505063229487693,-3.8643579669021615,-1.2845844567129319
KGC,0.9846,1.0,1.0,True,0.6706349206349206,18,9,11,0.0006144393241167556,-0.06461803561171742,0.19479090242112984,1.9263252470799639,-0.32417180988360916,-0.03547540514873319,BREAKDOWN,8,32.57,-2.384361783609167,-4.775363025046291,-3.547540514873319
ATI,0.9833,1.0,1.0,True,0.6746031746031746,21,10,9,-0.012192684389366493,0.06877162629757771,0.4156402177026639,1.9093406593406592,0.42046540391697457,0.0044058420624759785,DIP,6,148.26,-5.424312658147099,-4.137223931055514,0.44058420624759786
ANAB,0.9821,1.0,0.9401,False,0.6507936507936508,29,9,12,0.14688684353004877,0.15020814479638012,0.4137708565072302,2.588311688311688,0.8487140732169932,0.1637180966236836,TRENDING,4,63.549,7.728631460382106,12.306770491016914,16.37180966236836
FPLSF,0.9821,1.0,1.0,False,0.6428571428571429,21,9,13,0.02941176470588247,0.04965585054080646,0.5791420118343198,4.432569974554707,0.12945263436791418,0.0358529077159874,PULLBACK,6,21.35,-0.8206875193558175,1.3037191016313328,3.5852907715987397
VRT,0.9806,1.0,0.9548,True,0.6468253968253969,21,9,6,0.11419472247497708,0.08402076375196166,0.4816301836981629,2.155188568751464,0.6382712287661213,0.14736910127788827,TRENDING,4,269.39,4.637342149102734,7.041573952136593,14.736910127788812
ASM,0.9792,1.0,1.0,False,0.6388888888888888,24,9,14,-0.0261813537675607,-0.25898931000971814,0.29897785349233397,3.485294117647059,-0.5474285178231864,-0.16403606600759882,BREAKDOWN,8,7.625,-6.753176166859154,-13.349928298925837,-16.403606600759883
NGD,0.9792,1.0,1.0,True,0.6388888888888888,30,10,11,-0.038010704727921674,-0.05238137082601069,0.3772541507024265,2.5012662337662332,-0.20686819177335314,-0.05032069161646741,BREAKDOWN,8,10.7839,-6.609451723809452,-7.913830253993212,-5.032069161646741
AEIS,0.9771,1.0,1.0,True,0.6666666666666666,20,10,8,0.05786402090927867,-0.00377076788548103,0.3889271684652549,1.908250921811478,-0.023726683592794628,0.007054534428961888,DIP,8,307.6057,-2.3296783610515166,-4.076139111492962,0.7054534428961888
ASCUF,0.9762,1.0,1.0,True,0.6349206349206349,17,8,8,-0.020560747663551315,0.1491228070175441,0.6957928802588997,2.7971014492753628,0.7591670167436847,0.06504065040650413,PULLBACK,5,5.24,-7.565660525284209,1.3352979095681128,6.504065040650413
MU,0.9762,1.0,1.0,False,0.6349206349206349,31,8,11,0.09543613286524422,-0.011453916264561048,0.5382048462326041,3.241321622751986,-0.04182126588158974,0.00019980937335533798,TRENDING,3,405.64,2.055501044103947,-0.663762221061286,0.0199809373355338
AXTI,0.9732,1.0,0.7018,False,0.6706349206349206,29,10,7,0.472474513438369,0.7785074626865671,2.073114119922631,28.79,0.5976503246656015,0.5249720326473334,TRENDING,3,47.664,14.009312610294899,36.77200020769736,52.497203264733336
