target_date,window,similar_date,correlation
2026-03-25,25Y,2026-03-23,0.8938
2026-03-25,25Y,2026-03-24,0.8885
2026-03-25,25Y,2026-03-20,0.8449
2026-03-25,25Y,2026-03-19,0.8442
2026-03-25,25Y,2026-03-18,0.7576
2026-03-25,25Y,2026-03-17,0.7569
2026-03-25,25Y,2026-03-13,0.7119
2026-03-25,25Y,2026-03-16,0.6883
2026-03-25,25Y,2026-03-12,0.6468
2026-03-25,25Y,2005-04-05,0.6461
2026-03-25,25Y,2022-05-16,0.6185
2026-03-25,25Y,2022-05-06,0.6139
2026-03-25,25Y,2010-02-16,0.6111
2026-03-25,25Y,2022-05-03,0.6111
2026-03-25,25Y,2010-02-11,0.6079
2026-03-25,25Y,2022-05-13,0.6038
2026-03-25,25Y,2002-10-01,0.6018
2026-03-25,25Y,2013-06-28,0.599
2026-03-25,25Y,2002-09-26,0.5972
2026-03-25,25Y,2022-04-29,0.5915
2026-03-25,25Y,2022-05-19,0.5905
2026-03-25,25Y,2010-05-28,0.5885
2026-03-25,25Y,2013-06-27,0.586
2026-03-25,25Y,2010-02-18,0.584
2026-03-25,25Y,2018-02-21,0.5823
2026-03-25,25Y,2002-09-30,0.5817
2026-03-25,25Y,2010-06-01,0.5796
2026-03-25,25Y,2010-06-02,0.5784
2026-03-25,25Y,2022-05-05,0.5779
2026-03-25,25Y,2010-02-12,0.5763
2026-03-25,25Y,2010-02-17,0.5763
2026-03-25,25Y,2021-10-06,0.576
2026-03-25,25Y,2002-10-10,0.5743
2026-03-25,25Y,2004-05-06,0.5719
2026-03-25,25Y,2022-05-18,0.5709
2026-03-25,25Y,2022-05-04,0.5699
2026-03-25,25Y,2023-08-28,0.5655
2026-03-25,25Y,2022-05-02,0.5623
2026-03-25,25Y,2001-03-29,0.5622
2026-03-25,25Y,2023-08-24,0.5618
2026-03-25,25Y,2021-10-07,0.5606
2026-03-25,25Y,2023-10-10,0.5596
2026-03-25,25Y,2022-05-17,0.5545
2026-03-25,25Y,2022-05-09,0.5537
2026-03-25,25Y,2001-03-28,0.5527
2026-03-25,25Y,2021-10-08,0.5525
2026-03-25,25Y,2021-10-05,0.5525
2026-03-25,25Y,2011-11-29,0.5513
2026-03-25,25Y,2018-10-31,0.5488
2026-03-25,25Y,2004-03-30,0.5488
2026-03-25,25Y,2021-10-11,0.5487
2026-03-25,25Y,2004-05-17,0.5478
2026-03-25,25Y,2005-03-31,0.5476
2026-03-25,25Y,2023-10-03,0.5474
2026-03-25,25Y,2004-05-07,0.5472
2026-03-25,25Y,2002-09-27,0.5468
2026-03-25,25Y,2004-03-31,0.5467
2026-03-25,25Y,2013-06-13,0.5466
2026-03-25,25Y,2025-01-10,0.5462
2026-03-25,25Y,2008-10-30,0.5447
2026-03-25,25Y,2005-04-04,0.5441
2026-03-25,25Y,2005-04-01,0.5431
2026-03-25,25Y,2001-03-19,0.543
2026-03-25,25Y,2013-06-19,0.5413
2026-03-25,25Y,2010-06-03,0.5406
2026-03-25,25Y,2010-05-27,0.5403
2026-03-25,25Y,2023-10-12,0.5384
2026-03-25,25Y,2001-09-27,0.538
2026-03-25,25Y,2026-03-11,0.5379
2026-03-25,25Y,2021-10-12,0.5371
2026-03-25,25Y,2023-08-25,0.537
2026-03-25,25Y,2013-07-03,0.5369
2026-03-25,25Y,2006-05-30,0.5369
2026-03-25,25Y,2004-03-17,0.5366
2026-03-25,25Y,2001-09-25,0.5361
2026-03-25,25Y,2020-03-27,0.535
2026-03-25,25Y,2008-10-14,0.5349
2026-03-25,25Y,2023-08-22,0.5345
2026-03-25,25Y,2018-02-12,0.5335
2026-03-25,25Y,2001-09-26,0.5326
