ticker,name,sr_score,sr_total,hist_agree,ret_3d,ret_5d,ret_10d,ret_1m,ret_3m,mom_3m,mom_1m,mom_10d,mom_5d,pred_3d_avg,pred_3d_winrate,pred_3d_n,pred_5d_avg,pred_5d_winrate,pred_5d_n,pred_10d_avg,pred_10d_winrate,pred_10d_n
AAXJ,Asia ex-Jpn,2.3,10,bullish,1.63,5.19,2.25,10.68,24.34,2.0,1.42,0.19,1.5,,,53.0,,,53.0,,,53.0
ACWI,ACWI,2.1,10,bullish,-0.19,1.23,-0.87,3.0,13.17,1.53,0.32,-0.77,0.44,,,57.0,,,57.0,,,57.0
ACWX,ACWX,2.0,10,bullish,0.4,1.26,0.26,4.9,12.62,1.68,0.8,-0.25,0.36,,,57.0,,,57.0,,,57.0
AFK,Africa,2.0,10,bearish,-4.8,-0.48,-2.99,0.92,5.32,-0.57,-0.34,-0.94,-0.34,,,53.0,,,53.0,,,53.0
AGF,AGF,0.2,10,bullish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.06,,,35.0,,,35.0,,,35.0
AGG,Agg Bond,3.0,10,bearish,0.05,0.02,0.24,1.3,-0.59,-0.61,1.4,0.31,0.01,,,73.0,,,73.0,,,73.0
AIA,AIA,3.1,10,bullish,2.27,6.39,2.31,13.85,34.96,2.0,1.29,-0.02,1.38,,,57.0,,,57.0,,,57.0
AIQ,AIQ,3.7,10,bullish,0.38,4.46,-1.87,10.6,36.89,2.0,0.86,-0.76,0.99,,,36.0,,,36.0,,,36.0
AIRR,AIRR,3.1,10,bullish,0.41,1.95,-0.68,6.82,17.73,0.46,0.44,-0.68,0.3,,,41.0,,,41.0,,,41.0
AIS,AIS,0.5,10,bearish,5.28,12.24,6.63,30.92,89.52,2.0,1.76,0.29,1.88,,,8.0,,,8.0,,,8.0
ALAI,ALAI,0.0,10,bearish,1.59,8.65,2.59,12.27,34.61,1.37,1.15,0.17,2.0,,,9.0,,,9.0,,,9.0
AMG,AMG,4.3,10,bullish,-0.01,2.49,5.4,19.67,26.64,0.81,1.97,0.53,0.28,,,100.0,,,100.0,,,100.0
AMLP,AMLP,0.0,10,bearish,-1.11,-3.14,-4.85,-7.6,-4.5,-1.14,-2.0,-2.0,-2.0,,,51.0,,,51.0,,,51.0
APIE,APIE,3.0,10,bullish,-0.1,1.43,0.23,4.01,10.67,1.16,0.7,-0.16,0.51,,,18.0,,,18.0,,,18.0
APO,APO,0.0,10,bullish,1.02,2.68,7.08,4.84,23.46,1.69,0.44,1.01,0.55,,,50.0,,,50.0,,,50.0
ARES,ARES,3.3,10,bullish,-4.45,-2.62,-0.89,6.8,19.77,1.18,0.69,-0.02,-0.42,,,41.0,,,41.0,,,41.0
ARGT,ARGT,2.5,10,bullish,-1.05,-0.89,2.2,10.14,10.37,0.55,0.89,0.22,-0.23,,,50.0,,,50.0,,,50.0
ARKF,ARKF,0.7,10,bullish,-1.33,2.88,-0.84,-1.16,-0.45,-0.21,-0.12,-0.09,0.65,,,36.0,,,36.0,,,36.0
ARKG,ARKG,2.4,10,bullish,5.01,9.54,1.63,31.08,38.05,2.0,2.0,-0.02,1.56,,,41.0,,,41.0,,,41.0
ARKK,ARKK,0.3,10,bullish,0.7,6.27,0.15,8.6,12.83,0.06,0.59,-0.14,1.22,,,41.0,,,41.0,,,41.0
ARKQ,ARKQ,2.0,10,bullish,-1.13,2.25,-4.56,2.74,11.94,-0.29,-0.23,-1.06,0.28,,,41.0,,,41.0,,,41.0
ARKW,ARKW,0.6,10,bullish,-0.55,4.69,0.12,3.73,15.22,0.23,0.19,-0.07,0.97,,,41.0,,,41.0,,,41.0
ARKX,ARKX,2.0,10,bearish,-1.76,0.32,-4.95,2.58,10.17,-0.37,-0.23,-1.07,-0.15,,,27.0,,,27.0,,,27.0
ARMG,ARMG,4.3,10,bearish,12.72,60.31,16.5,233.81,737.67,2.0,2.0,0.16,2.0,,,8.0,,,8.0,,,8.0
ARTY,ARTY,3.3,10,bullish,1.98,8.84,0.64,23.69,57.39,2.0,1.83,-0.34,1.56,,,36.0,,,36.0,,,36.0
ASEA,ASEA,0.0,10,neutral,0.55,3.29,2.11,2.72,5.48,0.03,0.39,0.58,1.55,,,50.0,,,50.0,,,50.0
ASHR,ASHR,4.6,10,bullish,0.58,3.77,1.0,3.36,9.89,0.4,0.24,-0.05,1.5,,,41.0,,,41.0,,,41.0
