ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
EC,15.19,1.3,6.15,27.75,56.76,61.42,46.2,4.73,4.51,2.05,1.08,0.81,4,True,True,True,True,True,9.2,35.13,34.16,10.44,35.09,29.35,3.24,41.77,-1.49,0.8826,XLE,0.39,-0.08,clean,0.647,thin,none,90.21622347569165,98.18694601128122,96.13215149073328,94.8,1
GPRE,17.45,3.32,13.61,27.09,76.62,89.47,223.15,4.1,1.99,2.83,1.17,2.91,4,True,True,True,True,True,16.66,34.47,211.11,17.9,34.43,206.3,10.7,41.11,175.46,-0.4525,XLE,0.44,0.87,clean,0.904,normal,none,97.38114423851732,98.18694601128122,88.31587429492345,94.6,2
SRZN,28.75,1.27,13.91,3.42,29.5,148.7,152.41,10.97,0.25,8.63,5.04,5.17,4,True,True,True,True,True,16.96,10.8,140.37,18.2,10.75,135.57,11.0,17.43,104.72,-0.1337,,,1.31,clean,0.673,thin,none,92.76121407467097,98.18694601128122,91.941982272361,94.3,3
CLMT,36.53,14.01,30.2,35.52,85.55,94.85,171.64,2.16,1.18,2.41,1.11,2.01,3,True,True,True,True,True,33.26,42.9,159.6,34.5,42.85,154.79,27.29,49.53,123.94,0.9766,,,3.64,overextended,0.857,normal,none,97.86462530217568,87.0668815471394,96.37389202256244,93.8,4
CNQ,50.28,0.38,3.92,14.86,53.32,53.79,62.44,10.33,3.79,3.59,1.01,1.17,4,True,True,True,True,True,6.97,22.24,50.4,8.21,22.19,45.59,1.01,28.87,14.75,0.3716,XLE,0.58,0.06,clean,0.849,normal,none,84.81735159817352,98.18694601128122,94.84286865431105,92.6,5
VLO,257.56,1.25,8.5,25.86,57.04,46.65,93.32,6.78,3.04,2.21,0.82,1.64,3,True,True,True,True,True,11.55,33.24,81.28,12.79,33.19,76.47,5.59,39.87,45.63,2.1032,XLE,0.65,1.97,clean,0.873,normal,none,92.26430298146657,87.0668815471394,98.22723609991942,92.5,6
NTR,76.33,0.89,4.76,1.68,21.6,29.77,49.96,5.38,0.35,12.87,1.38,2.31,4,True,True,True,True,True,7.82,9.06,37.92,9.06,9.01,33.11,1.85,15.69,2.27,0.1704,XLE,0.48,-0.32,clean,0.979,normal,none,83.46091861402094,98.18694601128122,93.79532634971797,91.8,7
XOM,175.01,2.37,8.61,14.76,46.93,49.3,48.45,3.64,1.71,3.18,1.05,1.03,3,True,True,True,True,True,11.67,22.14,36.41,12.91,22.09,31.6,5.7,28.77,0.76,1.229,XLE,0.9,2.34,overextended,0.874,normal,none,90.92130002686004,87.0668815471394,96.93795326349718,91.6,8
DOW,41.94,2.76,16.36,36.46,80.06,82.64,19.0,5.93,2.23,2.2,1.03,0.24,3,True,True,True,True,True,19.41,43.84,6.96,20.65,43.8,2.15,13.45,50.47,-28.69,2.4457,XLB,0.54,0.65,clean,0.748,thin,none,89.22911630405588,87.0668815471394,98.46897663174859,91.6,8
BG,130.57,1.52,8.07,8.22,46.58,59.29,70.68,5.3,1.02,5.66,1.27,1.52,3,True,True,True,True,True,11.12,15.6,58.64,12.36,15.55,53.83,5.16,22.23,22.99,0.0736,XLB,0.61,0.76,clean,0.789,normal,none,91.10260542573194,87.0668815471394,93.5535858178888,90.6,10
TTE,92.43,2.93,3.69,15.05,41.05,46.37,41.81,1.26,4.08,2.73,1.13,1.02,3,True,True,True,True,True,6.75,22.43,29.77,7.98,22.38,24.96,0.78,29.06,-5.89,0.0548,XLE,0.58,0.79,clean,0.926,normal,none,89.08138597904917,87.0668815471394,93.39242546333601,89.8,11
PSX,188.88,0.4,6.86,22.39,47.85,35.44,51.44,17.2,3.26,2.14,0.74,1.08,3,True,True,True,True,True,9.91,29.77,39.4,11.15,29.72,34.6,3.95,36.4,3.75,0.9711,XLE,0.75,0.83,clean,0.895,normal,none,84.22643029814667,87.0668815471394,96.29331184528606,89.2,12
COP,134.45,0.49,5.71,18.5,46.88,36.53,30.76,11.57,3.24,2.53,0.78,0.66,3,True,True,True,True,True,8.76,25.88,18.72,10.0,25.83,13.92,2.8,32.51,-16.93,1.5798,XLE,0.86,1.04,clean,0.742,thin,none,82.41337630942787,87.0668815471394,97.5825946817083,89.0,13
CTRA,36.48,0.44,7.93,19.25,41.45,53.08,27.91,18.0,2.43,2.15,1.28,0.67,3,True,True,True,True,True,10.98,26.64,15.87,12.22,26.59,11.06,5.02,33.27,-19.78,1.3772,XLE,0.65,0.72,clean,0.609,thin,none,82.61482675261885,87.0668815471394,97.09911361804996,88.9,14
HAL,40.51,0.25,8.0,12.53,44.89,61.33,59.87,32.32,1.57,3.58,1.37,1.33,3,True,True,True,True,True,11.05,19.91,47.83,12.29,19.86,43.02,5.09,26.54,12.17,0.4202,XLE,0.69,0.94,clean,0.745,thin,none,84.35401557883428,87.0668815471394,95.08460918614021,88.8,15
NYT,83.33,0.64,0.77,4.44,18.77,43.2,70.13,1.21,5.73,4.23,2.3,3.74,4,True,True,True,True,True,3.83,11.82,58.09,5.07,11.77,53.28,-2.14,18.45,22.44,-0.6349,XLC,0.41,-1.08,clean,0.756,normal,none,81.78216492076282,98.18694601128122,85.5761482675262,88.5,16
LNG,297.32,0.1,3.52,26.13,57.05,24.7,31.1,34.3,7.42,2.18,0.43,0.55,3,True,True,True,True,True,6.58,33.51,19.06,7.81,33.46,14.25,0.61,40.14,-16.6,2.2603,XLE,0.48,0.77,clean,1.139,normal,none,77.96132151490734,87.0668815471394,98.30781627719581,87.8,17
MRK,120.95,1.09,4.56,-2.32,13.27,53.96,38.07,4.16,-0.51,-5.73,4.07,2.87,3,True,True,True,True,True,7.61,5.06,26.03,8.85,5.01,21.22,1.65,11.69,-9.62,-0.2459,XLP,0.61,0.24,clean,0.54,thin,none,82.46038141283911,87.0668815471394,91.0556003223207,86.9,18
WDS,24.39,-1.57,2.74,19.09,58.79,58.89,63.8,-1.74,6.97,3.08,1.0,1.09,3,True,True,True,True,True,5.79,26.47,51.76,7.03,26.42,46.95,-0.17,33.1,16.11,0.965,XLE,0.6,0.32,clean,1.138,normal,buy_today,76.90706419554122,87.0668815471394,96.21273166800967,86.7,19
CENX,55.55,11.86,19.51,7.74,38.25,98.46,190.08,1.65,0.4,4.94,2.57,4.97,3,True,True,True,True,True,22.57,15.12,178.04,23.81,15.07,173.23,16.6,21.75,142.39,-0.9977,IAU,0.38,1.49,clean,0.651,thin,none,95.98442116572654,87.0668815471394,76.87348912167606,86.6,20
SDRL,45.96,1.17,3.77,4.74,39.4,46.37,80.87,3.23,1.26,8.31,1.18,2.05,4,True,True,True,True,True,6.83,12.12,68.83,8.06,12.07,64.03,0.86,18.75,33.18,-1.1779,XLB,0.48,0.16,clean,0.527,thin,none,88.5777598710717,98.18694601128122,71.55519742143433,86.1,21
ECO,50.4,0.92,4.91,-6.75,50.54,70.85,129.93,5.33,-1.37,-7.48,1.4,2.57,3,True,True,True,True,True,7.97,0.63,117.89,9.21,0.58,113.08,2.0,7.26,82.23,-0.6598,VXUS,0.31,0.34,clean,0.815,normal,none,86.3215149073328,87.0668815471394,84.85092667203867,86.1,21
