ticker,composite_score,sustainability_score,extension_score,is_safe,pct_above_sma9,longest_run_days,positive_months,sma21_crosses,gain_last_1wk,gain_last_1mo,gain_last_3mo,gain_last_12mo,recency_ratio,extension_from_sma29_pct,regime,days_in_regime,current_price,dist_from_sma9_pct,dist_from_sma21_pct,dist_from_sma29_pct
WDC,1.0536,1.0,1.0,False,0.7380952380952381,31,10,10,-0.16692760521042083,0.039826467599468396,0.7056673932555457,7.158540325053664,0.05521706923088191,-0.10153620778398083,BREAKDOWN,7,532.1,-12.020502645502635,-12.553479712729713,-10.153620778398082
BTSG,1.0446,1.0,1.0,True,0.7261904761904762,28,12,7,0.006165758531689214,0.22247386759581889,0.5994985183496697,2.1895454545454545,1.423550395509999,0.09225145727995888,TRENDING,19,70.17,1.1062726137491634,6.619732576985417,9.225145727995889
TERN,1.0417,1.0,1.0,False,0.7222222222222222,40,11,5,0.0,0.006080182405472145,0.39415481832543464,16.650000000000002,0.004021768277822827,0.0027885167964056094,TRENDING,19,52.95,0.016790144185365816,0.21630390698930574,0.27885167964056096
ERAS,1.0402,1.0,0.8658,False,0.7380952380952381,45,11,9,0.0021834061135370675,0.5338345864661653,0.07620164126611972,11.929577464788732,0.6945158535258035,0.2549555707450443,TRENDING,11,18.36,5.773908590449347,19.921619856303078,25.495557074504433
SNDK,1.0357,1.0,1.0,False,0.7142857142857143,26,10,6,-0.2885259023718735,0.03743939666008278,1.2758863252673045,34.77399380804954,0.010830949324294221,-0.13478752330016883,BREAKDOWN,4,1617.7,-18.222902732250258,-16.401286228705477,-13.478752330016883
CIEN,1.0327,1.0,1.0,False,0.7103174603174603,22,10,11,-0.14605756686236138,-0.14194711292271756,-0.06468250424220767,4.2278796954948215,-0.26946498038822175,-0.1457561306273301,BREAKDOWN,4,418.91,-8.818742245751329,-7.726461731137749,-14.575613062733009
MTRN,1.0298,1.0,1.0,True,0.7063492063492064,19,9,12,-0.16876828407142141,0.11981879954699881,0.638605329444518,2.062438057482656,0.6837407164932158,-0.013240210929402535,BREAKDOWN,3,247.2,-10.410978762473128,-5.074679266811972,-1.3240210929402534
NESR,1.0179,1.0,1.0,False,0.6904761904761905,28,9,9,-0.07216839291680588,0.16192468619246858,0.28090405904059046,3.457463884430176,0.5608557234295095,0.07687473256311506,PULLBACK,1,27.77,-0.3905782950061749,6.2956819714561965,7.687473256311506
ASX,1.0089,1.0,1.0,True,0.6785714285714286,32,9,10,-0.12123226950354604,0.1651483984719364,0.7868409193330328,2.9141164856860806,0.6262693357244472,0.00707673174106864,PULLBACK,1,39.65,-5.714965123652511,0.43302052927411205,0.707673174106864
MU,1.0089,1.0,1.0,False,0.6785714285714286,31,9,12,-0.1870500480815046,0.08607539264591835,1.4852481593304732,6.82505003335557,0.12768182748646736,-0.08332126276757083,BREAKDOWN,4,938.38,-12.254829640496471,-9.574735597837044,-8.332126276757084
POWL,1.006,1.0,1.0,True,0.6746031746031746,31,9,13,-0.1826721609163291,-0.17839716361849267,0.16038671294001006,2.252501389660923,-0.5983166317559264,-0.18112403091422818,BREAKDOWN,7,234.05,-13.818427297275178,-17.262432813233822,-18.11240309142282
AXGN,1.0,1.0,1.0,True,0.6666666666666666,21,9,13,-0.03507252652089188,0.041355140186915884,0.4382058728622138,2.9234154929577465,0.16009300975715338,0.03756000449532006,PULLBACK,1,44.57,-0.5380609967765743,1.370055885283531,3.7560004495320056
STX,1.0,1.0,1.0,False,0.6666666666666666,31,9,14,-0.14234196891191708,-0.023399058373747783,0.7657450076804915,4.577464788732395,-0.048108007708160025,-0.11036864668437422,BREAKDOWN,9,827.64,-10.074861558631891,-12.165569269441212,-11.036864668437422
VIAV,1.0,1.0,1.0,True,0.6666666666666666,24,8,15,-0.1576963350785341,-0.154331370899916,0.04359107420861452,2.931573802541544,-0.39376014146525584,-0.17868082499489496,BREAKDOWN,10,40.22,-12.567329291563,-16.393296576027243,-17.868082499489496
ENLT,0.994,1.0,1.0,True,0.6587301587301587,21,10,13,-0.07661199730397661,-0.09650472631347551,0.19720361200116532,2.192233009708738,-0.379112565143954,-0.11446434342646346,BREAKDOWN,1,82.2,-5.635347840506127,-7.936000000000003,-11.446434342646345
MNMD,0.994,1.0,1.0,True,0.6587301587301587,20,9,14,-0.026690391459074814,0.062135922330097015,0.2962085308056872,2.424100156494523,0.330550748176594,0.05021682280115176,PULLBACK,5,21.88,-1.7659383418138175,0.2793539938891239,5.021682280115176
AXTI,0.9911,1.0,1.0,False,0.6547619047619048,29,10,8,-0.19325749167591566,-0.3469227313566937,0.2791465024197095,24.50438596491228,-0.08369329691985708,-0.3472185125400162,BREAKDOWN,10,58.15,-12.220526324617166,-27.139456208495176,-34.72185125400162
FIX,0.9911,1.0,1.0,True,0.6547619047619048,31,8,14,-0.15061429400338056,-0.08704187771836391,0.18143602052059427,2.1089606264312626,-0.3618579789730064,-0.10286538706440196,BREAKDOWN,4,1683.44,-10.029020482985885,-10.60835818314086,-10.286538706440195
MUU,0.9911,1.0,1.0,False,0.6547619047619048,29,9,15,-0.3433867630371974,0.04125020791435441,3.627133449805134,28.939565217391305,0.011844763420685363,-0.23331650468290788,BREAKDOWN,4,688.61,-24.83745580896131,-23.408755064749343,-23.33165046829079
TER,0.9911,1.0,1.0,True,0.6547619047619048,26,10,12,-0.290860615079365,-0.04140474394434668,0.07061283075386915,2.7875041395297493,-0.1264714881611441,-0.1497061201190219,BREAKDOWN,4,343.11,-18.78262973648981,-16.232033677807717,-14.97061201190219
