ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,potential_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
BBY,64.33,62.84,2.36,OPTIMAL,95,1.48,0.9,62.89,2.29,,,,0.093,-30.2,76.8,58.0,clean,78.5,WARNING,-12.4,0,Deep Decline,6.51,-2.46,-5.16,XLF,equity,Equity,2.0,False,False,"{'grade': 'OK', 'median_mae': -3.12, 'median_ttg': 1.0, 'prob_good': 39.2, 'prob_bad': 38.3}",83.7
RYN,20.87,20.73,0.7,OPTIMAL,95,1.48,0.9,20.24,3.11,,,,0.177,-50.7,67.5,152.0,clean,83.8,WARNING,-15.9,1,Basing,3.68,-4.05,-4.0,XLRE,index,Index,10.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -2.68, 'median_ttg': 1.0, 'prob_good': 42.7, 'prob_bad': 35.9}",82.0
AJG,216.51,216.17,0.16,OPTIMAL,95,1.48,0.9,213.76,1.28,,,,0.108,-40.5,65.2,194.0,clean,80.3,WARNING,-18.9,0,Deep Decline,1.38,-3.87,-17.34,XLF,index,Index,10.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -2.68, 'median_ttg': 1.0, 'prob_good': 42.7, 'prob_bad': 35.9}",80.2
ELV,298.64,297.7,0.32,OPTIMAL,95,1.48,0.9,291.52,2.44,,,,0.233,32.4,59.8,314.0,clean,86.6,WARNING,-22.0,0,Deep Decline,0.86,5.14,-14.38,XLV,equity,Equity,7.0,True,False,"{'grade': 'OK', 'median_mae': -3.5, 'median_ttg': 1.0, 'prob_good': 35.8, 'prob_bad': 41.8}",80.2
OBYCF,25.41,25.29,0.49,OPTIMAL,95,1.48,0.9,24.3,4.59,,,,0.188,-69.4,83.9,19.0,clean,54.0,CAUTION,-14.1,3,Parabolic,4.78,1.64,17.64,XLI,index,Index,15.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -2.68, 'median_ttg': 1.0, 'prob_good': 42.7, 'prob_bad': 35.9}",78.8
CLOU,19.74,19.39,1.81,OPTIMAL,95,1.48,0.9,19.49,1.29,,,,0.187,-29.5,55.7,443.0,clean,82.8,WARNING,-14.3,0,Deep Decline,0.97,2.97,-13.42,XLK,equity,Equity,27.0,False,False,"{'grade': 'OK', 'median_mae': -4.1, 'median_ttg': 1.0, 'prob_good': 35.0, 'prob_bad': 46.6}",77.6
PANW,160.67,158.37,1.45,OPTIMAL,95,1.48,0.9,158.59,1.31,,,,0.275,-80.5,55.3,458.0,overextended,81.3,WARNING,-18.1,0,Deep Decline,4.86,2.93,-14.01,,equity,Equity,27.0,False,False,"{'grade': 'OK', 'median_mae': -4.1, 'median_ttg': 1.0, 'prob_good': 35.0, 'prob_bad': 46.6}",77.0
MTG,26.26,26.24,0.09,OPTIMAL,95,1.48,0.9,25.98,1.07,,,,0.34,-29.9,58.8,341.0,clean,76.9,WARNING,-11.8,0,Deep Decline,0.97,-1.71,-11.28,XLF,equity,Equity,19.0,False,False,"{'grade': 'OK', 'median_mae': -3.42, 'median_ttg': 2.0, 'prob_good': 36.7, 'prob_bad': 41.9}",76.9
PRU,97.99,96.55,1.49,OPTIMAL,95,1.48,0.9,94.86,3.3,,,,0.029,-15.4,55.1,467.0,clean,80.1,WARNING,-18.2,0,Deep Decline,2.87,-0.77,-13.81,XLF,equity,Equity,19.0,False,False,"{'grade': 'OK', 'median_mae': -3.42, 'median_ttg': 2.0, 'prob_good': 36.7, 'prob_bad': 41.9}",76.6
IQV,172.43,169.17,1.93,OPTIMAL,95,1.48,0.9,167.36,3.03,,,,0.272,-59.7,53.6,511.0,clean,81.3,WARNING,-30.2,0,Deep Decline,4.1,-0.88,-24.27,QQQ,equity,Equity,7.0,True,False,"{'grade': 'OK', 'median_mae': -3.5, 'median_ttg': 1.0, 'prob_good': 35.8, 'prob_bad': 41.8}",76.4
ZM,80.68,78.14,3.26,OPTIMAL,95,1.48,0.9,78.22,3.15,,,,0.3,48.6,54.3,487.0,clean,80.6,WARNING,-17.3,0,Deep Decline,3.29,9.77,-6.51,QQQ,equity,Equity,27.0,False,False,"{'grade': 'OK', 'median_mae': -4.1, 'median_ttg': 1.0, 'prob_good': 35.0, 'prob_bad': 46.6}",76.4
PSIX,66.18,65.23,1.45,OPTIMAL,95,1.48,0.9,58.96,12.25,ELEVATED,1.51,0.6,0.306,154.1,68.6,136.0,clean,62.4,WARNING,-37.9,2,Sustained Uptrend,1.91,8.65,11.81,VXUS,sector,Sector,32.0,False,False,"{'grade': 'OK', 'median_mae': -3.17, 'median_ttg': 1.0, 'prob_good': 38.9, 'prob_bad': 40.3}",76.0
SF,73.98,73.18,1.1,OPTIMAL,95,1.48,0.9,72.08,2.63,,,,0.034,-16.3,57.1,400.0,clean,76.0,WARNING,-17.6,0,Deep Decline,2.0,-1.02,-12.58,XLF,equity,Equity,19.0,False,False,"{'grade': 'OK', 'median_mae': -3.42, 'median_ttg': 2.0, 'prob_good': 36.7, 'prob_bad': 41.9}",76.0
COLO,39.71,38.48,3.2,OPTIMAL,95,1.48,0.9,38.4,3.42,,,,0.488,61.4,82.9,25.0,clean,45.4,CAUTION,-9.2,2,Sustained Uptrend,2.69,8.85,10.55,VXUS,index,Index,42.0,False,False,"{'grade': 'OK', 'median_mae': -3.17, 'median_ttg': 1.0, 'prob_good': 38.9, 'prob_bad': 40.3}",75.9
HUM,176.93,174.68,1.29,OPTIMAL,95,1.48,0.9,170.83,3.57,,,,0.092,-36.8,55.0,470.0,clean,77.3,WARNING,-38.0,0,Deep Decline,1.54,-2.56,-31.7,XLV,equity,Equity,7.0,True,False,"{'grade': 'OK', 'median_mae': -3.5, 'median_ttg': 1.0, 'prob_good': 35.8, 'prob_bad': 41.8}",75.7
ALLY,39.75,38.91,2.16,OPTIMAL,95,1.48,0.9,38.83,2.37,,,,0.039,26.1,52.8,533.0,clean,78.4,WARNING,-15.9,0,Deep Decline,1.33,-0.33,-12.81,XLF,equity,Equity,19.0,False,False,"{'grade': 'OK', 'median_mae': -3.42, 'median_ttg': 2.0, 'prob_good': 36.7, 'prob_bad': 41.9}",75.3
SYF,68.33,67.54,1.17,OPTIMAL,95,1.48,0.9,66.77,2.34,,,,0.004,5.8,49.0,677.0,clean,82.5,WARNING,-23.0,0,Deep Decline,1.04,-0.48,-18.95,XLF,equity,Equity,19.0,False,False,"{'grade': 'OK', 'median_mae': -3.42, 'median_ttg': 2.0, 'prob_good': 36.7, 'prob_bad': 41.9}",75.2
WFC,80.58,80.05,0.67,OPTIMAL,95,1.48,0.9,78.53,2.61,,,,0.017,-16.1,47.5,721.0,clean,83.3,WARNING,-17.6,0,Deep Decline,0.4,-2.36,-14.56,XLF,equity,Equity,19.0,False,False,"{'grade': 'OK', 'median_mae': -3.42, 'median_ttg': 2.0, 'prob_good': 36.7, 'prob_bad': 41.9}",74.9
BWA,54.58,54.34,0.44,OPTIMAL,95,1.48,0.9,54.03,1.02,,,,0.321,57.2,74.6,72.0,clean,50.8,CAUTION,-22.1,3,Parabolic,-2.74,0.85,19.35,XLB,sector,Sector,34.0,False,False,"{'grade': 'OK', 'median_mae': -3.56, 'median_ttg': 2.0, 'prob_good': 36.2, 'prob_bad': 41.8}",74.6
LEA,122.01,121.96,0.04,OPTIMAL,95,1.48,0.9,119.03,2.5,,,,0.001,2.8,63.0,231.0,clean,64.5,WARNING,-14.6,2,Sustained Uptrend,-0.18,-1.29,4.88,XLB,sector,Sector,34.0,False,False,"{'grade': 'OK', 'median_mae': -3.56, 'median_ttg': 2.0, 'prob_good': 36.2, 'prob_bad': 41.8}",74.6
MEOH,59.01,53.98,9.32,OPTIMAL,90,1.5,1.11,58.91,0.16,,,,0.515,221.0,85.1,17.0,stalling,44.0,CAUTION,-11.6,3,Parabolic,0.85,15.32,46.5,XLE,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -3.73, 'median_ttg': 2.0, 'prob_good': 34.3, 'prob_bad': 43.4}",74.5
HDEF,32.49,32.46,0.09,OPTIMAL,95,1.48,0.9,31.81,2.13,,,,0.176,-20.7,69.0,129.0,clean,56.4,WARNING,-5.2,2,Sustained Uptrend,1.82,-0.82,4.57,VGK,index,Index,1.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -2.68, 'median_ttg': 1.0, 'prob_good': 42.7, 'prob_bad': 35.9}",74.3
