ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
VTR,87.26,84.67,3.06,OPTIMAL,95,1.48,0.9,86.13,1.31,,,,0.043,6.4,81.3,26.0,clean,92.9,HEALTHY,-0.7,2,Sustained Uptrend,2.82,1.83,12.26,XLRE,sector,Sector,14.0,False,False,"{'grade': 'OK', 'median_mae': -3.14, 'median_ttg': 1.0, 'prob_good': 36.4, 'prob_bad': 36.4}",89.6
CTRA,32.16,30.64,4.95,OPTIMAL,95,1.48,0.9,31.06,3.51,,,,0.068,21.9,81.7,23.0,clean,91.2,HEALTHY,-1.6,2,Sustained Uptrend,3.63,1.6,19.0,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'ROUGH', 'median_mae': -6.45, 'median_ttg': 2.0, 'prob_good': 21.1, 'prob_bad': 59.9}",89.2
HCA,536.76,526.79,1.89,OPTIMAL,95,1.48,0.9,537.58,-0.15,,,,0.048,8.7,82.7,21.0,clean,89.8,HEALTHY,-3.5,2,Sustained Uptrend,0.74,1.0,14.51,,bond,Bond,4.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -1.18, 'median_ttg': 2.0, 'prob_good': 50.9, 'prob_bad': 37.7}",89.1
EQIX,974.47,917.57,6.2,OPTIMAL,90,1.5,1.11,961.77,1.32,,,,0.321,44.6,80.7,30.0,clean,96.4,HEALTHY,-1.9,2,Sustained Uptrend,3.98,12.33,32.69,XLU,sector,Sector,14.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -6.06, 'median_ttg': 10.0, 'prob_good': 17.6, 'prob_bad': 64.7}",88.7
XLU,47.23,45.82,3.08,OPTIMAL,95,1.48,0.9,46.87,0.77,,,,0.179,22.6,80.8,29.0,clean,89.5,HEALTHY,-1.2,2,Sustained Uptrend,1.04,5.91,10.52,XLU,equity,Equity,2.0,False,False,"{'grade': 'OK', 'median_mae': -4.25, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 46.1}",88.4
VPU,203.59,198.16,2.75,OPTIMAL,95,1.48,0.9,202.24,0.67,,,,0.12,17.1,80.3,33.0,clean,89.4,HEALTHY,-1.2,2,Sustained Uptrend,0.99,5.36,9.78,XLU,equity,Equity,2.0,False,False,"{'grade': 'OK', 'median_mae': -4.25, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 46.1}",88.2
CTRE,40.29,39.6,1.75,OPTIMAL,95,1.48,0.9,39.95,0.85,,,,0.111,-17.2,82.7,21.0,clean,86.4,HEALTHY,-3.4,2,Sustained Uptrend,0.88,2.28,9.45,TLT,sector,Sector,14.0,False,False,"{'grade': 'OK', 'median_mae': -3.14, 'median_ttg': 1.0, 'prob_good': 36.4, 'prob_bad': 36.4}",88.1
EQT,64.51,59.33,8.74,OPTIMAL,90,1.5,1.11,62.52,3.18,,,,0.879,133.7,81.5,24.0,clean,93.4,HEALTHY,-1.3,2,Sustained Uptrend,4.12,13.25,12.68,XLE,equity,Equity,19.0,False,False,"{'grade': 'OK', 'median_mae': -5.39, 'median_ttg': 2.0, 'prob_good': 34.6, 'prob_bad': 51.9}",88.0
COP,121.82,111.73,9.03,OPTIMAL,90,1.5,1.11,117.66,3.54,,,,0.759,125.0,86.0,10.0,overextended,87.1,HEALTHY,-0.6,3,Parabolic,4.06,9.54,25.85,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -8.52, 'median_ttg': 4.0, 'prob_good': 16.3, 'prob_bad': 70.0}",87.7
PWR,570.04,537.88,5.98,OPTIMAL,90,1.5,1.11,563.32,1.19,,,,0.506,97.2,80.7,30.0,clean,93.0,HEALTHY,-1.2,3,Parabolic,5.53,8.8,23.33,XLK,index,Index,1.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -5.5, 'median_ttg': 3.0, 'prob_good': 19.5, 'prob_bad': 61.9}",87.6
