ticker,name,sr_score,sr_total,hist_agree,ret_3d,ret_5d,ret_10d,ret_1m,ret_3m,mom_3m,mom_1m,mom_10d,mom_5d,pred_3d_avg,pred_3d_winrate,pred_3d_n,pred_5d_avg,pred_5d_winrate,pred_5d_n,pred_10d_avg,pred_10d_winrate,pred_10d_n
AAXJ,Asia ex-Jpn,3.5,10,bullish,1.38,-2.4,-0.72,5.37,7.76,-0.27,0.39,-0.67,-1.21,,,76,,,76,,,76
ACWI,ACWI,3.4,10,bullish,0.87,-0.61,1.14,3.68,5.46,-0.08,0.46,0.07,-0.65,,,76,,,76,,,76
ACWX,ACWX,3.4,10,bullish,1.61,-0.15,0.7,2.64,1.59,-1.36,0.13,-0.12,-0.31,,,76,,,76,,,76
AFK,Africa,3.5,10,bullish,-0.22,-3.3,-4.26,-4.4,-9.66,-2.0,-1.32,-1.33,-1.22,,,76,,,76,,,76
AGF,AGF,0.0,10,bearish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.06,,,48,,,48,,,48
AGG,Agg Bond,2.0,10,bearish,0.34,-0.3,-0.62,-1.27,-2.54,-2.0,-1.54,-0.95,-0.63,,,89,,,89,,,89
AIA,AIA,3.6,10,bullish,2.46,-1.75,1.42,10.98,16.75,0.56,0.94,-0.23,-0.87,,,76,,,76,,,76
AIQ,AIQ,5.5,10,bullish,3.11,0.29,4.37,13.9,25.52,1.65,1.44,0.57,-0.18,,,46,,,46,,,46
AIRR,AIRR,3.3,10,bullish,-0.28,-4.93,-3.4,0.56,2.22,-1.71,-0.79,-1.39,-2.0,,,73,,,73,,,73
ALAI,ALAI,4.8,10,bullish,3.87,0.23,4.52,11.05,24.96,0.85,0.87,0.55,-0.22,,,28,,,28,,,28
AMG,AMG,0.0,10,bearish,1.89,0.18,1.64,0.44,5.19,-0.82,-0.63,-0.11,-0.23,,,98,,,98,,,98
AMLP,AMLP,3.6,10,bullish,-0.51,0.58,1.54,4.37,4.61,0.5,1.26,0.56,0.25,,,76,,,76,,,76
APIE,APIE,3.2,10,bullish,1.63,-0.37,-0.37,1.52,-1.6,-1.41,-0.05,-0.42,-0.35,,,28,,,28,,,28
APO,APO,3.7,10,bullish,-2.36,-3.41,2.43,1.43,9.34,0.93,0.13,0.35,-0.72,,,76,,,76,,,76
ARES,ARES,5.2,10,bullish,0.23,-3.53,0.68,2.43,0.67,0.3,0.34,0.21,-0.56,,,73,,,73,,,73
ARGT,ARGT,2.7,10,bullish,2.35,2.88,-0.5,-1.4,-3.6,-0.46,-0.2,-0.09,0.54,,,76,,,76,,,76
ARKF,ARKF,3.0,10,bullish,1.47,-1.67,-2.34,-5.38,7.27,0.05,-0.65,-0.41,-0.39,,,46,,,46,,,46
ARKG,ARKG,2.5,10,bullish,8.61,4.63,0.49,-1.13,5.97,-0.1,-0.44,-0.14,0.75,,,71,,,71,,,71
ARKK,ARKK,3.5,10,bullish,2.83,-1.77,-1.68,-3.38,7.18,-0.21,-0.69,-0.47,-0.52,,,71,,,71,,,71
ARKQ,ARKQ,4.2,10,bullish,1.44,-2.99,2.28,1.9,6.79,-0.68,-0.4,-0.02,-0.97,,,71,,,71,,,71
ARKW,ARKW,4.1,10,bullish,1.63,-1.54,-0.27,3.06,17.44,0.29,0.01,-0.22,-0.45,,,71,,,71,,,71
ARKX,ARKX,4.4,10,bullish,1.03,-1.85,4.9,2.07,5.87,-0.7,-0.33,0.41,-0.67,,,31,,,31,,,31
ARTY,ARTY,5.5,10,bullish,5.65,-0.67,2.75,11.15,32.9,1.68,0.57,0.01,-0.47,,,46,,,46,,,46
ASEA,ASEA,3.0,10,bullish,0.55,0.4,1.42,1.73,-2.58,-2.0,0.03,0.29,0.02,,,76,,,76,,,76
ASHR,ASHR,2.4,10,bullish,-0.17,-2.46,-0.84,0.57,3.37,-0.5,-0.55,-0.75,-1.48,,,73,,,73,,,73
AVDE,AVDE,3.7,10,bullish,0.9,-0.23,0.8,1.87,-0.64,-1.8,-0.09,-0.09,-0.37,,,46,,,46,,,46
AVDV,AVDV,3.9,10,bullish,0.04,-1.59,0.54,2.89,-0.29,-2.0,-0.1,-0.34,-1.07,,,46,,,46,,,46
AVEM,AVEM,3.9,10,bullish,1.79,-2.02,-0.67,3.66,5.46,-0.86,0.05,-0.7,-1.14,,,46,,,46,,,46
AVES,AVES,3.0,10,bullish,1.11,-2.26,-1.62,0.31,-0.68,-1.66,-0.55,-0.94,-1.27,,,31,,,31,,,31
AVIV,AVIV,3.7,10,bullish,0.78,-0.04,1.17,2.17,-0.8,-2.0,-0.07,0.02,-0.31,,,31,,,31,,,31
AVNM,AVNM,3.4,10,bullish,0.91,-0.98,0.11,2.03,0.53,-1.78,-0.16,-0.42,-0.8,,,28,,,28,,,28
BAI,BAI,5.6,10,bullish,4.37,-2.34,5.23,14.27,35.06,1.44,1.0,0.45,-0.86,,,28,,,28,,,28
BAM,BAM,3.0,10,bullish,-0.16,-1.78,-0.51,0.06,-4.0,-0.17,0.14,0.02,-0.39,,,28,,,28,,,28
BATT,BATT,3.4,10,bullish,2.52,-5.28,-3.81,-2.0,6.59,-1.0,-1.22,-1.35,-1.66,,,46,,,46,,,46
BBCA,BBCA,2.2,10,bullish,1.72,0.83,1.53,1.32,2.45,-1.38,-0.37,0.21,0.19,,,46,,,46,,,46
BBEU,BBEU,2.4,10,bullish,1.93,1.59,1.74,1.9,-1.44,-1.4,0.12,0.4,0.65,,,46,,,46,,,46
BBIN,BBIN,3.5,10,bullish,1.45,0.68,1.1,2.07,-1.41,-1.62,0.14,0.14,0.17,,,46,,,46,,,46
BBJP,BBJP,3.7,10,bullish,0.32,-1.01,0.34,4.02,-0.6,-1.47,0.48,-0.19,-0.57,,,46,,,46,,,46
