ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
SNOW,180.78,173.76,4.04,OPTIMAL,95,1.48,0.9,175.79,2.83,,,,0.055,38.0,0.0,243.0,clean,29.0,WARNING,-23.5,0,Deep Decline,0.16,1.09,-16.52,XLK,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",42.0
CRM,196.21,192.99,1.67,OPTIMAL,95,1.48,0.9,196.89,-0.35,,,,0.557,103.6,0.0,243.0,clean,28.7,WARNING,-27.1,0,Deep Decline,-2.92,6.06,-25.73,XLF,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",41.9
INTU,437.27,421.25,3.8,OPTIMAL,95,1.48,0.9,448.1,-2.42,,,,0.589,275.8,0.0,243.0,clean,28.8,WARNING,-35.8,0,Deep Decline,-9.12,9.4,-33.99,XLF,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",41.9
DDOG,128.75,119.17,8.04,OPTIMAL,90,1.5,1.11,122.44,5.16,,,,0.095,84.9,0.0,243.0,clean,34.2,WARNING,-14.8,0,Deep Decline,2.39,1.12,-14.85,XLK,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.64, 'median_ttg': 1.0, 'prob_good': 22.2, 'prob_bad': 53.7}",41.8
NBTX,35.14,28.07,25.18,WARNING,5,1.66,-14.83,34.46,1.96,,,,0.738,548.9,65.2,144.0,clean,57.5,CAUTION,-16.1,3,Parabolic,3.38,45.69,55.9,LQD,index,Index,1.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -16.2, 'median_ttg': 3.0, 'prob_good': 14.6, 'prob_bad': 75.6}",41.8
ETSY,54.19,52.59,3.05,OPTIMAL,95,1.48,0.9,54.51,-0.59,,,,0.517,233.3,0.0,243.0,clean,28.2,WARNING,-16.0,1,Basing,-3.92,14.18,-0.99,XLF,equity,Equity,37.0,False,False,"{'grade': 'OK', 'median_mae': -4.25, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 46.1}",41.7
NDAQ,85.62,85.17,0.52,OPTIMAL,95,1.48,0.9,87.22,-1.83,,,,0.55,126.9,0.0,243.0,clean,28.0,WARNING,-15.9,1,Basing,-3.18,6.47,-6.85,XLF,equity,Equity,19.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.24, 'median_ttg': 2.0, 'prob_good': 27.9, 'prob_bad': 53.4}",41.6
FDIG,36.95,36.1,2.35,OPTIMAL,95,1.48,0.9,36.15,2.19,,,,0.147,34.6,0.0,243.0,clean,27.2,WARNING,-18.5,0,Deep Decline,5.71,1.97,-18.1,XLK,equity,Equity,8.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",41.4
CIBR,66.13,65.47,1.0,OPTIMAL,95,1.48,0.9,65.3,1.27,,,,0.04,20.2,0.0,243.0,clean,26.8,WARNING,-13.1,0,Deep Decline,0.19,-2.21,-13.1,XLK,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",41.3
ORCL,159.24,152.33,4.53,OPTIMAL,95,1.48,0.9,154.09,3.34,,,,0.027,24.1,0.0,243.0,clean,26.6,WARNING,-23.4,0,Deep Decline,4.1,1.32,-28.6,XLK,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",41.2
