ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,slope_stage,slope_tq_score,health_score,health_verdict,spread_support,source_count,sources,sector
EC,XLE,10.0,89.1,50.0,83.9,,,,,,,7.0,,,87.8,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Energy
VDE,XLE,20.0,85.9,61.0,83.2,,,,,,4.0,,,,86.0,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
XLE,XLE,22.0,85.6,61.0,83.2,,,,,,4.4,,,,82.6,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
HAL,XLE,32.0,83.7,120.0,80.0,,,,,,,6.0,,,85.6,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Energy
PBR,XLE,51.0,78.9,8.0,90.1,,,,,,,7.0,,,83.9,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Energy
BG,XLB,79.0,74.7,82.0,81.9,,,,,,,6.0,,,83.1,HEALTHY,bearish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Consumer Defensive
PARR,XLE,1.0,94.2,78.0,82.0,,,,,,,,,,81.8,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
CLMT,--,2.0,94.1,3.0,92.7,,,,,,,,,,85.9,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
GPRE,XLE,3.0,94.0,92.0,81.2,,,,,,,,,,83.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TNGX,--,4.0,93.0,50.0,83.9,,,,,,,,,,87.1,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
DVN,XLE,5.0,92.6,48.0,84.1,,,,,,,3.0,,,86.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
LINC,LQD,6.0,92.3,1.0,95.4,,,,,,,,,,84.6,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
OXY,XLE,8.0,90.0,53.0,83.8,,,,,,,3.0,,,80.6,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
MRVL,VXUS,9.0,89.3,37.0,85.9,,,,,,,0.0,,,82.5,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",Technology
MNMD,--,11.0,88.8,63.0,83.1,,,,,,,,,,88.8,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TERN,--,15.0,86.7,70.0,82.6,,,,,,,,,,86.6,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
CVX,XLE,16.0,86.6,65.0,83.0,,,,,,,4.0,,,84.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
EOG,XLE,17.0,86.4,75.0,82.2,,,,,,,2.0,,,85.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
SNDX,XLV,21.0,85.8,108.0,80.6,,,,,,,,,,82.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
REX,SPY,27.0,84.9,28.0,86.5,,,,,,,,,,88.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
ROST,XLY,28.0,84.7,11.0,89.8,,,,,,,3.0,,,86.0,HEALTHY,bearish,3,"['ranker', 'ranker_long', 'pullback_health']",Consumer Cyclical
NYT,XLC,30.0,84.5,4.0,92.2,,,,,,,4.0,,,87.4,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Communication Services
HOLX,--,31.0,84.1,41.0,85.3,,,,,,,1.0,,,81.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Healthcare
EPD,IAU,33.0,83.5,95.0,81.0,,,,,,,3.0,,,89.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
SHEL,XLE,34.0,83.4,117.0,80.1,,,,,,,3.0,,,86.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
VIST,XLE,35.0,82.5,145.0,78.6,,,,,,,,,,83.6,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
PBF,XLE,38.0,81.8,23.0,87.3,,,,,,,,,,87.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
DLX,XLF,39.0,81.7,84.0,81.7,,,,,,,,,,89.2,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
XOP,XLE,41.0,81.0,,,,,,,,4.5,,,,85.7,HEALTHY,none,3,"['ranker', 'secrot', 'pullback_health']",
MPC,XLE,42.0,80.9,6.0,91.5,,,,,,,1.0,,,91.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
COP,XLE,47.0,80.3,46.0,84.4,,,,,,,4.0,,,85.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
PSX,XLE,50.0,79.1,48.0,84.1,,,,,,,3.0,,,86.8,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
MUSA,--,56.0,78.4,82.0,81.9,,,,,,,,,,92.9,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
MPLX,XLU,59.0,77.9,58.0,83.3,,,,,,,2.0,,,86.4,HEALTHY,bearish,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
HII,XLI,68.0,76.0,108.0,80.6,,,,,,,7.0,,,49.3,WARNING,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
LHX,XLI,69.0,75.8,22.0,87.5,,,,,,,8.0,,,53.8,CAUTION,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
CTVA,XLB,73.0,75.5,95.0,81.0,,,,,,,3.0,,,88.1,HEALTHY,bearish,3,"['ranker', 'ranker_long', 'pullback_health']",Basic Materials
ERAS,--,74.0,75.4,131.0,79.5,,,,,,,,,,86.1,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
RAAX,IAU,75.0,75.1,139.0,78.9,,,,,,3.9,,,,56.5,CAUTION,none,3,"['ranker', 'ranker_long', 'secrot']",
IYZ,XLI,77.0,75.0,,,,,,,,4.3,,,,84.6,HEALTHY,none,3,"['ranker', 'secrot', 'pullback_health']",
TTE,XLE,88.0,74.1,65.0,83.0,,,,,,,3.0,,,80.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
FTI,VXUS,91.0,73.8,9.0,90.0,,,,,,,4.0,,,88.2,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
OKE,XLE,95.0,73.7,95.0,81.0,,,,,,,2.0,,,86.2,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
T,--,97.0,73.3,56.0,83.6,,,,,,,1.0,,,87.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Communication Services
PWR,XLI,107.0,72.1,15.0,88.4,,,,,,,3.0,,,87.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Industrials
SYRE,VXUS,110.0,71.9,141.0,78.8,,,,,,,,,,84.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
DGRO,XLI,110.0,71.9,142.0,78.7,,,,,,3.8,,,,47.4,WARNING,none,3,"['ranker', 'ranker_long', 'secrot']",
CACI,--,110.0,71.9,25.0,86.9,,,,,,,5.0,,,44.5,WARNING,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Technology
DVA,--,114.0,71.8,25.0,86.9,,,,,,,,,,81.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
NORW,XLI,115.0,71.7,53.0,83.8,,,,,,3.9,,,,70.9,CAUTION,none,3,"['ranker', 'ranker_long', 'secrot']",
VTV,XLI,118.0,71.5,123.0,79.9,,,,,,3.5,,,,55.8,CAUTION,none,3,"['ranker', 'ranker_long', 'secrot']",
UFO,VXUS,123.0,70.9,,,,,,,,3.7,,,,82.0,HEALTHY,none,3,"['ranker', 'secrot', 'pullback_health']",
TIGO,XLI,125.0,70.6,40.0,85.5,,,,,,,,,,87.4,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TEN,QQQ,127.0,70.4,14.0,88.6,,,,,,,,,,85.0,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",
PPA,XLI,139.0,69.8,65.0,83.0,,,,,,3.5,,,,55.8,CAUTION,none,3,"['ranker', 'ranker_long', 'secrot']",
AL,HYG,141.0,69.7,90.0,81.3,,,,,,,,,,81.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
MTZ,XLI,144.0,69.5,29.0,86.4,,,,,,,3.0,,,81.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Industrials
VLO,XLE,149.0,69.2,5.0,92.0,,,,,,,4.0,,,86.4,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
CW,--,,,17.0,88.1,,,,,,,5.0,,,84.2,HEALTHY,none,3,"['ranker_long', 'stock_secrot', 'pullback_health']",Industrials
FAN,--,,,114.0,80.3,,,,,,3.2,,,,82.9,HEALTHY,none,3,"['ranker_long', 'secrot', 'pullback_health']",
NTR,XLE,7.0,91.2,149.0,78.3,,,,,,,3.0,,,56.9,CAUTION,bearish,2,"['ranker', 'ranker_long']",Basic Materials
LYB,XLE,12.0,88.6,,,,,,,,,4.0,,,84.6,HEALTHY,bearish,2,"['ranker', 'pullback_health']",Basic Materials
FANG,XLE,13.0,88.5,,,,,,,,,2.0,,,86.0,HEALTHY,none,2,"['ranker', 'pullback_health']",Energy
CTRA,XLE,14.0,88.0,,,,,,,,,4.0,,,86.1,HEALTHY,none,2,"['ranker', 'pullback_health']",Energy
TYRA,--,23.0,85.5,,,,,,,,,,,,88.5,HEALTHY,none,2,"['ranker', 'pullback_health']",
FPLSF,XLF,24.0,85.4,142.0,78.7,,,,,,,,,,75.6,CAUTION,none,2,"['ranker', 'ranker_long']",
ULS,XLI,25.0,85.3,,,,,,,,,2.0,,,80.6,HEALTHY,none,2,"['ranker', 'pullback_health']",Industrials
XOM,XLE,26.0,85.2,47.0,84.2,,,,,,,3.0,,,78.7,CAUTION,none,2,"['ranker', 'ranker_long']",Energy
APA,XLE,29.0,84.6,,,,,,,,,,,,85.9,HEALTHY,none,2,"['ranker', 'pullback_health']",
WMT,XLP,35.0,82.5,10.0,89.9,,,,,,,3.0,,,51.5,CAUTION,bearish,2,"['ranker', 'ranker_long']",Consumer Defensive
JNJ,XLP,37.0,81.9,102.0,80.8,,,,,,,2.0,,,61.3,CAUTION,bearish,2,"['ranker', 'ranker_long']",Healthcare
RCAT,XLE,40.0,81.4,38.0,85.7,,,,,,,,,,75.3,CAUTION,none,2,"['ranker', 'ranker_long']",
YOU,XLF,43.0,80.8,,,,,,,,,,,,82.5,HEALTHY,none,2,"['ranker', 'pullback_health']",
PL,--,44.0,80.7,137.0,79.1,,,,,,,,,,71.8,CAUTION,none,2,"['ranker', 'ranker_long']",
SOYB,DBA,46.0,80.5,,,,,,,,2.0,,,,63.7,CAUTION,none,2,"['ranker', 'secrot']",
CENX,IAU,48.0,80.2,42.0,85.2,,,,,,,,,,60.1,CAUTION,none,2,"['ranker', 'ranker_long']",
DOW,XLB,49.0,79.2,,,,,,,,,4.0,,,85.0,HEALTHY,bearish,2,"['ranker', 'pullback_health']",Basic Materials
CE,XLB,54.0,78.8,,,,,,,,,,,,84.5,HEALTHY,bearish,2,"['ranker', 'pullback_health']",
LQDA,--,61.0,77.0,32.0,86.3,,,,,,,,,,52.6,CAUTION,none,2,"['ranker', 'ranker_long']",
SEA,XLI,61.0,77.0,,,,,,,,3.3,,,,63.2,CAUTION,none,2,"['ranker', 'secrot']",
PARXF,XLE,63.0,76.9,15.0,88.4,,,,,,,,,,71.6,CAUTION,none,2,"['ranker', 'ranker_long']",
UNF,--,63.0,76.9,13.0,89.0,,,,,,,,,,60.7,CAUTION,none,2,"['ranker', 'ranker_long']",
EFXT,XLI,65.0,76.2,7.0,91.0,,,,,,,,,,74.3,CAUTION,none,2,"['ranker', 'ranker_long']",
CNQ,XLE,65.0,76.2,36.0,86.0,,,,,,,4.0,,,77.7,CAUTION,none,2,"['ranker', 'ranker_long']",Energy
NEE,XLU,69.0,75.8,,,,,,,,,5.0,,,65.0,CAUTION,bearish,2,"['ranker', 'stock_secrot']",Utilities
RTX,XLI,71.0,75.7,20.0,87.6,,,,,,,4.0,,,51.6,CAUTION,none,2,"['ranker', 'ranker_long']",Industrials
