year,period,date,date_start,label,composite,momentum,spreads
2026,24,2026-03-05,2026-02-20,Mar 05,1.0,1.0,1.0
2004,3,2004-03-12,2004-03-01,Mar 12,0.5943,0.5458,0.6429
2026,23,2026-02-19,2026-02-06,Feb 19,0.5842,0.6684,0.5
2001,16,2001-09-10,2001-08-28,Sep 10,0.5692,0.5134,0.625
2000,10,2000-06-16,2000-06-05,Jun 16,0.5671,0.5341,0.6
2025,5,2025-04-09,2025-03-27,Apr 09,0.5655,0.5541,0.5769
2011,8,2011-05-20,2011-05-09,May 20,0.5508,0.5182,0.5833
2026,0,2025-04-03,2025-03-21,Apr 03,0.5494,0.5603,0.5385
2024,16,2024-09-10,2024-08-28,Sep 10,0.5451,0.5133,0.5769
2015,0,2015-01-29,2015-01-16,Jan 29,0.5434,0.5099,0.5769
