ticker,pole,ranker_rank,ranker_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,spread_support,source_count,sources,sector
SII,IAU,14.0,90.3,,,,,,5.0,,none,2,"['ranker', 'secrot']",
GDMN,IAU,18.0,88.7,,,,,,6.1,,none,2,"['ranker', 'secrot']",
EWY,VXUS,38.0,84.1,,,,,,4.0,,none,2,"['ranker', 'secrot']",
REMX,IAU,43.0,82.8,,,,,,4.6,,none,2,"['ranker', 'secrot']",
FLKR,VXUS,46.0,82.4,,,,,,3.8,,none,2,"['ranker', 'secrot']",
XLU,XLU,60.0,80.4,,,,,,3.6,,none,2,"['ranker', 'secrot']",
GOEX,IAU,61.0,80.0,,,,,,3.3,,none,2,"['ranker', 'secrot']",
VPU,XLU,62.0,79.9,,,,,,3.7,,none,2,"['ranker', 'secrot']",
EWW,VXUS,82.0,77.1,,,,,,4.6,,none,2,"['ranker', 'secrot']",
GCOW,XLB,84.0,77.0,,,,,,3.1,,none,2,"['ranker', 'secrot']",
FLMX,VXUS,86.0,76.9,,,,,,3.9,,none,2,"['ranker', 'secrot']",
GOLY,IAU,90.0,75.8,,,,,,3.9,,none,2,"['ranker', 'secrot']",
FAN,VGK,92.0,75.7,,,,,,3.9,,none,2,"['ranker', 'secrot']",
RAAX,IAU,103.0,75.0,,,,,,0.4,,none,2,"['ranker', 'secrot']",
MGNR,IAU,108.0,74.5,,,,,,2.0,,none,2,"['ranker', 'secrot']",
AVDV,VXUS,110.0,74.4,,,,,,3.0,,none,2,"['ranker', 'secrot']",
ITA,XLI,115.0,74.0,,,,,,2.8,,none,2,"['ranker', 'secrot']",
FDT,VXUS,116.0,73.9,,,,,,2.8,,none,2,"['ranker', 'secrot']",
ICOW,VXUS,116.0,73.9,,,,,,3.2,,none,2,"['ranker', 'secrot']",
EMEQ,VXUS,118.0,73.8,,,,,,3.0,,none,2,"['ranker', 'secrot']",
RODM,VGK,119.0,73.6,,,,,,2.8,,none,2,"['ranker', 'secrot']",
HALFF,XLC,120.0,73.5,,,,,,0.1,,none,2,"['ranker', 'secrot']",
PPA,XLI,122.0,73.3,,,,,,2.8,,none,2,"['ranker', 'secrot']",
XAR,XLI,124.0,73.2,,,,,,2.5,,none,2,"['ranker', 'secrot']",
SGDM,IAU,126.0,73.1,,,,,,3.8,,none,2,"['ranker', 'secrot']",
RING,IAU,128.0,73.0,,,,,,3.6,,none,2,"['ranker', 'secrot']",
LHX,XLI,129.0,72.9,,,,,,,8.0,none,2,"['ranker', 'stock_secrot']",Industrials
MISL,XLI,136.0,72.5,,,,,,2.8,,none,2,"['ranker', 'secrot']",
GDX,IAU,138.0,72.2,,,,,,3.8,,none,2,"['ranker', 'secrot']",
IGLD,IAU,138.0,72.2,,,,,,5.3,,none,2,"['ranker', 'secrot']",
BKGI,XLU,146.0,71.1,,,,,,4.6,,none,2,"['ranker', 'secrot']",
NORW,VXUS,148.0,71.0,,,,,,0.6,,none,2,"['ranker', 'secrot']",
GUNR,IAU,149.0,70.9,,,,,,2.7,,none,2,"['ranker', 'secrot']",
PSLV,--,,,,,,,,2.3,7.0,none,2,"['secrot', 'stock_secrot']",Financial Services
