year,period,date,date_start,label,composite,momentum,spreads
2026,24,2026-03-03,2026-02-18,Mar 03,1.0,1.0,1.0
2000,10,2000-06-16,2000-06-05,Jun 16,0.6693,0.5385,0.8
2001,16,2001-09-10,2001-08-28,Sep 10,0.6488,0.5477,0.75
2002,4,2002-03-26,2002-03-13,Mar 26,0.615,0.5633,0.6667
2026,0,2025-04-01,2025-03-19,Apr 01,0.608,0.5621,0.6538
2004,14,2004-08-13,2004-08-02,Aug 13,0.6009,0.4876,0.7143
2004,4,2004-03-26,2004-03-15,Mar 26,0.5902,0.4661,0.7143
2000,8,2000-05-19,2000-05-08,May 19,0.5891,0.5781,0.6
2000,20,2000-11-03,2000-10-23,Nov 03,0.5883,0.4265,0.75
2025,3,2025-03-12,2025-02-27,Mar 12,0.5873,0.5207,0.6538
