ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,potential_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
RYN,20.81,20.72,0.41,OPTIMAL,95,1.48,0.9,20.24,2.83,,,,0.182,-51.3,66.7,166.0,clean,91.3,WARNING,-16.2,1,Basing,3.38,-4.32,-4.28,XLRE,index,Index,10.0,False,False,"{'grade': 'OK', 'median_mae': -4.21, 'median_ttg': 2.0, 'prob_good': 32.9, 'prob_bad': 46.8}",84.0
BBY,64.11,62.84,2.03,OPTIMAL,95,1.48,0.9,62.87,1.98,,,,0.101,-31.2,61.8,257.0,clean,87.0,WARNING,-12.7,0,Deep Decline,6.15,-2.78,-5.48,XLF,equity,Equity,2.0,False,False,"{'grade': 'OK', 'median_mae': -4.25, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 46.1}",81.0
CLOU,19.61,19.38,1.17,OPTIMAL,95,1.48,0.9,19.48,0.69,,,,0.217,-31.7,53.9,507.0,clean,96.4,BREAKDOWN,-14.8,0,Deep Decline,0.31,2.3,-13.99,XLK,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",81.0
PRU,98.0,96.55,1.5,OPTIMAL,95,1.48,0.9,94.86,3.3,,,,0.029,-15.4,54.9,468.0,clean,87.4,WARNING,-18.2,0,Deep Decline,2.87,-0.76,-13.81,XLF,equity,Equity,19.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.24, 'median_ttg': 2.0, 'prob_good': 27.9, 'prob_bad': 53.4}",78.7
ZM,79.75,78.11,2.11,OPTIMAL,95,1.48,0.9,78.13,2.08,,,,0.282,45.0,52.2,568.0,clean,88.8,WARNING,-18.3,0,Deep Decline,2.11,8.51,-7.58,QQQ,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",78.2
REX,43.05,39.28,9.61,OPTIMAL,90,1.5,1.11,42.9,0.35,,,,0.726,258.3,86.0,12.0,stalling,53.6,CAUTION,-11.5,3,Parabolic,4.04,19.02,31.53,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -8.52, 'median_ttg': 4.0, 'prob_good': 16.3, 'prob_bad': 70.0}",77.7
PSIX,66.12,65.23,1.38,OPTIMAL,95,1.48,0.9,58.95,12.18,ELEVATED,1.51,0.6,0.305,153.4,68.5,140.0,clean,67.8,WARNING,-37.9,2,Sustained Uptrend,1.82,8.56,11.72,VXUS,sector,Sector,32.0,False,False,"{'grade': 'OK', 'median_mae': -4.67, 'median_ttg': 2.0, 'prob_good': 30.1, 'prob_bad': 50.7}",77.6
IQV,170.56,169.1,0.86,OPTIMAL,95,1.48,0.9,167.17,2.03,,,,0.314,-63.4,51.1,613.0,clean,87.8,WARNING,-31.0,0,Deep Decline,2.97,-1.95,-25.09,QQQ,equity,Equity,7.0,True,False,"{'grade': 'ROUGH', 'median_mae': -5.42, 'median_ttg': 1.0, 'prob_good': 27.3, 'prob_bad': 52.7}",77.5
SYF,68.39,67.54,1.25,OPTIMAL,95,1.48,0.9,66.77,2.42,,,,0.004,6.1,49.4,664.0,clean,89.4,WARNING,-23.0,0,Deep Decline,1.12,-0.39,-18.88,XLF,equity,Equity,19.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.24, 'median_ttg': 2.0, 'prob_good': 27.9, 'prob_bad': 53.4}",77.4
WFC,81.36,80.07,1.6,OPTIMAL,95,1.48,0.9,78.61,3.49,,,,0.011,-13.0,50.3,638.0,clean,88.0,WARNING,-16.8,0,Deep Decline,1.36,-1.42,-13.74,XLF,equity,Equity,19.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.24, 'median_ttg': 2.0, 'prob_good': 27.9, 'prob_bad': 53.4}",77.2
