ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,spread_support,source_count,sources,sector
PHYS,IAU,129.0,71.0,12.0,89.3,,,,,,3.2,6.0,none,4,"['ranker', 'ranker_long', 'secrot', 'stock_secrot']",Financial Services
LHX,XLI,12.0,89.0,49.0,84.3,,,,,,,8.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
MTSI,XLK,27.0,84.8,110.0,80.1,,,,,,,6.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Technology
ITA,XLI,40.0,83.2,92.0,81.0,,,,,,3.6,,none,3,"['ranker', 'ranker_long', 'secrot']",
PPA,XLI,43.0,82.9,101.0,80.5,,,,,,2.6,,none,3,"['ranker', 'ranker_long', 'secrot']",
CACI,--,56.0,80.3,108.0,80.2,,,,,,,5.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Technology
RBC,XLI,63.0,79.6,30.0,86.8,,,,,,,5.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
VDE,XLE,65.0,79.5,149.0,77.9,,,,,,0.6,,none,3,"['ranker', 'ranker_long', 'secrot']",
CW,XLI,66.0,79.1,134.0,78.5,,,,,,,5.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
NOC,XLI,67.0,79.0,9.0,89.7,,,,,,,7.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
PBR,XLE,75.0,77.2,63.0,83.0,,,,,,,7.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Energy
SII,IAU,92.0,75.3,20.0,88.7,,,,,,5.3,,none,3,"['ranker', 'ranker_long', 'secrot']",
EIS,SPY,118.0,71.8,110.0,80.1,,,,,,4.2,,none,3,"['ranker', 'ranker_long', 'secrot']",
HII,XLI,120.0,71.6,138.0,78.4,,,,,,,7.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
IAU,IAU,138.0,70.3,18.0,88.9,,,,,,3.2,,none,3,"['ranker', 'ranker_long', 'secrot']",
SGOL,IAU,139.0,70.2,18.0,88.9,,,,,,3.2,,none,3,"['ranker', 'ranker_long', 'secrot']",
GLD,IAU,144.0,69.9,14.0,89.0,,,,,,3.2,,none,3,"['ranker', 'ranker_long', 'secrot']",
SLGL,--,1.0,97.3,33.0,86.5,,,,,,,,none,2,"['ranker', 'ranker_long']",
EFXT,--,2.0,92.7,115.0,79.8,,,,,,,,none,2,"['ranker', 'ranker_long']",
NESRF,IAU,4.0,90.5,80.0,81.9,,,,,,,,none,2,"['ranker', 'ranker_long']",
LUNMF,IAU,5.0,90.3,2.0,92.1,,,,,,,,none,2,"['ranker', 'ranker_long']",
TIGO,XLRE,6.0,90.2,143.0,78.1,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
JNJ,XLV,9.0,89.8,47.0,84.8,,,,,,,2.0,none,2,"['ranker', 'ranker_long']",Healthcare
STNG,--,10.0,89.7,14.0,89.0,,,,,,,,none,2,"['ranker', 'ranker_long']",
LINC,XLV,13.0,88.7,12.0,89.3,,,,,,,,none,2,"['ranker', 'ranker_long']",
VICR,XLK,15.0,87.9,23.0,88.2,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
FORM,XLI,18.0,86.6,43.0,85.3,,,,,,,,none,2,"['ranker', 'ranker_long']",
NATR,--,18.0,86.6,41.0,85.5,,,,,,,,none,2,"['ranker', 'ranker_long']",
CME,XLRE,20.0,86.5,143.0,78.1,,,,,,,2.0,bearish,2,"['ranker', 'ranker_long']",Financial Services
FTI,XLE,20.0,86.5,3.0,92.0,,,,,,,4.0,none,2,"['ranker', 'ranker_long']",Energy
MARUY,VXUS,22.0,86.2,7.0,90.9,,,,,,,,none,2,"['ranker', 'ranker_long']",
