ticker,composite_score,sustainability_score,extension_score,is_safe,pct_above_sma9,longest_run_days,positive_months,sma21_crosses,gain_last_1wk,gain_last_1mo,gain_last_3mo,gain_last_12mo,recency_ratio,extension_from_sma29_pct,regime,days_in_regime,current_price,dist_from_sma9_pct,dist_from_sma21_pct,dist_from_sma29_pct
WDC,1.0952,1.0,1.0,False,0.7936507936507936,57,11,7,-0.16439129712672318,-0.06857227488151652,0.40004452359750653,5.193008370260956,-0.1258045178020581,-0.09875782152409315,BREAKDOWN,4,251.56,-13.160680587305714,-9.29342497694887,-9.875782152409315
CIEN,1.0476,1.0,1.0,False,0.7301587301587301,22,12,8,-0.1496809353020634,0.032171430186865635,0.5276569037656904,4.930961663417804,0.07412162590839537,0.024569684583734944,PULLBACK,3,365.11,-9.01113689352111,0.3675763133195344,2.4569684583734945
FIX,1.0387,1.0,1.0,True,0.7182539682539683,21,10,11,-0.13324484098746514,-0.11921515185226395,0.3325128593518256,2.9084878590601955,-0.372532688131899,-0.0938313690473254,BREAKDOWN,3,1266.78,-9.20564435528636,-8.849228525720209,-9.38313690473254
LASR,1.0327,1.0,1.0,False,0.7103174603174603,40,10,10,-0.24524874231414207,-0.20209779878859502,0.38451679056652144,5.7937106918238985,-0.3598418492311361,-0.1459798693580223,BREAKDOWN,3,54.01,-19.069976524649118,-17.565956828257878,-14.59798693580223
SMTOY,1.0327,1.0,1.0,True,0.7103174603174603,34,10,14,-0.11805668016194326,-0.2073933925192839,0.3403888752153581,2.1644392794886693,-0.7728198306368241,-0.1344943992634648,BREAKDOWN,3,54.46,-9.096978801535641,-12.681712680185687,-13.449439926346479
STX,1.0327,1.0,1.0,False,0.7103174603174603,26,10,12,-0.14763742469879504,-0.04558389544688013,0.2876644152150729,3.2654262835609984,-0.1281546819635867,-0.08317302824744358,BREAKDOWN,3,362.22,-9.84269389470889,-6.89936257086626,-8.317302824744345
AXTI,1.0262,1.0,0.9343,False,0.7103174603174603,29,10,7,-0.22954412624196374,0.13838514680483582,2.6141192597669636,34.62837837837838,0.061583864274542335,0.17028913412823538,PULLBACK,1,52.73,-10.994204692511106,5.446944663993992,17.028913412823538
COHR,1.0238,1.0,1.0,True,0.6984126984126984,36,9,12,-0.1936253809716153,-0.2653307015489613,0.1617818220294147,2.3409402099497942,-0.9571509753811949,-0.13510547709490833,BREAKDOWN,3,219.6,-13.777157316115538,-14.249694120797185,-13.510547709490833
LITE,1.0238,1.0,1.0,False,0.6984126984126984,29,10,8,-0.18363071858751356,-0.1640983083306734,0.757118703201739,9.462128475551294,-0.17507684040339647,-0.03917607575309785,BREAKDOWN,3,654.72,-9.813350883503091,-4.513833185059859,-3.9176075753097854
CLS,1.0179,1.0,1.0,True,0.6904761904761905,31,6,15,-0.14758556646325283,-0.03730616525582453,-0.15236461974803783,2.1082355786673115,-0.1663105113122026,-0.07308076863767285,BREAKDOWN,3,257.02,-8.509207695228469,-5.672821835645473,-7.308076863767285
TPC,1.0179,1.0,1.0,True,0.6904761904761905,37,8,6,-0.03249169435215937,-0.010398260160391248,0.06036993882901265,2.0954506802721093,-0.049419108049209425,-0.03713120192998347,PULLBACK,1,72.805,-1.3356120551410444,0.7080963406239971,-3.713120192998329
AEIS,1.0149,1.0,1.0,True,0.6865079365079365,20,10,10,-0.16625512093832429,-0.1271664414546737,0.3676240449231336,2.134282700421941,-0.5279069305843747,-0.07577416839442994,BREAKDOWN,3,297.13,-8.25136293302501,-6.501428761944451,-7.577416839442994
TERN,1.0144,1.0,0.9354,False,0.6944444444444444,36,10,7,0.057800000000000074,0.2583868665239115,0.2744578313253012,17.113013698630137,0.209998333875187,0.1690268589372275,TRENDING,36,52.89,4.22131237273663,12.499999999999996,16.90268589372275
SNDK,1.0119,1.0,1.0,False,0.6825396825396826,26,9,7,-0.18503017879512584,-0.07524067971829174,1.3439099283520983,10.690831121094549,-0.06848849734004771,-0.1097707254115216,BREAKDOWN,5,572.5,-15.668546700230127,-11.296498784822907,-10.97707254115216
TYRA,1.0119,1.0,1.0,True,0.6825396825396826,21,11,12,-0.048458149779735615,0.0627306273062731,0.3568904593639577,2.537359263050154,0.27388757598529206,-0.012425481598265656,BREAKDOWN,2,34.56,-6.259606401253734,-3.79256863342922,-1.2425481598265655
SII,1.0089,1.0,1.0,True,0.6785714285714286,42,8,6,-0.023835556527443735,-0.1888552392489401,0.35108958837772386,2.020979020979021,-0.7509316598344916,-0.1034985826538998,BREAKDOWN,13,133.92,-2.1386466604959393,-10.30369524587132,-10.349858265389997
ERAS,1.006,1.0,1.0,False,0.6746031746031746,45,10,14,0.018404907975460016,0.02821748107364086,3.3179190751445082,8.828947368421051,0.03833498143779862,0.04384908206042491,TRENDING,8,14.94,0.7870474477175657,1.1575044333387163,4.384908206042491
TTMI,1.006,1.0,1.0,False,0.6746031746031746,38,8,14,-0.1745022899336387,-0.2184070796460178,0.24027524224125818,3.233940556088207,-0.5849538660883767,-0.11359365428740507,BREAKDOWN,3,88.32,-9.678885530532005,-9.65850141986646,-11.359365428740507
FIVE,1.003,1.0,1.0,True,0.6706349206349206,42,11,15,-0.04881215110995718,-0.016422051190263076,0.16258528587295706,2.002868852459016,-0.08348824751802496,-0.006536344976879689,BREAKDOWN,2,219.81,-2.959354857697848,-0.8071222738671734,-0.6536344976879689
SLGL,1.0,1.0,1.0,False,0.6666666666666666,44,9,7,-0.12523434570678682,-0.23575016379122082,0.5713964975303099,11.725454545454545,-0.16434735160879022,-0.15400902797170749,BREAKDOWN,1,69.99,-7.670321294559103,-14.242454299867557,-15.40090279717075
VRT,1.0,1.0,1.0,True,0.6666666666666666,21,8,8,-0.13581158403780125,-0.09175557710960236,0.4134766332568529,2.1528619528619526,-0.39691944231170756,-0.08755759129934584,BREAKDOWN,3,234.1,-9.589852298766735,-9.55503306067931,-8.755759129934566
GLW,0.9982,1.0,1.0,True,0.7301587301587301,35,9,10,-0.09502851911837196,-0.1858925630305336,0.4439887640449436,1.8023331879633666,-0.8558910665158544,-0.06665973807416027,BREAKDOWN,1,128.515,-4.212025722673817,-4.758518591712817,-6.6659738074160275
STRL,0.994,1.0,1.0,True,0.6587301587301587,21,9,13,-0.14263941187018114,-0.11631667706239757,0.2307989317545609,2.293327593628928,-0.4576105557510697,-0.09217102382696307,BREAKDOWN,3,382.52,-9.282360195418118,-8.163818264755621,-9.217102382696307
MU,0.9911,1.0,1.0,True,0.6547619047619048,31,8,12,-0.1864081106363612,-0.2202001599340878,0.09318204980127054,2.6386250565355045,-0.6420324607151445,-0.21009218497260523,BREAKDOWN,7,321.8,-18.309898881633693,-20.04410837313695,-21.009218497260523
PL,0.9881,1.0,1.0,False,0.6507936507936508,39,9,9,-0.12378259503612943,0.05804248861911998,0.4036235530951182,7.0606936416184976,0.10489241127240943,0.038253680954031366,PULLBACK,1,27.89,-9.633869748352941,0.3925265683921958,3.8253680954031366
BE,0.9851,1.0,1.0,False,0.6468253968253969,31,8,14,-0.18059363860707434,-0.2799096385542169,0.35205293518832703,4.879734382685687,-0.45499255663860366,-0.22193367667011948,BREAKDOWN,7,119.535,-17.060939084044215,-20.71235334343023,-22.193367667011948
TER,0.9851,1.0,1.0,True,0.6468253968253969,26,10,11,-0.1364403073655276,-0.15152073166988922,0.400790433725172,2.339695578642184,-0.5600507389879505,-0.0984276849792302,BREAKDOWN,3,276.46,-8.191119983174257,-7.757498915618431,-9.84276849792302
ARWR,0.9792,1.0,1.0,False,0.6388888888888888,44,8,12,0.021503465434512092,-0.1064822011503187,-0.17437517954610748,3.1591895803183787,-0.31758604476481256,-0.045609133277605546,BREAKDOWN,1,57.48,-0.465617424096675,-2.6281399738637927,-4.560913327760543
OCANF,0.9792,1.0,1.0,True,0.6388888888888888,31,10,10,-0.03104575163398704,-0.30431722196152045,0.0692390912369274,2.013211382113821,-0.9756206935856151,-0.1776098704031371,BREAKDOWN,20,29.65,-1.8861681005956445,-13.4835832094374,-17.76098704031371
FORM,0.9732,1.0,1.0,True,0.6309523809523809,23,9,14,-0.13342177579835113,-0.08274824473420261,0.5926506443747823,2.193086592178771,-0.35521004138229517,-0.037976015148327366,BREAKDOWN,2,91.45,-6.897955951721095,-2.814185804074774,-3.797601514832722
ANRO,0.9702,1.0,1.0,False,0.626984126984127,27,9,14,-0.017830609212481585,-0.03877847794474065,0.0678513731825523,7.735682819383259,-0.054799945345997615,-0.04068661795616065,BREAKDOWN,8,19.83,-5.099436350101047,-7.1774067717272665,-4.068661795616065
ASM,0.9702,1.0,1.0,True,0.626984126984127,24,9,14,-0.02345058626465657,-0.3804463336875664,-0.11398176291793316,2.0846560846560847,-0.9964196169471152,-0.23034551827741617,BREAKDOWN,20,5.83,-0.17123287671232512,-16.61217817736003,-23.034551827741616
BW,0.9702,1.0,1.0,False,0.626984126984127,25,10,13,-0.08460471567267691,0.46666666666666656,1.382671480144404,17.61777150916784,0.44228190012788116,0.08768540092061142,DIP,1,13.2,-9.774436090225585,-0.8051529790660263,8.768540092061142
ANAB,0.9627,1.0,1.0,True,0.6428571428571429,29,9,13,-0.12123135512535699,0.00855946093607729,0.08780200353565126,1.9224274406332458,0.0467262798288654,-0.07122988219917986,BREAKDOWN,2,55.38,-11.109129496531182,-9.758368639135897,-7.122988219917986
HYMC,0.9583,1.0,1.0,False,0.6111111111111112,34,10,11,-0.0839855508729681,-0.4540724793684966,0.3082545141874462,8.944444444444445,-0.3207800694182501,-0.24685289022027643,BREAKDOWN,19,30.43,-6.3756324353890355,-21.103511284507874,-24.685289022027643
LRCX,0.9568,1.0,1.0,True,0.6904761904761905,24,8,10,-0.16224250544297436,-0.13380952380952382,0.13771535793483825,1.755681035670018,-0.631398569254774,-0.11345837114718836,BREAKDOWN,3,200.09,-10.664358213693966,-8.928966201835344,-11.345837114718837
ISSC,0.9554,1.0,1.0,True,0.6071428571428571,40,7,6,-0.2847730600292826,-0.29151559100797675,0.006697578567748552,2.006153846153846,-1.0341535478576203,-0.2686936995070078,BREAKDOWN,5,19.54,-24.77864750417041,-28.903596922863688,-26.86936995070078
