ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,combined_score
PWR,568.76,531.78,6.95,OPTIMAL,90,1.5,1.11,562.64,1.09,,,,0.605,121.0,84.4,23.0,clean,97.8,HEALTHY,-1.4,2,Sustained Uptrend,0.07,10.53,22.82,XLI,index,Index,90.4
RAAX,41.26,40.26,2.48,OPTIMAL,95,1.48,0.12,41.25,0.03,,,,0.605,51.5,83.7,25.0,clean,88.8,HEALTHY,-1.9,2,Sustained Uptrend,0.07,3.33,16.62,IAU,miner,Miner,89.2
RTX,208.76,201.96,3.37,OPTIMAL,95,1.48,0.9,206.58,1.05,,,,0.497,70.9,84.4,23.0,clean,87.9,HEALTHY,-2.7,2,Sustained Uptrend,-0.03,6.41,21.71,XLI,equity,Equity,89.2
AA,65.22,60.86,7.16,OPTIMAL,90,1.5,1.11,62.27,4.74,,,,0.103,41.7,86.2,18.0,clean,88.8,HEALTHY,-4.7,3,Parabolic,5.96,4.59,46.69,XLK,commodity,Commodity,88.3
EPD,37.27,35.92,3.76,OPTIMAL,95,1.48,0.9,36.96,0.85,,,,0.525,56.6,81.6,40.0,clean,87.2,HEALTHY,-2.5,2,Sustained Uptrend,0.27,6.0,13.94,XLE,index,Index,88.0
EQT,63.31,58.78,7.71,OPTIMAL,90,1.5,1.11,61.67,2.66,,,,0.865,134.8,82.6,33.0,clean,91.9,HEALTHY,-0.1,2,Sustained Uptrend,3.26,12.79,7.93,XLE,equity,Equity,88.0
DTCR,25.43,25.18,1.0,OPTIMAL,95,1.48,0.9,25.23,0.8,,,,0.323,-34.0,85.5,20.0,clean,81.5,HEALTHY,-4.9,2,Sustained Uptrend,0.32,1.68,17.03,XLK,sector,Sector,87.6
PSX,167.59,155.99,7.44,OPTIMAL,90,1.5,1.11,161.86,3.54,,,,0.43,82.4,79.6,55.0,clean,93.9,HEALTHY,-1.2,2,Sustained Uptrend,1.74,6.41,20.52,XLE,commodity,Commodity,87.5
MAZE,49.63,46.15,7.54,OPTIMAL,90,1.5,1.11,46.24,7.32,,,,0.002,6.5,81.6,40.0,clean,90.7,HEALTHY,-2.8,3,Parabolic,6.77,4.02,19.7,,equity,Equity,87.3
STRL,422.76,412.4,2.51,OPTIMAL,95,1.48,0.9,417.23,1.33,,,,0.125,-54.1,80.1,54.0,clean,86.8,HEALTHY,-11.4,2,Sustained Uptrend,0.6,0.99,30.23,XLK,equity,Equity,87.3
CTRE,40.01,39.4,1.53,OPTIMAL,95,1.48,0.9,40.11,-0.27,,,,0.003,3.7,82.0,38.0,clean,83.4,HEALTHY,-4.1,2,Sustained Uptrend,1.82,4.15,6.03,,sector,Sector,87.0
SNDK,643.11,608.24,5.73,OPTIMAL,90,1.5,1.11,602.33,6.77,,,,0.004,-15.9,86.3,17.0,clean,83.7,HEALTHY,-11.3,3,Parabolic,7.35,10.23,185.23,XLK,equity,Equity,86.8
THC,236.97,222.52,6.5,OPTIMAL,90,1.5,1.11,239.72,-1.15,,,,0.409,125.8,80.6,48.0,clean,89.8,HEALTHY,-4.1,2,Sustained Uptrend,-3.2,22.81,14.86,,index,Index,86.6
XLE,56.74,54.43,4.25,OPTIMAL,95,1.48,0.9,56.27,0.85,,,,0.763,65.4,81.3,44.0,clean,82.9,HEALTHY,-2.0,3,Parabolic,0.99,5.79,24.93,XLE,commodity,Commodity,86.6
EQIX,974.56,907.0,7.45,OPTIMAL,90,1.5,1.11,959.55,1.56,,,,0.417,93.7,74.9,88.0,clean,95.8,HEALTHY,-1.9,2,Sustained Uptrend,0.57,13.62,31.71,XLU,sector,Sector,86.5
LHX,366.39,354.12,3.46,OPTIMAL,95,1.48,0.9,366.26,0.04,,,,0.649,101.7,82.3,35.0,clean,81.4,HEALTHY,-3.4,3,Parabolic,-0.64,4.5,30.09,XLI,equity,Equity,86.5
VDE,160.2,153.37,4.45,OPTIMAL,95,1.48,0.9,158.82,0.87,,,,0.79,71.7,80.8,47.0,clean,82.9,HEALTHY,-1.9,3,Parabolic,0.85,5.91,24.81,XLE,commodity,Commodity,86.4
HCA,537.99,523.39,2.79,OPTIMAL,95,1.48,0.9,536.2,0.33,,,,0.219,32.6,72.7,105.0,clean,91.9,HEALTHY,-2.7,2,Sustained Uptrend,-1.18,8.13,10.89,,bond,Bond,86.3
SHLD,75.83,74.66,1.57,OPTIMAL,95,1.48,0.9,76.35,-0.68,,,,0.707,93.0,75.7,81.0,clean,88.6,HEALTHY,-3.4,2,Sustained Uptrend,-1.91,1.97,18.88,XLI,equity,Equity,86.3
TYRA,36.05,32.07,12.44,GOOD,75,1.52,1.24,34.11,5.71,,,,0.712,247.5,97.5,2.0,clean,86.2,HEALTHY,-0.4,3,Parabolic,2.23,18.21,58.14,,equity,Equity,86.2
PFE,27.2,26.98,0.79,OPTIMAL,95,1.48,0.9,27.0,0.72,,,,0.315,-30.1,76.1,80.0,clean,87.0,HEALTHY,-2.7,2,Sustained Uptrend,2.16,0.54,5.53,XLV,equity,Equity,86.0
