ticker,price,ret_1m,ret_3m,ret_6m,ret_1y,ret_5y,ret_10y,ratio_3m_1m,ratio_6m_3m,ratio_1y_6m,ratio_5y_1y,ratio_10y_5y,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1y,vs_spy_5y,vs_spy_10y,vs_qqq_1y,vs_qqq_5y,vs_qqq_10y,vs_iau_1y,vs_iau_5y,vs_iau_10y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,strong_flag,score_returns,score_ratios,score_spy_days,history_depth,score_depth,score,rank
LINC,37.68,21.13,61.52,75.6,142.34,479.74,1285.41,2.91,1.23,1.88,3.37,2.68,4,True,True,True,True,True,127.2,415.02,1063.37,120.29,395.66,834.28,93.38,319.99,1030.25,0.0047,XLB,0.32,0.93,clean,1.913,confirmed,none,strong_buy,93.59900567078381,96.90048939641109,89.23327895595432,6,100.0,95.3,1
CF,128.32,29.02,62.42,52.59,65.86,152.21,260.06,2.15,0.84,1.25,2.31,1.71,3,True,True,True,True,True,50.72,87.49,38.02,43.81,68.13,-191.07,16.9,-7.54,4.9,1.7738,XLE,0.48,2.44,overextended,1.941,confirmed,none,none,89.64887749553328,83.31973898858075,99.34747145187602,6,100.0,93.4,2
ISSC,29.4,21.69,167.52,155.65,314.08,368.9,984.87,7.72,0.93,2.02,1.17,2.67,3,True,True,True,True,True,298.95,304.18,762.83,292.04,284.82,533.74,265.13,209.15,729.71,-0.0384,XLI,0.39,0.16,clean,1.356,normal,none,strong_buy,95.57989590616019,83.31973898858075,87.68352365415987,6,100.0,92.9,3
NYT,81.92,8.52,17.87,40.08,66.98,63.58,535.04,2.1,2.24,1.67,0.95,8.42,4,True,True,True,True,True,51.84,-1.14,313.0,44.93,-20.5,83.91,18.02,-96.17,279.88,0.0751,,,0.64,clean,1.122,normal,none,strong_buy,82.1137264041016,96.90048939641109,90.94616639477977,6,100.0,92.2,4
EFXT,21.68,11.61,38.39,101.72,187.98,189.52,172.77,3.31,2.65,1.85,1.01,0.91,3,True,True,True,True,True,172.85,124.8,-49.27,165.94,105.44,-278.36,139.02,29.77,-82.39,0.0115,XLI,0.37,0.26,clean,1.387,normal,none,strong_buy,90.40239260467645,83.31973898858075,89.4779771615008,6,100.0,91.7,5
NSKFF,42.0,1.25,69.01,30.03,39.49,829.2,1290.73,55.05,0.44,1.31,21.0,1.56,3,True,True,True,True,True,24.35,764.48,1068.69,17.44,745.12,839.6,-9.47,669.46,1035.57,0.9828,,,-0.27,clean,,normal,none,strong_buy,84.28882156451488,83.31973898858075,98.2463295269168,6,100.0,91.6,6
MPC,235.45,19.84,34.93,27.25,57.42,306.93,524.2,1.76,0.78,2.11,5.35,1.71,3,True,True,True,True,True,42.28,242.21,302.16,35.37,222.85,73.07,8.46,147.18,269.04,0.3753,XLE,0.66,1.56,clean,1.269,normal,none,strong_buy,86.46780082342889,83.31973898858075,94.86133768352364,6,100.0,91.6,6
EZPW,25.64,1.48,29.65,43.35,80.6,350.7,787.37,19.98,1.46,1.86,4.35,2.25,4,False,True,True,True,False,65.46,285.98,565.33,58.55,266.62,336.24,31.64,190.95,532.21,-0.4273,XLI,0.51,-0.46,clean,0.846,normal,none,none,85.29480307620601,96.90048939641109,79.03752039151712,6,100.0,90.8,8
COP,127.8,14.53,34.58,36.71,26.12,119.74,215.4,2.38,1.06,0.71,4.58,1.8,3,True,True,True,True,True,10.99,55.02,-6.64,4.08,35.66,-235.73,-22.83,-40.01,-39.76,0.583,XLE,0.88,1.81,clean,1.266,normal,none,strong_buy,82.27297444263186,83.31973898858075,96.5742251223491,6,100.0,90.7,9
SII,134.8,3.07,46.17,87.48,200.96,194.45,702.38,15.06,1.89,2.3,0.97,3.61,4,False,False,True,True,False,185.82,129.73,480.34,178.92,110.37,251.25,152.0,34.7,447.22,-0.664,IAU,0.61,-0.77,clean,1.206,normal,none,none,89.97125767109455,96.90048939641109,71.04404567699837,6,100.0,90.6,10
FTI,65.98,6.84,48.68,68.2,128.64,656.71,192.75,7.12,1.4,1.89,5.11,0.29,3,True,True,True,True,True,113.5,591.99,-29.29,106.59,572.63,-258.39,79.68,496.96,-62.42,-0.2153,XLE,0.5,-0.06,clean,1.138,normal,none,strong_buy,89.75763225355395,83.31973898858075,83.5236541598695,6,100.0,90.3,11
PBR,18.87,19.73,60.32,47.31,34.5,130.4,241.23,3.06,0.78,0.73,3.78,1.85,3,True,True,True,True,True,19.36,65.68,19.19,12.45,46.32,-209.9,-14.46,-29.35,-13.93,-0.0455,XLE,0.52,1.45,clean,1.353,normal,none,strong_buy,86.49498951293405,83.31973898858075,87.27569331158239,6,100.0,90.1,12
PWR,561.47,1.35,35.54,43.73,107.64,531.93,2388.79,26.36,1.23,2.46,4.94,4.49,4,True,True,True,True,True,92.51,467.21,2166.74,85.6,447.85,1937.65,58.69,372.18,2133.62,-0.7373,XLK,0.59,-0.58,clean,1.045,normal,none,strong_buy,87.11644527305212,96.90048939641109,68.59706362153344,6,100.0,89.2,13
TEN,36.16,19.16,58.97,55.88,111.74,246.41,11.97,3.08,0.95,2.0,2.21,0.05,3,True,True,True,True,True,96.6,181.69,-210.07,89.69,162.33,-439.17,62.78,86.66,-243.2,-0.4516,,,1.13,clean,2.034,confirmed,none,strong_buy,89.06237862192185,83.31973898858075,78.38499184339315,6,100.0,89.1,14
CACI,609.5,3.1,8.69,22.76,57.54,145.27,507.86,2.81,2.62,2.53,2.52,3.5,5,True,False,True,True,False,42.4,80.55,285.82,35.49,61.19,56.73,8.58,-14.48,252.7,-0.3913,,,-0.22,clean,0.896,normal,none,none,77.34405344519537,99.9184339314845,79.52691680261012,6,100.0,89.1,14
FUWAY,90.0,24.24,209.81,189.02,291.3,639.52,898.34,8.66,0.9,1.54,2.2,1.4,3,True,True,True,True,True,276.17,574.8,676.3,269.26,555.44,447.2,242.35,479.78,643.17,-0.7551,,,0.23,clean,,normal,none,strong_buy,96.09259690825759,83.31973898858075,67.53670473083197,6,100.0,89.0,16
ROST,209.92,4.76,14.88,43.69,66.67,67.58,262.19,3.12,2.94,1.53,1.01,3.88,4,True,True,True,True,True,51.54,2.86,40.15,44.63,-16.5,-188.94,17.72,-92.17,7.03,-0.4976,XLY,0.49,0.15,clean,1.105,normal,none,strong_buy,80.45521634428648,96.90048939641109,76.5089722675367,6,100.0,88.8,17
RTX,199.1,-3.07,12.36,25.86,47.13,150.22,248.93,-4.02,2.09,1.82,3.19,1.66,4,False,False,True,True,False,32.0,85.5,26.89,25.09,66.14,-202.2,-1.82,-9.53,-6.23,-0.1163,XLI,0.49,-1.43,clean,1.237,normal,none,none,73.68134855899946,96.90048939641109,86.05220228384992,6,100.0,88.7,18
PARXF,19.47,22.58,53.03,43.66,106.87,7.9,147.03,2.35,0.82,2.45,0.07,18.6,3,True,True,True,True,True,91.73,-56.82,-75.01,84.82,-76.17,-304.1,57.91,-151.84,-108.13,-0.2277,XLE,0.44,1.59,clean,1.282,normal,none,strong_buy,84.34319894352521,83.31973898858075,83.03425774877651,6,100.0,88.6,19
DHT,17.41,3.08,37.52,36.02,57.41,163.39,170.76,12.19,0.96,1.59,2.85,1.05,3,False,True,True,True,False,42.28,98.67,-51.28,35.37,79.31,-280.37,8.46,3.64,-84.4,-0.1598,,,-0.18,clean,2.366,confirmed,none,none,83.24399906781636,83.31973898858075,84.91027732463296,6,100.0,88.6,19
EQT,66.05,10.51,21.5,33.73,23.23,253.59,98.17,2.05,1.57,0.69,10.92,0.39,3,True,True,True,True,True,8.09,188.87,-123.87,1.18,169.51,-352.96,-25.73,93.84,-156.99,-0.0033,XLE,0.4,1.08,clean,0.977,normal,none,strong_buy,79.31717548357025,83.31973898858075,88.98858075040783,6,100.0,88.3,21
NOC,709.59,-3.7,25.77,23.68,44.37,132.09,273.68,-6.96,0.92,1.87,2.98,2.07,3,False,True,True,True,False,29.23,67.37,51.64,22.32,48.01,-177.45,-4.59,-27.66,18.52,0.5678,XLI,0.41,-1.03,clean,0.982,normal,none,none,74.2290064476035,83.31973898858075,96.4926590538336,6,100.0,88.2,22
BNO,52.18,53.43,86.96,71.64,78.21,200.92,316.11,1.63,0.82,1.09,2.57,1.57,2,True,True,True,True,True,63.07,136.2,94.07,56.17,116.84,-135.02,29.25,41.17,60.95,2.0891,XLE,0.56,4.31,overextended,4.17,confirmed,none,none,91.85698749320284,53.833605220228385,99.42903752039152,6,100.0,88.2,22
WMB,73.86,2.34,25.53,22.33,24.51,212.04,361.34,10.9,0.87,1.1,8.65,1.7,3,True,True,True,True,True,9.38,147.32,139.3,2.47,127.96,-89.79,-24.45,52.29,106.17,0.0386,XLE,0.43,-0.01,clean,0.861,normal,none,strong_buy,77.64312902975219,83.31973898858075,90.21207177814028,6,100.0,88.0,24
