ticker,price,ret_1m,ret_3m,ret_6m,ret_1y,ret_5y,ret_10y,ratio_3m_1m,ratio_6m_3m,ratio_1y_6m,ratio_5y_1y,ratio_10y_5y,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1y,vs_spy_5y,vs_spy_10y,vs_qqq_1y,vs_qqq_5y,vs_qqq_10y,vs_iau_1y,vs_iau_5y,vs_iau_10y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,strong_flag,score_returns,score_ratios,score_spy_days,history_depth,score_depth,score,rank
CLMT,35.5,16.36,17.47,91.27,142.82,480.07,883.38,1.07,5.22,1.56,3.36,1.84,4,True,True,True,True,True,115.16,398.34,615.1,101.69,356.36,288.5,107.06,343.78,634.12,0.8396,,,0.48,clean,0.845,normal,none,strong_buy,83.02690445547589,95.59202059202059,95.04504504504504,6,100.0,93.0,1
EACO,104.99,16.59,34.19,41.88,152.99,462.95,1758.23,2.06,1.22,3.65,3.03,3.8,4,True,True,True,True,True,125.33,381.23,1489.95,111.86,339.25,1163.35,117.23,326.66,1508.97,0.7019,,,0.52,clean,,normal,none,strong_buy,83.09431880860451,95.59202059202059,94.27284427284427,6,100.0,92.9,2
AGX,677.45,7.41,49.7,82.13,221.8,1308.71,1922.84,6.71,1.65,2.7,5.9,1.47,4,True,True,True,True,True,194.14,1226.99,1654.56,180.67,1185.01,1327.96,186.04,1172.43,1673.59,0.2827,,,-0.41,clean,0.698,thin,none,strong_buy,83.67653367653368,95.59202059202059,91.37709137709138,6,100.0,92.5,3
MRVL,204.83,33.67,158.33,144.46,220.95,342.78,1990.1,4.7,0.91,1.53,1.55,5.81,3,True,True,True,True,True,193.29,261.06,1721.82,179.82,219.08,1395.22,185.19,206.5,1740.85,0.2808,QQQ,0.5,1.18,clean,1.253,normal,none,strong_buy,92.64570693142122,78.7001287001287,91.24839124839124,6,100.0,91.8,4
MPC,251.33,8.06,25.0,32.15,54.83,321.2,584.08,3.1,1.29,1.71,5.86,1.82,4,True,True,True,True,True,27.17,239.48,315.79,13.7,197.5,-10.8,19.07,184.92,334.82,1.1079,XLE,0.72,0.34,clean,0.984,normal,none,strong_buy,72.65122265122265,95.59202059202059,95.88159588159589,6,100.0,90.1,5
REX,48.26,2.07,34.99,51.71,126.25,274.11,447.79,16.88,1.48,2.44,2.17,1.63,4,True,True,True,True,True,98.6,192.39,179.5,85.12,150.41,-147.09,90.5,137.82,198.53,1.2606,XLE,0.39,-0.72,clean,0.86,normal,none,strong_buy,71.68903597475027,95.59202059202059,96.71814671814671,6,100.0,90.0,6
EXCE,24.25,5.43,28.99,35.85,142.5,766.07,55013.64,5.33,1.24,3.97,5.38,71.81,4,True,True,True,True,True,114.84,684.35,54745.35,101.37,642.37,54418.76,106.74,629.79,54764.38,0.1496,,,-0.37,clean,,normal,none,strong_buy,75.55157198014341,95.59202059202059,90.21879021879022,6,100.0,89.8,7
ATEX,65.04,36.32,79.62,222.94,134.89,32.87,98.41,2.19,2.8,0.61,0.24,2.99,3,True,True,True,True,True,107.23,-48.85,-169.87,93.76,-90.83,-496.47,99.13,-103.41,-150.84,0.0356,XLK,0.33,1.67,clean,1.046,normal,none,strong_buy,85.20254948826377,78.7001287001287,89.44658944658944,6,100.0,89.2,8
VLO,244.85,1.91,20.15,40.42,87.32,218.03,333.82,10.57,2.01,2.16,2.5,1.53,5,True,True,True,True,True,59.67,136.31,65.54,46.19,94.33,-261.06,51.57,81.74,84.57,1.2592,XLE,0.73,-0.53,clean,0.9,normal,none,strong_buy,66.62989520132378,99.58172458172459,96.5894465894466,6,100.0,89.2,8
FCFS,223.25,4.29,17.95,45.47,74.52,182.31,404.41,4.19,2.53,1.64,2.45,2.22,5,True,True,True,True,True,46.87,100.59,136.12,33.39,58.61,-190.47,38.77,46.02,155.15,0.1973,,,-0.08,clean,1.122,normal,none,strong_buy,69.5333088190231,99.58172458172459,90.54054054054053,6,100.0,88.9,10
