ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,combined_score
MOD,204.03,210.26,-2.96,BELOW SMA,15,,,214.43,-4.85,,,,0.169,-94.5,0.0,354.0,clean,60.0,CAUTION,-16.3,3,Parabolic,-3.9,-5.42,25.27,XLI,bond,Bond,23.2
PSI,94.81,97.6,-2.87,BELOW SMA,15,,,96.87,-2.13,,,,0.419,-98.8,0.0,354.0,clean,59.8,CAUTION,-10.3,3,Parabolic,-0.6,-3.46,17.2,XLK,equity,Equity,23.2
RGA,209.24,213.35,-1.92,BELOW SMA,15,,,212.78,-1.66,,,,0.597,-81.1,0.0,354.0,clean,60.0,CAUTION,-8.7,2,Sustained Uptrend,-1.69,-7.15,8.55,XLF,index,Index,23.2
SCCO,197.41,200.53,-1.55,BELOW SMA,15,,,204.58,-3.51,,,,0.0,-3.9,0.0,354.0,clean,60.0,CAUTION,-11.8,3,Parabolic,-4.28,-0.47,40.6,IAU,commodity,Commodity,23.2
STX,389.45,407.32,-4.39,BELOW SMA,15,,,383.52,1.55,,,,0.57,-183.5,0.0,354.0,clean,60.0,CAUTION,-15.3,3,Parabolic,8.9,-9.29,39.69,XLK,equity,Equity,23.2
TTMI,97.23,99.61,-2.39,BELOW SMA,15,,,102.37,-5.02,,,,0.09,88.0,0.0,354.0,clean,60.0,CAUTION,-14.3,3,Parabolic,-6.55,-1.37,31.86,XLK,equity,Equity,23.2
WMT,125.22,126.09,-0.69,BELOW SMA,15,,,125.76,-0.43,,,,0.304,-50.8,0.0,354.0,clean,60.0,CAUTION,-7.0,2,Sustained Uptrend,-2.1,-4.54,8.78,XLP,equity,Equity,23.2
WULF,14.58,15.3,-4.71,BELOW SMA,15,,,15.56,-6.28,,,,0.255,-147.8,0.0,,,60.0,CAUTION,-21.2,2,Sustained Uptrend,,,,,bond,Bond,23.2
ASML,1390.68,1419.08,-2.0,BELOW SMA,15,,,1403.4,-0.91,,,,0.181,-66.4,0.0,354.0,clean,59.6,CAUTION,-10.1,3,Parabolic,2.19,-1.58,26.49,QQQ,equity,Equity,23.1
BHE,54.8,56.61,-3.2,BELOW SMA,15,,,56.58,-3.14,,,,0.463,-94.4,0.0,354.0,clean,59.4,CAUTION,-10.3,3,Parabolic,-2.32,-6.0,16.7,XLI,bond,Bond,23.1
