year,period,date,date_start,label,composite,momentum,spreads
2026,24,2026-03-03,2026-02-18,Mar 03,1.0,1.0,1.0
2026,23,2026-02-17,2026-02-04,Feb 17,0.6112,0.6456,0.5769
2026,0,2025-04-01,2025-03-19,Apr 01,0.6064,0.5589,0.6538
2002,3,2002-03-12,2002-02-27,Mar 12,0.6004,0.5341,0.6667
2025,3,2025-03-12,2025-02-27,Mar 12,0.5808,0.5077,0.6538
2025,5,2025-04-09,2025-03-27,Apr 09,0.5774,0.5394,0.6154
2001,16,2001-09-10,2001-08-28,Sep 10,0.5769,0.5287,0.625
2015,0,2015-01-29,2015-01-16,Jan 29,0.5767,0.4996,0.6538
2025,4,2025-03-26,2025-03-13,Mar 26,0.5745,0.5337,0.6154
2015,19,2015-10-22,2015-10-09,Oct 22,0.5725,0.5296,0.6154
