ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
CLMT,35.04,9.3,24.88,29.97,77.96,86.88,160.52,2.68,1.2,2.6,1.11,2.06,3,True,True,True,True,True,28.43,37.82,149.05,29.93,38.04,144.6,22.26,44.23,113.25,0.9864,,,2.85,overextended,1.367,normal,none,97.6784755770263,89.4122383252818,96.1352657004831,94.4,1
NTR,76.55,1.19,5.06,1.97,21.95,30.14,50.39,4.26,0.39,11.14,1.37,2.3,4,True,True,True,True,True,8.62,9.83,38.93,10.12,10.04,34.48,2.45,16.23,3.12,0.1677,XLE,0.47,-0.25,clean,1.326,normal,none,85.64814814814815,99.03381642512076,93.55877616747182,92.7,2
DOW,41.84,2.5,16.09,36.15,79.65,82.23,18.73,6.44,2.25,2.2,1.03,0.24,3,True,True,True,True,True,19.64,44.01,7.26,21.15,44.22,2.81,13.48,50.41,-28.54,2.4508,XLB,0.54,0.6,clean,0.916,normal,none,89.23107890499195,89.4122383252818,98.38969404186795,92.3,3
XOM,171.48,0.29,6.42,12.45,43.97,46.29,45.46,22.41,1.94,3.53,1.05,1.03,3,True,True,True,True,True,9.97,20.3,33.99,11.48,20.52,29.54,3.81,26.7,-1.81,1.2326,XLE,0.9,1.47,clean,1.082,normal,none,85.86285560923243,89.4122383252818,96.77938808373591,90.7,4
TTE,91.53,1.85,2.68,13.93,39.68,44.94,40.43,1.45,5.19,2.85,1.13,1.02,3,True,True,True,True,True,6.23,21.78,28.96,7.74,22.0,24.51,0.07,28.19,-6.84,0.0704,XLE,0.56,0.41,clean,1.073,normal,none,88.22463768115942,89.4122383252818,93.23671497584542,90.3,5
PBR,20.81,0.19,7.99,25.14,80.17,59.1,44.61,41.5,3.15,3.19,0.74,0.56,3,True,True,True,True,True,11.54,32.99,33.15,13.05,33.21,28.7,5.38,39.39,-2.66,0.2021,XLE,0.49,0.62,clean,1.144,normal,none,87.12426194310252,89.4122383252818,93.88083735909822,90.1,6
NYT,83.27,0.58,0.7,4.36,18.69,43.1,70.01,1.21,6.22,4.28,2.31,3.75,4,True,True,True,True,True,4.25,12.22,58.54,5.76,12.43,54.09,-1.91,18.62,22.74,-0.6373,XLC,0.41,-1.1,clean,0.871,normal,none,83.75603864734299,99.03381642512076,85.26570048309179,89.4,7
WDS,24.3,-1.96,2.34,18.63,58.17,58.27,63.16,-1.19,7.97,3.12,1.0,1.09,3,True,True,True,True,True,5.89,26.48,51.7,7.39,26.7,47.25,-0.28,32.89,15.89,0.965,XLE,0.62,0.17,clean,1.344,normal,buy_today,79.01234567901234,89.4122383252818,96.05475040257649,88.2,8
SHEL,92.73,0.61,2.23,11.04,27.36,26.34,26.52,3.67,4.96,2.48,0.96,0.97,3,True,True,True,True,True,5.78,18.89,15.06,7.28,19.11,10.61,-0.39,25.3,-20.74,0.2879,XLE,0.53,-0.09,clean,1.037,normal,none,80.88432635534086,89.4122383252818,94.20289855072464,88.2,8
CNQ,49.36,-1.45,2.04,12.78,50.55,51.01,59.5,-1.41,6.28,3.95,1.01,1.18,3,True,True,True,True,True,5.59,20.64,48.03,7.09,20.85,43.58,-0.58,27.04,12.23,0.3737,XLE,0.59,-0.54,clean,1.038,normal,buy_today,78.73725174449812,89.4122383252818,94.68599033816425,87.6,10
