ticker,name,sr_score,sr_total,hist_agree,ret_3d,ret_5d,ret_10d,ret_1m,ret_3m,mom_3m,mom_1m,mom_10d,mom_5d,pred_3d_avg,pred_3d_winrate,pred_3d_n,pred_5d_avg,pred_5d_winrate,pred_5d_n,pred_10d_avg,pred_10d_winrate,pred_10d_n
AAXJ,Asia ex-Jpn,3.6,10,bullish,-2.91,-1.94,-3.77,-12.01,1.48,-1.19,-2.0,-1.32,-0.89,,,72.0,,,72.0,,,72.0
ACWI,ACWI,3.5,10,bullish,-2.51,-1.44,-3.56,-9.04,-5.7,-1.86,-2.0,-1.53,-0.81,,,75.0,,,75.0,,,75.0
ACWX,ACWX,3.6,10,bullish,-1.73,-0.06,-2.74,-11.12,-1.37,-2.0,-2.0,-1.13,-0.18,,,75.0,,,75.0,,,75.0
AFK,Africa,3.6,10,bullish,0.36,2.68,-0.47,-17.16,-5.68,-2.0,-2.0,-0.46,0.55,,,72.0,,,72.0,,,72.0
AGF,AGF,0.0,10,bearish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.06,,,55.0,,,55.0,,,55.0
AGG,Agg Bond,0.2,10,bullish,-0.22,-0.12,-0.68,-2.63,-1.48,-1.79,-2.0,-0.93,-0.22,,,93.0,,,93.0,,,93.0
AIA,AIA,3.6,10,bullish,-4.46,-2.79,-3.94,-12.49,7.45,-0.48,-2.0,-1.12,-0.98,,,75.0,,,75.0,,,75.0
AIQ,AIQ,3.9,10,bullish,-4.7,-4.22,-6.16,-10.19,-11.82,-1.71,-1.86,-1.58,-1.38,,,44.0,,,44.0,,,44.0
AIRR,AIRR,4.2,10,bullish,-2.41,1.72,0.91,-8.59,7.8,-0.27,-2.0,-0.23,0.24,,,52.0,,,52.0,,,52.0
ALAI,ALAI,4.4,10,bullish,-5.35,-4.52,-5.8,-9.31,-14.48,-1.35,-1.55,-1.45,-1.39,,,7.0,,,7.0,,,7.0
AMG,AMG,3.5,10,bullish,-2.34,-3.26,-1.04,-14.01,-7.56,-1.66,-2.0,-0.6,-1.03,,,100.0,,,100.0,,,100.0
AMLP,AMLP,4.9,10,bullish,-0.21,1.06,2.32,3.13,15.5,2.0,0.58,0.63,0.36,,,56.0,,,56.0,,,56.0
APIE,APIE,3.4,10,bullish,-1.89,0.09,-3.39,-11.48,-4.36,-2.0,-2.0,-1.18,-0.07,,,13.0,,,13.0,,,13.0
APO,APO,7.3,10,bullish,-2.52,-3.17,3.84,-5.2,-27.14,-1.67,-0.37,0.65,-0.51,,,56.0,,,56.0,,,56.0
ARES,ARES,5.6,10,bullish,-0.14,0.02,4.06,-10.32,-37.37,-1.76,-0.65,0.6,0.09,,,52.0,,,52.0,,,52.0
ARGT,ARGT,4.0,10,bullish,0.13,2.61,2.65,-3.64,-4.77,-0.55,-0.43,0.28,0.4,,,56.0,,,56.0,,,56.0
ARKF,ARKF,4.0,10,bullish,-5.67,-7.54,-8.75,-7.98,-26.12,-1.22,-0.82,-1.28,-1.52,,,42.0,,,42.0,,,42.0
ARKG,ARKG,3.2,10,bullish,-6.59,-4.47,-5.6,-18.57,-17.54,-1.48,-2.0,-0.85,-0.88,,,50.0,,,50.0,,,50.0
ARKK,ARKK,3.4,10,bullish,-6.25,-6.45,-7.91,-13.3,-19.79,-1.18,-1.46,-1.26,-1.32,,,50.0,,,50.0,,,50.0
ARKQ,ARKQ,3.4,10,bullish,-5.27,-3.82,-5.96,-11.51,-7.7,-1.26,-1.72,-1.29,-1.04,,,52.0,,,52.0,,,52.0
ARKW,ARKW,3.2,10,bullish,-5.62,-6.86,-8.15,-9.04,-25.01,-1.22,-0.98,-1.27,-1.44,,,52.0,,,52.0,,,52.0
ARKX,ARKX,3.5,10,bullish,-4.3,-4.01,-5.86,-10.68,-3.66,-1.1,-1.56,-1.23,-1.08,,,30.0,,,30.0,,,30.0
ARTY,ARTY,4.1,10,bullish,-5.42,-4.02,-5.29,-11.47,-5.48,-0.96,-1.84,-1.28,-1.18,,,44.0,,,44.0,,,44.0
ASEA,ASEA,4.4,10,bullish,0.47,0.53,0.9,-6.6,1.54,-0.81,-2.0,0.0,0.04,,,56.0,,,56.0,,,56.0
ASHR,ASHR,2.6,10,bullish,-0.09,-1.14,-4.56,-6.35,-2.5,-1.22,-1.97,-1.73,-0.65,,,52.0,,,52.0,,,52.0
AVDE,AVDE,4.7,10,bullish,-1.21,0.66,-2.18,-10.94,-0.74,-2.0,-2.0,-0.96,0.09,,,42.0,,,42.0,,,42.0
AVDV,AVDV,4.6,10,bullish,-0.88,1.21,-2.19,-11.8,2.19,-1.71,-2.0,-0.98,0.2,,,42.0,,,42.0,,,42.0
AVEM,AVEM,4.1,10,bullish,-2.08,-0.52,-2.31,-11.53,2.26,-1.13,-2.0,-0.98,-0.41,,,42.0,,,42.0,,,42.0
AVES,AVES,3.4,10,bullish,-1.15,-0.21,-2.06,-11.44,0.68,-1.27,-2.0,-0.91,-0.27,,,36.0,,,36.0,,,36.0
AVIV,AVIV,4.5,10,bullish,-0.92,1.05,-1.37,-9.93,1.24,-1.9,-2.0,-0.74,0.23,,,36.0,,,36.0,,,36.0
AVNM,AVNM,3.2,10,bullish,-1.42,0.4,-2.08,-10.97,0.52,-1.85,-2.0,-0.97,-0.04,,,13.0,,,13.0,,,13.0
BAI,BAI,3.9,10,bullish,-6.1,-2.57,-1.75,-7.46,-4.06,-0.68,-1.3,-0.61,-0.79,,,7.0,,,7.0,,,7.0
BAM,BAM,4.1,10,bullish,0.79,0.72,0.65,-11.33,-19.2,-1.47,-1.22,0.16,0.22,,,13.0,,,13.0,,,13.0
BATT,BATT,5.4,10,bullish,-0.86,4.69,-1.74,-11.26,0.81,-0.97,-2.0,-0.67,0.82,,,44.0,,,44.0,,,44.0
BBCA,BBCA,5.1,10,bullish,-0.77,0.48,-2.82,-7.93,-2.22,-2.0,-2.0,-1.53,-0.01,,,44.0,,,44.0,,,44.0
BBEU,BBEU,4.9,10,bullish,-1.32,0.06,-3.34,-12.08,-4.92,-2.0,-2.0,-1.22,-0.08,,,44.0,,,44.0,,,44.0
BBIN,BBIN,4.8,10,bullish,-1.44,-0.12,-2.96,-11.65,-3.0,-2.0,-2.0,-1.1,-0.17,,,42.0,,,42.0,,,42.0
BBJP,BBJP,3.6,10,bullish,-2.2,0.38,-2.2,-11.87,0.67,-1.14,-2.0,-0.71,0.01,,,44.0,,,44.0,,,44.0
BEN,BEN,3.0,10,bullish,-3.89,-3.03,-5.72,-17.06,-5.91,-0.91,-2.0,-1.14,-0.89,,,100.0,,,100.0,,,100.0
BIL,BIL,3.0,10,bullish,0.04,0.07,0.13,0.03,0.33,2.0,0.38,0.8,0.47,,,75.0,,,75.0,,,75.0
BINV,BINV,3.4,10,bullish,-0.72,1.09,-1.7,-10.11,-0.92,-2.0,-2.0,-0.78,0.31,,,11.0,,,11.0,,,11.0
BITO,BITO,4.2,10,bullish,-5.08,-6.26,-7.5,-2.74,-25.27,-0.58,0.18,-0.64,-0.86,,,30.0,,,30.0,,,30.0
BITQ,BITQ,0.0,10,bearish,-8.57,-8.39,-8.7,-9.06,-12.8,-0.76,-0.81,-0.98,-1.22,,,37.0,,,37.0,,,37.0
BK,BK,4.8,10,bullish,-2.68,-0.17,-1.23,-5.65,-2.94,-1.47,-1.46,-0.66,-0.29,,,100.0,,,100.0,,,100.0
BKCH,BKCH,0.0,10,bearish,-10.56,-9.77,-11.46,-16.34,-22.4,-0.9,-1.02,-1.03,-1.16,,,37.0,,,37.0,,,37.0
BKGI,BKGI,3.8,10,bullish,-0.2,0.97,-1.26,-5.25,8.24,0.08,-2.0,-0.94,0.23,,,13.0,,,13.0,,,13.0
BKIE,BKIE,4.1,10,bullish,-1.53,0.45,-2.4,-10.75,-3.61,-2.0,-2.0,-0.98,0.06,,,37.0,,,37.0,,,37.0
BLK,BLK,4.1,10,bullish,-4.32,-2.5,1.06,-14.34,-14.24,-1.45,-2.0,0.18,-0.71,,,100.0,,,100.0,,,100.0
BLOK,BLOK,4.3,10,bullish,-6.38,-5.66,-7.28,-11.79,-18.94,-1.13,-1.18,-1.07,-1.14,,,44.0,,,44.0,,,44.0
BN,BN,4.4,10,bullish,-0.47,2.03,1.73,-14.11,-16.25,-1.68,-1.98,0.2,0.45,,,100.0,,,100.0,,,100.0
BND,Total Bond,0.3,10,bullish,-0.2,-0.08,-0.6,-2.55,-1.46,-1.77,-2.0,-0.83,-0.15,,,75.0,,,75.0,,,75.0
BNDX,BNDX,0.1,10,bullish,-0.32,-0.28,-0.68,-2.92,-1.54,-1.06,-2.0,-0.9,-0.52,,,55.0,,,55.0,,,55.0
BNO,BNO,4.2,10,bullish,6.06,-0.4,7.48,55.9,83.59,2.0,2.0,0.6,-0.28,,,59.0,,,59.0,,,59.0
BOTZ,BOTZ,4.3,10,bullish,-4.04,-3.41,-6.82,-17.84,-11.52,-1.44,-2.0,-1.45,-1.0,,,44.0,,,44.0,,,44.0
BUZZ,BUZZ,3.0,10,bullish,-5.79,-6.2,-9.08,-11.09,-17.59,-1.41,-1.41,-1.59,-1.45,,,37.0,,,37.0,,,37.0
BWX,BWX,3.4,10,bullish,-1.25,-0.98,-0.89,-5.75,-4.05,-1.59,-2.0,-0.61,-0.87,,,75.0,,,75.0,,,75.0
BX,BX,4.7,10,bullish,0.03,-2.19,1.16,-8.42,-30.57,-1.41,-0.58,0.29,-0.34,,,75.0,,,75.0,,,75.0
CCNR,CCNR,3.9,10,bullish,1.26,3.54,2.15,-1.52,19.77,0.96,-1.15,0.06,0.84,,,7.0,,,7.0,,,7.0
CEF,CEF,4.1,10,bullish,2.23,2.19,-11.51,-17.11,-4.05,-1.99,-2.0,-2.0,0.22,,,100.0,,,100.0,,,100.0
CG,CG,4.9,10,bullish,-3.35,-3.09,0.08,-16.13,-25.11,-1.15,-1.28,-0.07,-0.58,,,55.0,,,55.0,,,55.0
CGDG,CGDG,3.3,10,bullish,-0.9,0.34,-2.04,-7.31,-2.5,-2.0,-2.0,-1.14,0.04,,,11.0,,,11.0,,,11.0
CGDV,Dividend Grw,3.8,10,bullish,-2.76,-1.82,-4.1,-8.6,-5.64,-1.7,-2.0,-1.81,-1.04,,,27.0,,,27.0,,,27.0
CGGE,CGGE,4.1,10,bullish,-2.92,-1.89,-4.11,-10.32,-7.4,-2.0,-2.0,-1.71,-1.02,,,7.0,,,7.0,,,7.0
CGGO,CGGO,3.3,10,bullish,-3.88,-2.91,-4.97,-11.74,-7.64,-1.91,-2.0,-1.83,-1.34,,,27.0,,,27.0,,,27.0
CGIC,CGIC,4.1,10,bullish,-1.74,-0.28,-2.66,-10.89,-1.71,-2.0,-2.0,-1.2,-0.31,,,7.0,,,7.0,,,7.0
CGIE,CGIE,3.3,10,bullish,-2.28,-0.52,-3.89,-11.86,-6.96,-2.0,-2.0,-1.42,-0.32,,,11.0,,,11.0,,,11.0
CGNG,CGNG,3.8,10,bullish,-2.81,-0.89,-3.06,-12.06,-5.1,-2.0,-2.0,-1.19,-0.53,,,7.0,,,7.0,,,7.0
CGXU,CGXU,4.0,10,bullish,-2.36,0.32,-2.06,-12.31,-7.47,-1.96,-2.0,-0.68,0.01,,,27.0,,,27.0,,,27.0
CHAT,CHAT,0.1,10,bearish,-5.4,-3.65,-4.0,-7.01,-1.34,-0.74,-1.3,-1.07,-1.09,,,13.0,,,13.0,,,13.0
CHY,CHY,2.4,10,bullish,-5.7,-5.45,-5.2,-10.62,-8.34,-1.33,-2.0,-1.97,-2.0,,,93.0,,,93.0,,,93.0
