ticker,price,ret_1m,ret_3m,ret_6m,ret_1y,ret_5y,ret_10y,ratio_3m_1m,ratio_6m_3m,ratio_1y_6m,ratio_5y_1y,ratio_10y_5y,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1y,vs_spy_5y,vs_spy_10y,vs_qqq_1y,vs_qqq_5y,vs_qqq_10y,vs_iau_1y,vs_iau_5y,vs_iau_10y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,strong_flag,score_returns,score_ratios,score_spy_days,history_depth,score_depth,score,rank
LINC,39.6,31.43,73.38,88.93,160.7,512.06,1314.29,2.33,1.21,1.81,3.19,2.57,4,True,True,True,True,True,142.71,442.02,1078.67,135.95,422.69,839.72,98.56,332.67,1034.3,0.2067,XLB,0.31,1.64,clean,1.813,confirmed,none,strong_buy,94.3348419790337,95.20714865962631,89.68318440292445,6,100.0,95.3,1
FTI,65.17,6.37,41.06,67.06,130.53,633.07,214.98,6.45,1.63,1.95,4.85,0.34,4,True,True,True,True,True,112.54,563.03,-20.63,105.78,543.7,-259.59,68.38,453.69,-65.0,-0.178,XLE,0.5,-0.09,clean,1.166,normal,none,strong_buy,88.0700940002321,95.20714865962631,79.28513403736798,6,100.0,91.3,2
NOC,724.64,3.35,25.85,25.08,47.73,142.02,288.05,7.71,0.97,1.9,2.98,2.03,4,True,True,True,True,True,29.75,71.98,52.43,22.98,52.65,-186.52,-14.41,-37.36,8.06,0.4058,XLI,0.4,-0.1,clean,1.011,normal,none,strong_buy,77.84418397740899,95.20714865962631,92.85134037367993,6,100.0,91.0,3
NSKFF,44.0,12.62,72.55,37.5,38.85,873.45,1356.95,5.75,0.52,1.04,22.49,1.55,3,True,True,True,True,True,20.86,803.41,1121.34,14.09,784.08,882.38,-23.3,694.07,1076.97,0.5739,,,0.37,clean,,normal,none,strong_buy,86.76646938222892,77.61982128350934,95.45085296506905,6,100.0,90.6,4
FUWAY,89.35,27.46,169.13,186.93,288.48,634.18,891.13,6.16,1.11,1.54,2.2,1.41,3,True,True,True,True,True,270.49,564.14,655.51,263.73,544.81,416.56,226.34,454.8,611.14,-0.1129,,,0.34,clean,,normal,none,strong_buy,95.9614715098062,77.61982128350934,81.31600324939075,6,100.0,90.6,4
CLMT,29.05,1.11,42.26,50.83,120.24,486.87,144.94,37.94,1.2,2.37,4.05,0.3,3,True,True,True,True,True,102.26,416.83,-90.67,95.49,397.5,-329.63,58.1,307.49,-135.05,1.3202,,,-0.34,clean,1.324,normal,none,strong_buy,83.79946617152142,77.61982128350934,98.86271324126726,6,100.0,90.4,6
MPC,237.03,18.2,27.77,29.53,62.17,308.67,539.58,1.53,1.06,2.11,4.96,1.75,3,True,True,True,True,True,44.19,238.63,303.97,37.42,219.3,65.01,0.03,129.29,259.6,0.5096,XLE,0.67,1.43,clean,1.184,normal,none,strong_buy,84.6621020463425,77.61982128350934,94.39480097481722,6,100.0,89.8,7
LNG,248.54,13.49,31.62,5.81,11.7,235.55,589.45,2.34,0.18,2.01,20.14,2.5,4,True,True,True,True,True,-6.29,165.52,353.83,-13.06,146.19,114.87,-50.45,56.17,309.46,0.6048,XLE,0.51,1.83,clean,1.395,normal,none,strong_buy,71.61425089938496,95.20714865962631,95.69455727051178,6,100.0,89.7,8
EZPW,26.33,6.26,28.25,53.44,90.66,386.69,771.85,4.52,1.89,1.7,4.27,2.0,5,True,True,True,True,True,72.67,316.65,536.24,65.91,297.32,297.28,28.52,207.31,491.87,-0.5412,XLI,0.51,0.04,clean,0.887,normal,none,strong_buy,86.263587482109,99.6344435418359,68.80584890333063,6,100.0,89.6,9
NYT,80.36,8.56,19.01,37.82,65.5,56.53,538.32,2.22,1.99,1.73,0.86,9.52,4,True,True,True,True,True,47.51,-13.5,302.71,40.74,-32.83,63.75,3.35,-122.85,258.34,-0.1964,,,0.66,clean,1.113,normal,none,strong_buy,79.8653823836602,95.20714865962631,78.71649065800163,6,100.0,88.7,10
