ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
ELA,24.62,5.8,38.31,38.7,84.42,152.0,283.49,6.6,1.01,2.18,1.8,3.36,4,True,True,True,True,True,35.96,30.22,252.04,32.81,22.15,236.33,35.84,39.65,243.78,3.7798,,,3.55,overextended,1.68,confirmed,none,96.22359963269054,96.65977961432507,99.58677685950413,97.5,1
STRO,40.24,1.03,13.07,50.37,159.28,308.94,305.24,12.69,3.86,3.16,1.94,1.92,4,True,True,True,True,True,10.71,41.89,273.79,7.57,33.81,258.08,10.59,51.32,265.53,2.837,,,0.37,clean,1.09,normal,none,91.1042240587695,96.65977961432507,99.17355371900827,95.6,2
ICHR,74.42,4.48,15.52,34.79,131.48,345.63,348.31,3.47,2.24,3.78,2.63,2.65,4,True,True,True,True,True,13.17,26.31,316.87,10.02,18.24,301.15,13.04,35.74,308.6,1.0217,VXUS,0.49,0.39,clean,1.764,confirmed,none,96.03994490358127,96.65977961432507,93.73278236914601,95.5,3
WDC,480.0,3.47,11.23,42.06,69.86,199.81,983.52,3.24,3.74,1.66,2.86,14.08,4,True,True,True,True,True,8.88,33.57,952.07,5.73,25.5,936.36,8.76,43.01,943.81,0.4591,QQQ,0.6,0.06,clean,0.989,normal,none,95.06427915518826,96.65977961432507,87.39669421487604,93.0,4
SITM,833.08,4.49,49.13,104.84,98.97,198.52,401.25,10.95,2.13,0.94,2.01,4.05,3,True,True,True,True,True,46.77,96.36,369.8,43.63,88.29,354.09,46.65,105.79,361.54,5.6538,SPY,0.52,3.45,overextended,1.427,normal,none,97.42883379247014,80.85399449035813,99.86225895316805,92.7,5
INSW,91.62,1.6,7.61,22.24,50.05,82.73,152.12,4.77,2.92,2.25,1.65,3.04,4,True,True,True,True,True,5.26,13.75,120.67,2.11,5.68,104.96,5.13,23.19,112.41,1.0415,LQD,0.36,0.54,clean,1.29,normal,none,85.45684113865933,96.65977961432507,93.80165289256198,92.0,6
MTSI,359.88,4.47,26.64,45.28,52.58,140.43,217.44,5.95,1.7,1.16,2.67,4.14,3,True,True,True,True,True,24.28,36.79,185.99,21.14,28.72,170.28,24.16,46.23,177.73,2.6421,XLK,0.53,2.66,overextended,1.542,confirmed,none,94.7141873278237,80.85399449035813,99.0358126721763,91.5,7
STX,782.64,2.11,7.66,56.29,82.3,183.8,719.95,3.63,7.34,1.46,2.23,8.75,4,True,True,True,True,True,5.31,47.8,688.5,2.16,39.73,672.79,5.18,57.23,680.24,0.26,XLK,0.53,-0.2,clean,1.406,normal,none,92.70546372819099,96.65977961432507,84.84848484848484,91.4,8
ANAB,69.33,3.54,3.85,51.74,109.14,188.88,428.43,1.09,13.44,2.11,1.73,3.93,4,True,True,True,True,True,1.49,43.25,396.98,-1.65,35.18,381.27,1.37,52.69,388.72,0.1318,QQQ,0.36,-0.45,clean,0.904,normal,none,92.00528007346189,96.65977961432507,82.92011019283747,90.5,9
PKX,91.72,3.13,16.53,44.37,44.97,70.64,97.16,5.29,2.68,1.01,1.57,2.16,3,True,True,True,True,True,14.17,35.88,65.71,11.03,27.81,50.0,14.05,45.32,57.45,2.36,VXUS,0.66,1.08,clean,1.579,confirmed,none,88.77984389348028,80.85399449035813,98.82920110192838,89.5,10
LBRT,33.11,4.51,1.32,21.73,31.23,89.96,196.68,0.29,16.51,1.44,2.88,6.3,3,True,True,True,True,True,-1.04,13.24,165.24,-4.18,5.17,149.52,-1.16,22.68,156.97,3.7044,XLE,0.43,-0.54,clean,0.743,thin,none,83.43089990817263,80.85399449035813,99.51790633608816,87.9,11
DOCN,163.95,8.99,59.45,88.08,160.57,257.89,472.85,6.62,1.48,1.82,1.61,2.94,3,True,True,True,True,True,57.1,79.59,441.4,53.95,71.52,425.69,56.97,89.03,433.14,0.1485,XLK,0.37,0.14,clean,1.588,confirmed,none,98.71441689623508,80.85399449035813,83.26446280991735,87.6,12
KLIC,102.66,4.6,18.92,33.67,44.75,159.9,232.77,4.12,1.78,1.33,3.57,5.2,3,True,True,True,True,True,16.56,25.18,201.32,13.42,17.11,185.61,16.44,34.62,193.06,0.4722,QQQ,0.71,1.33,clean,1.898,confirmed,none,94.00252525252525,80.85399449035813,87.60330578512396,87.5,13
BELFB,297.98,2.59,5.07,26.8,34.97,92.42,324.35,1.96,5.29,1.3,2.64,9.28,3,True,True,True,True,True,2.72,18.31,292.9,-0.43,10.24,277.19,2.59,27.75,284.64,1.0428,VXUS,0.54,-0.22,clean,1.075,normal,none,87.71808999081726,80.85399449035813,93.87052341597796,87.5,13
CGON,69.62,0.64,5.06,1.55,38.24,83.4,211.64,7.95,0.31,24.74,2.18,5.53,4,True,True,True,True,True,2.7,-6.94,180.19,-0.45,-15.01,164.48,2.58,2.49,171.93,0.8075,XLV,0.39,0.56,clean,0.654,thin,none,73.95546372819099,96.65977961432507,91.52892561983471,87.4,15
GPRE,18.19,10.51,2.42,19.59,31.34,61.26,382.49,0.23,8.09,1.6,1.95,12.21,3,True,True,True,True,True,0.07,11.1,351.05,-3.08,3.03,335.33,-0.06,20.54,342.78,1.0138,XLE,0.46,-0.36,clean,1.285,normal,none,85.5888429752066,80.85399449035813,93.66391184573003,86.7,16
ZM,109.21,0.78,5.58,29.97,18.45,30.68,38.87,7.11,5.37,0.62,1.66,2.11,4,True,True,True,True,True,3.22,21.48,7.43,0.08,13.41,-8.29,3.1,30.91,-0.84,0.9723,XLK,0.31,-0.16,clean,1.09,normal,none,70.24793388429752,96.65977961432507,93.1129476584022,86.7,16
THR,65.66,0.52,8.49,20.77,30.23,123.26,137.38,16.32,2.44,1.46,4.08,4.55,3,True,True,True,True,True,6.14,12.28,105.93,2.99,4.21,90.22,6.01,21.71,97.67,1.5978,VXUS,0.48,-1.45,clean,1.681,confirmed,none,81.10651974288338,80.85399449035813,97.52066115702479,86.5,18
