target_date,window,similar_date,correlation
2026-03-13,25Y,2026-03-12,0.9453
2026-03-13,25Y,2026-03-11,0.8734
2026-03-13,25Y,2026-03-10,0.8403
2026-03-13,25Y,2023-10-03,0.6675
2026-03-13,25Y,2002-09-30,0.6479
2026-03-13,25Y,2018-02-12,0.6433
2026-03-13,25Y,2004-03-22,0.6394
2026-03-13,25Y,2004-03-19,0.6365
2026-03-13,25Y,2022-05-03,0.6289
2026-03-13,25Y,2023-10-04,0.6286
2026-03-13,25Y,2002-09-27,0.6191
2026-03-13,25Y,2022-04-29,0.6169
2026-03-13,25Y,2005-04-01,0.614
2026-03-13,25Y,2004-05-07,0.6138
2026-03-13,25Y,2023-09-28,0.6128
2026-03-13,25Y,2006-05-30,0.6115
2026-03-13,25Y,2004-03-18,0.6101
2026-03-13,25Y,2004-03-23,0.6099
2026-03-13,25Y,2004-05-17,0.6097
2026-03-13,25Y,2022-05-02,0.6081
2026-03-13,25Y,2013-06-27,0.6076
2026-03-13,25Y,2018-02-13,0.6071
2026-03-13,25Y,2022-05-18,0.6061
2026-03-13,25Y,2004-05-18,0.6059
2026-03-13,25Y,2018-02-14,0.6053
2026-03-13,25Y,2022-05-05,0.6041
2026-03-13,25Y,2001-09-25,0.6028
2026-03-13,25Y,2010-02-03,0.6025
2026-03-13,25Y,2001-03-23,0.6014
2026-03-13,25Y,2001-09-26,0.6003
2026-03-13,25Y,2006-05-25,0.5998
2026-03-13,25Y,2023-08-24,0.5984
2026-03-13,25Y,2006-06-15,0.5983
2026-03-13,25Y,2026-03-06,0.5983
2026-03-13,25Y,2004-05-06,0.5968
2026-03-13,25Y,2001-03-21,0.5955
2026-03-13,25Y,2006-05-31,0.5953
2026-03-13,25Y,2007-03-06,0.5924
2026-03-13,25Y,2002-09-25,0.592
2026-03-13,25Y,2007-03-09,0.5917
2026-03-13,25Y,2023-09-29,0.5908
2026-03-13,25Y,2004-05-19,0.5906
2026-03-13,25Y,2007-03-08,0.5901
2026-03-13,25Y,2023-10-02,0.5889
2026-03-13,25Y,2002-09-26,0.5879
2026-03-13,25Y,2007-08-02,0.5865
2026-03-13,25Y,2006-06-16,0.5845
2026-03-13,25Y,2020-03-23,0.5839
2026-03-13,25Y,2006-05-24,0.5825
2026-03-13,25Y,2022-05-04,0.5812
2026-03-13,25Y,2002-06-14,0.5802
2026-03-13,25Y,2023-08-25,0.5789
2026-03-13,25Y,2013-06-28,0.578
2026-03-13,25Y,2020-03-24,0.5777
2026-03-13,25Y,2006-06-20,0.5764
2026-03-13,25Y,2022-05-06,0.5761
2026-03-13,25Y,2022-09-30,0.5746
2026-03-13,25Y,2005-04-04,0.5744
2026-03-13,25Y,2006-06-19,0.5741
2026-03-13,25Y,2005-04-05,0.5734
2026-03-13,25Y,2010-02-04,0.5732
2026-03-13,25Y,2002-10-01,0.573
2026-03-13,25Y,2001-03-20,0.5718
2026-03-13,25Y,2008-07-03,0.5715
2026-03-13,25Y,2013-07-02,0.5712
2026-03-13,25Y,2005-03-30,0.5705
2026-03-13,25Y,2009-11-04,0.5703
2026-03-13,25Y,2010-06-01,0.5699
2026-03-13,25Y,2001-03-22,0.569
2026-03-13,25Y,2010-01-29,0.5685
2026-03-13,25Y,2015-09-02,0.5676
2026-03-13,25Y,2005-03-29,0.5671
2026-03-13,25Y,2023-08-22,0.5668
2026-03-13,25Y,2010-05-14,0.5667
2026-03-13,25Y,2011-11-28,0.5661
2026-03-13,25Y,2007-03-07,0.566
2026-03-13,25Y,2010-05-27,0.5656
2026-03-13,25Y,2022-09-26,0.5655
2026-03-13,25Y,2005-03-31,0.5644
2026-03-13,25Y,2007-08-03,0.5642
2026-03-13,25Y,2011-11-29,0.5628
2026-03-13,25Y,2001-09-24,0.5621
2026-03-13,25Y,2021-09-28,0.5616
2026-03-13,25Y,2010-02-17,0.5581
2026-03-13,25Y,2022-09-23,0.5569
2026-03-13,25Y,2021-10-07,0.5564
2026-03-13,25Y,2001-03-19,0.5552
2026-03-13,25Y,2012-05-25,0.5546
2026-03-13,25Y,2004-03-17,0.5545
2026-03-13,25Y,2008-10-14,0.553
2026-03-13,25Y,2012-05-24,0.5527
2026-03-13,25Y,2015-09-01,0.5526
2026-03-13,25Y,2022-05-09,0.5507
2026-03-13,25Y,2018-02-09,0.5498
2026-03-13,25Y,2002-06-13,0.5476
2026-03-13,25Y,2010-05-28,0.5474
2026-03-13,25Y,2016-01-21,0.5473
2026-03-13,25Y,2023-08-23,0.5464
2026-03-13,25Y,2018-10-18,0.5464
2026-03-13,25Y,2008-07-01,0.5462
2026-03-13,5Y,2026-03-12,0.9453
2026-03-13,5Y,2026-03-11,0.8734
2026-03-13,5Y,2026-03-10,0.8403
2026-03-13,5Y,2023-10-03,0.6675
2026-03-13,5Y,2022-05-03,0.6289
2026-03-13,5Y,2023-10-04,0.6286
2026-03-13,5Y,2022-04-29,0.6169
2026-03-13,5Y,2023-09-28,0.6128
2026-03-13,5Y,2022-05-02,0.6081
2026-03-13,5Y,2022-05-18,0.6061
2026-03-13,5Y,2022-05-05,0.6041
2026-03-13,5Y,2023-08-24,0.5984
2026-03-13,5Y,2026-03-06,0.5983
2026-03-13,5Y,2023-09-29,0.5908
2026-03-13,5Y,2023-10-02,0.5889
2026-03-13,5Y,2022-05-04,0.5812
2026-03-13,5Y,2023-08-25,0.5789
2026-03-13,5Y,2022-05-06,0.5761
2026-03-13,5Y,2022-09-30,0.5746
2026-03-13,5Y,2023-08-22,0.5668
2026-03-13,5Y,2022-09-26,0.5655
2026-03-13,5Y,2021-09-28,0.5616
2026-03-13,5Y,2022-09-23,0.5569
2026-03-13,5Y,2021-10-07,0.5564
2026-03-13,5Y,2022-05-09,0.5507
2026-03-13,5Y,2023-08-23,0.5464
2026-03-13,5Y,2021-12-03,0.5437
2026-03-13,5Y,2021-09-29,0.5401
2026-03-13,5Y,2021-10-06,0.5347
2026-03-13,5Y,2022-09-28,0.5301
2026-03-13,5Y,2021-10-11,0.5295
2026-03-13,5Y,2022-05-12,0.5295
2026-03-13,5Y,2024-12-30,0.524
2026-03-13,5Y,2022-01-28,0.5234
2026-03-13,5Y,2022-05-16,0.5221
2026-03-13,5Y,2022-04-28,0.5205
2026-03-13,5Y,2023-10-09,0.5203
2026-03-13,5Y,2022-09-27,0.5181
2026-03-13,5Y,2022-03-14,0.5143
2026-03-13,5Y,2023-10-30,0.5142
2026-03-13,5Y,2024-04-22,0.5074
2026-03-13,5Y,2022-03-03,0.5068
2026-03-13,5Y,2026-03-09,0.5059
2026-03-13,5Y,2024-12-31,0.5049
2026-03-13,5Y,2023-08-28,0.5044
2026-03-13,5Y,2023-10-12,0.503
2026-03-13,5Y,2023-10-27,0.5021
2026-03-13,5Y,2022-09-29,0.5021
2026-03-13,5Y,2021-03-31,0.5017
2026-03-13,5Y,2022-03-11,0.5005
2026-03-13,5Y,2024-08-12,0.5004
2026-03-13,5Y,2021-12-06,0.4983
2026-03-13,5Y,2024-12-27,0.498
2026-03-13,5Y,2024-12-26,0.4975
2026-03-13,5Y,2022-01-31,0.4959
2026-03-13,5Y,2021-06-29,0.4958
2026-03-13,5Y,2022-10-03,0.4919
2026-03-13,5Y,2025-04-07,0.4898
2026-03-13,5Y,2022-06-21,0.4884
2026-03-13,5Y,2025-04-08,0.4874
2026-03-13,5Y,2022-06-22,0.4843
2026-03-13,5Y,2021-12-21,0.482
2026-03-13,5Y,2024-11-21,0.4819
2026-03-13,5Y,2021-06-28,0.4817
2026-03-13,5Y,2022-05-17,0.4805
2026-03-13,5Y,2022-05-19,0.4777
2026-03-13,5Y,2024-04-25,0.4772
2026-03-13,5Y,2023-08-21,0.4771
2026-03-13,5Y,2024-04-19,0.4767
2026-03-13,5Y,2024-10-30,0.4755
2026-03-13,5Y,2021-10-08,0.4746
2026-03-13,5Y,2026-03-05,0.4736
2026-03-13,5Y,2024-08-09,0.4712
2026-03-13,5Y,2022-02-03,0.4707
2026-03-13,5Y,2022-06-23,0.4674
2026-03-13,5Y,2021-09-27,0.466
2026-03-13,5Y,2024-10-31,0.4649
2026-03-13,5Y,2023-08-11,0.464
2026-03-13,5Y,2024-08-14,0.4629
2026-03-13,5Y,2021-03-30,0.4606
2026-03-13,5Y,2024-04-23,0.4602
2026-03-13,5Y,2021-06-30,0.4588
2026-03-13,5Y,2023-10-06,0.4569
2026-03-13,5Y,2021-06-25,0.4561
2026-03-13,5Y,2024-11-22,0.4551
2026-03-13,5Y,2022-06-16,0.4547
2026-03-13,5Y,2024-11-01,0.4536
2026-03-13,5Y,2025-04-10,0.4534
2026-03-13,5Y,2024-04-24,0.4528
2026-03-13,5Y,2023-08-15,0.4527
2026-03-13,5Y,2024-06-21,0.4496
2026-03-13,5Y,2022-10-18,0.4486
2026-03-13,5Y,2022-10-19,0.4477
2026-03-13,5Y,2025-04-04,0.4467
2026-03-13,5Y,2023-10-05,0.4461
2026-03-13,5Y,2021-09-30,0.446
2026-03-13,5Y,2024-11-20,0.445
2026-03-13,5Y,2023-10-10,0.4439
2026-03-13,5Y,2025-04-16,0.4383
2026-03-13,5Y,2023-08-14,0.4361
2026-03-13,1Y,2026-03-12,0.9453
2026-03-13,1Y,2026-03-11,0.8734
2026-03-13,1Y,2026-03-10,0.8403
2026-03-13,1Y,2026-03-06,0.5983
2026-03-13,1Y,2026-03-09,0.5059
2026-03-13,1Y,2025-04-07,0.4898
2026-03-13,1Y,2025-04-08,0.4874
2026-03-13,1Y,2026-03-05,0.4736
2026-03-13,1Y,2025-04-10,0.4534
2026-03-13,1Y,2025-04-04,0.4467
2026-03-13,1Y,2025-04-16,0.4383
2026-03-13,1Y,2025-04-11,0.4357
2026-03-13,1Y,2025-04-14,0.4312
2026-03-13,1Y,2025-04-15,0.4291
2026-03-13,1Y,2025-11-25,0.4131
2026-03-13,1Y,2025-11-26,0.404
2026-03-13,1Y,2025-11-24,0.396
2026-03-13,1Y,2025-04-17,0.3632
2026-03-13,1Y,2025-10-17,0.3216
2026-03-13,1Y,2025-11-28,0.3175
2026-03-13,1Y,2025-12-01,0.3029
2026-03-13,1Y,2025-04-09,0.2986
2026-03-13,1Y,2025-04-03,0.2682
2026-03-13,1Y,2026-03-03,0.2585
2026-03-13,1Y,2025-08-08,0.2546
2026-03-13,1Y,2025-11-11,0.2381
2026-03-13,1Y,2026-03-04,0.2048
2026-03-13,1Y,2025-11-07,0.2044
2026-03-13,1Y,2026-02-12,0.2039
2026-03-13,1Y,2025-08-07,0.2015
