ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,slope_stage,slope_tq_score,health_score,health_verdict,spread_support,source_count,sources,sector
SNDK,XLK,3.0,93.3,150.0,77.3,,,,,,,6.0,,,90.5,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
MKSI,XLI,33.0,82.4,110.0,79.4,,,,,,,6.0,,,87.5,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
MUFG,VGK,38.0,81.5,117.0,78.9,,,,,,,5.0,,,82.6,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Financial Services
SMFG,VXUS,43.0,80.7,141.0,77.8,,,,,,,5.0,,,82.3,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Financial Services
ADM,DBA,49.0,79.9,12.0,88.6,,,,,,,5.0,,,85.5,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Consumer Defensive
BG,XLE,53.0,79.6,25.0,86.3,,,,,,,6.0,,,85.7,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Consumer Defensive
STX,XLK,62.0,78.2,10.0,89.7,,,,,,,6.0,,,88.4,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
XSD,QQQ,75.0,76.6,58.0,82.9,,,,,,6.8,,,,85.1,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
DXJ,VXUS,81.0,75.7,74.0,81.8,,,,,,2.2,,,,89.5,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
DBJP,VXUS,87.0,75.1,82.0,81.0,,,,,,2.2,,,,89.5,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
VTV,XLI,94.0,74.1,109.0,79.5,,,,,,3.0,,,,89.7,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
SOXX,QQQ,97.0,73.9,82.0,81.0,,,,,,4.7,3.0,,,85.1,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",Financial Services
WDC,XLI,98.0,73.8,4.0,91.9,,,,,,,5.0,,,90.7,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
PSI,QQQ,100.0,73.5,41.0,84.7,,,,,,5.5,,,,85.0,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
SMH,QQQ,103.0,73.4,71.0,82.0,,,,,,4.0,3.0,,,85.5,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",Financial Services
MU,XLK,112.0,72.4,66.0,82.3,,,,,,,6.0,,,84.8,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
IVV,SPY,119.0,71.3,150.0,77.3,,,,,,2.6,,,,88.8,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
AMAT,XLK,147.0,68.6,107.0,79.6,,,,,,,5.0,,,89.9,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
VIG,SPY,149.0,68.5,145.0,77.5,,,,,,3.9,,,,82.3,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
DGRO,XLI,149.0,68.5,132.0,78.3,,,,,,2.6,,,,82.4,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
ATEX,XLK,1.0,95.1,13.0,88.3,,,,,,,,,,81.4,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",
EACO,--,2.0,94.1,2.0,92.9,,,,,,,,,,89.4,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
EXCE,--,9.0,89.9,5.0,91.6,,,,,,,,,,89.4,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
VLO,XLE,10.0,89.4,8.0,90.5,,,,,,,4.0,,,89.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
MPC,XLE,11.0,88.8,6.0,91.3,,,,,,,1.0,,,87.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
