ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,potential_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
ITB,95.79,92.4,3.67,OPTIMAL,95,1.48,0.9,95.34,0.47,,,,0.753,108.7,0.0,650.0,clean,72.2,WARNING,-17.1,2.0,Sustained Uptrend,2.35,9.46,4.85,XLI,bond,Bond,4.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -0.65, 'median_ttg': 2.0, 'prob_good': 56.7, 'prob_bad': 29.9}",54.9
ACMR,96.19,78.57,22.43,CAUTION,40,1.58,0.49,87.66,9.73,,,,0.436,288.5,67.5,173.0,clean,57.2,WARNING,-33.1,3.0,Parabolic,20.3,52.08,106.42,QQQ,equity,Equity,16.0,False,False,"{'grade': 'ROUGH', 'median_mae': -8.15, 'median_ttg': 1.0, 'prob_good': 23.4, 'prob_bad': 64.9}",54.8
WY,24.33,23.81,2.2,OPTIMAL,95,1.48,0.9,24.48,-0.61,,,,0.647,80.6,0.0,650.0,clean,72.0,WARNING,-14.3,2.0,Sustained Uptrend,0.7,6.38,3.84,XLB,sector,Sector,14.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -1.66, 'median_ttg': 1.0, 'prob_good': 52.0, 'prob_bad': 24.6}",54.8
WRB,68.09,66.77,1.98,OPTIMAL,95,1.48,0.9,67.73,0.53,,,,0.073,26.1,0.0,650.0,clean,71.5,WARNING,-7.3,1.0,Basing,-0.09,-0.97,1.23,XLF,index,Index,10.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -2.43, 'median_ttg': 1.0, 'prob_good': 44.0, 'prob_bad': 33.8}",54.7
CELH,30.38,29.9,1.6,OPTIMAL,95,1.48,0.9,28.71,5.8,,,,0.088,-62.4,0.0,650.0,clean,71.1,WARNING,-22.9,2.0,Sustained Uptrend,7.08,3.58,-26.8,,bond,Bond,20.0,False,False,"{'grade': 'OK', 'median_mae': -2.92, 'median_ttg': 2.0, 'prob_good': 38.1, 'prob_bad': 37.4}",54.6
COF,200.87,185.97,8.01,OPTIMAL,90,1.5,1.11,186.81,7.53,,,,0.076,37.0,0.0,650.0,overextended,77.0,WARNING,-29.7,1.0,Basing,13.08,7.32,11.51,XLF,equity,Equity,19.0,False,False,"{'grade': 'OK', 'median_mae': -3.05, 'median_ttg': 1.0, 'prob_good': 38.5, 'prob_bad': 36.4}",54.6
STX,1066.07,860.38,23.91,CAUTION,40,1.58,0.49,922.76,15.53,EXIT WATCH,1.59,0.49,0.567,290.3,81.5,45.0,clean,40.2,CAUTION,-16.3,3.0,Parabolic,30.65,43.9,162.08,XLK,equity,Equity,16.0,False,False,"{'grade': 'ROUGH', 'median_mae': -8.15, 'median_ttg': 1.0, 'prob_good': 23.4, 'prob_bad': 64.9}",54.6
HOMZ,44.37,43.71,1.52,OPTIMAL,95,1.48,0.9,44.5,-0.3,,,,0.63,60.1,0.0,650.0,clean,70.9,WARNING,-11.9,2.0,Sustained Uptrend,0.0,4.65,3.96,VGK,sector,Sector,14.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -1.66, 'median_ttg': 1.0, 'prob_good': 52.0, 'prob_bad': 24.6}",54.5
BNDX,48.31,47.99,0.68,OPTIMAL,95,1.48,0.9,48.13,0.38,,,,0.415,10.8,0.0,650.0,clean,70.4,WARNING,-2.1,1.0,Basing,0.86,1.28,0.42,VGK,bond,Bond,4.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -0.65, 'median_ttg': 2.0, 'prob_good': 56.7, 'prob_bad': 29.9}",54.4
EWQ,45.35,44.62,1.63,OPTIMAL,95,1.48,0.9,45.12,0.5,,,,0.468,38.6,0.0,650.0,stalling,70.4,WARNING,-8.7,2.0,Sustained Uptrend,0.2,1.16,5.2,VGK,index,Index,1.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -2.43, 'median_ttg': 1.0, 'prob_good': 44.0, 'prob_bad': 33.8}",54.4
UPS,105.13,103.41,1.66,OPTIMAL,95,1.48,0.9,107.83,-2.51,,,,0.502,113.7,0.0,650.0,clean,70.6,WARNING,-17.8,2.0,Sustained Uptrend,1.81,10.05,8.56,XLI,equity,Equity,2.0,False,False,"{'grade': 'OK', 'median_mae': -2.65, 'median_ttg': 2.0, 'prob_good': 40.1, 'prob_bad': 36.0}",54.4
IEF,94.02,93.93,0.1,OPTIMAL,95,1.48,0.9,94.01,0.01,,,,0.303,9.8,0.0,650.0,clean,70.3,WARNING,-2.0,1.0,Basing,0.35,0.59,-1.81,LQD,bond,Bond,4.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -0.65, 'median_ttg': 2.0, 'prob_good': 56.7, 'prob_bad': 29.9}",54.3
