year,period,date,date_start,label,composite,momentum,spreads
2026,24,2026-03-02,2026-02-17,Mar 02,1.0,1.0,1.0
2022,24,2022-12-30,2022-12-19,Dec 30,0.6124,0.6094,0.6154
2025,3,2025-03-12,2025-02-27,Mar 12,0.6063,0.5203,0.6923
2002,3,2002-03-12,2002-02-27,Mar 12,0.6061,0.5455,0.6667
2025,4,2025-03-26,2025-03-13,Mar 26,0.5963,0.5388,0.6538
2026,0,2025-03-31,2025-03-18,Mar 31,0.5822,0.5106,0.6538
2026,1,2025-04-14,2025-04-01,Apr 14,0.5777,0.54,0.6154
2015,19,2015-10-22,2015-10-09,Oct 22,0.5747,0.4956,0.6538
2004,14,2004-08-13,2004-08-02,Aug 13,0.573,0.5032,0.6429
2000,9,2000-06-02,2000-05-22,Jun 02,0.5721,0.5443,0.6
