year,period,date,date_start,label,composite,momentum,spreads
2026,24,2026-02-27,2026-02-16,Feb 27,1.0,1.0,1.0
2000,10,2000-06-16,2000-06-05,Jun 16,0.6565,0.513,0.8
2026,23,2026-02-13,2026-02-02,Feb 13,0.6408,0.7047,0.5769
2026,0,2025-03-28,2025-03-17,Mar 28,0.6375,0.5442,0.7308
2025,3,2025-03-12,2025-02-27,Mar 12,0.6355,0.5403,0.7308
2022,24,2022-12-30,2022-12-19,Dec 30,0.6317,0.6096,0.6538
2025,4,2025-03-26,2025-03-13,Mar 26,0.6256,0.5589,0.6923
2002,4,2002-03-26,2002-03-13,Mar 26,0.6243,0.582,0.6667
2001,16,2001-09-10,2001-08-28,Sep 10,0.6142,0.4784,0.75
2015,19,2015-10-22,2015-10-09,Oct 22,0.6141,0.4975,0.7308
