ticker,composite_score,sustainability_score,extension_score,is_safe,pct_above_sma9,longest_run_days,positive_months,sma21_crosses,gain_last_1wk,gain_last_1mo,gain_last_3mo,gain_last_12mo,recency_ratio,extension_from_sma29_pct,regime,days_in_regime,current_price,dist_from_sma9_pct,dist_from_sma21_pct,dist_from_sma29_pct
WDC,1.0744,1.0,1.0,False,0.7658730158730159,57,11,6,0.06495412844036696,-0.04588295462847958,0.4354492992580381,5.079608938547486,-0.09665615087727084,-0.04246701069766143,TRENDING,3,261.18,0.259325923208814,-4.424862033453505,-4.246701069766143
SMTOY,1.0327,1.0,1.0,True,0.7103174603174603,34,10,12,0.06090698444223763,0.11207494795281048,0.4330427006483344,2.561111111111111,0.550641183490235,0.08183765160509339,PULLBACK,1,64.1,-0.5259074058108673,1.706825033433821,8.183765160509338
CIEN,1.0298,1.0,1.0,False,0.7063492063492064,22,11,8,0.14501818676275602,0.13315391084945327,0.5182781158440388,4.072740963855421,0.40590147278192634,0.08401499942847687,TRENDING,3,336.83,2.5357686453576815,3.2917592118002132,8.401499942847687
FIX,1.0238,1.0,1.0,False,0.6984126984126984,21,10,11,0.0740387472049786,0.026227916184215383,0.3450301558706039,3.089545129792808,0.09984461895728183,0.030131290604091945,DIP,1,1373.76,-0.4855056599399856,-0.842576329908818,3.0131290604091943
LUNMF,1.0238,1.0,1.0,True,0.6984126984126984,28,10,10,0.02700587084148709,-0.010184835910977075,0.3435739887352789,2.0476190476190474,-0.05450643377325317,-0.03365250298427863,BREAKDOWN,8,26.24,-3.996097402333429,-6.183601198583501,-3.3652502984278634
COHR,1.0149,1.0,1.0,True,0.6865079365079365,36,9,10,0.023544883760393764,0.07859090705887617,0.22192960243099535,2.583927510398099,0.3454814009614364,0.0003173872453218035,DIP,6,241.27,-7.591252058677071,-2.7894920626393227,0.03173872453218035
HBM,1.0149,1.0,1.0,True,0.6865079365079365,33,9,7,-0.019739793629430125,-0.1732879303821414,0.19726027397260282,2.005502063273728,-0.7324553662404715,-0.1278165476042999,BREAKDOWN,8,21.85,-7.10911667453945,-12.996075010902736,-12.781654760430003
LITE,1.0119,1.0,1.0,False,0.6825396825396826,29,10,7,0.10323400902514135,0.07312187559875283,0.6833060109289619,8.62339893783193,0.10213956665101077,0.0173558420231174,DIP,7,616.09,-7.099079838888027,-5.225393774329339,1.73558420231174
LASR,1.0105,1.0,0.9861,False,0.6825396825396826,40,11,9,0.07042974079126885,0.14460247994164832,0.6605820105820108,6.044893378226711,0.3150135042838525,0.11414214366155806,PULLBACK,1,62.77,-1.4135385581906574,6.167897615154776,11.414214366155806
FET,1.0089,1.0,1.0,True,0.6785714285714286,51,10,15,-0.03760713661011017,0.11897498474679691,0.5733485845010009,2.1332574031890665,0.7302205179810142,0.028159393767559514,DIP,7,55.02,-4.866381049355433,-1.921803643277917,2.8159393767559515
STX,1.0089,1.0,1.0,False,0.6785714285714286,26,10,11,0.06003401360544225,-0.08169429097605885,0.25110397430750697,3.312002767208578,-0.24429140901600654,-0.07128917539324178,TRENDING,3,373.98,0.4464525524790661,-5.585696922775441,-7.128917539324179
OCANF,1.006,1.0,1.0,False,0.6746031746031746,31,10,10,-0.03788868565455983,-0.05078628512503225,0.36420896628380883,3.383333333333333,-0.15634879541390617,-0.027912312006117844,BREAKDOWN,8,36.82,-3.947826086956527,-5.857572473914249,-2.7912312006117843
AU,1.003,1.0,1.0,True,0.6706349206349206,19,9,12,-0.01727050872911584,-0.06742673911107144,0.27171140532005356,2.308056872037915,-0.29182224624751557,-0.049352991455667516,BREAKDOWN,8,104.7,-5.664344065353191,-7.859998491363063,-4.935299145566739
GLW,1.0003,1.0,1.0,True,0.7142857142857143,35,9,8,0.05255900721875251,-0.02355154251316771,0.3776008492569003,1.8583700440528639,-0.13412138038036758,-0.023391903920362573,BREAKDOWN,8,129.77,-5.438426038377462,-6.7661327293752125,-2.339190392036257
ERAS,0.9954,1.0,0.9839,False,0.6626984126984127,45,10,12,-0.0530058177117001,0.2673010380622838,3.493865030674847,8.57516339869281,0.4248724035575339,0.11638112255623292,PULLBACK,1,14.65,-3.2293577981651373,6.2767721431532335,11.638112255623293
SII,0.9936,0.8987,0.9929,True,0.7063492063492064,42,8,5,-0.021172943601274197,0.2871222076215505,0.6893392260429019,2.659971975712284,1.6126875709085204,0.10717061109148723,PULLBACK,1,156.72,-3.3653055631679916,4.783706425289804,10.717061109148723
CLS,0.9922,1.0,1.0,True,0.6706349206349206,31,6,12,0.061598268675857604,-0.10413284632034636,-0.24026272012849204,1.957021656619781,-0.4702503994299957,-0.06247818456529013,TRENDING,3,264.89,0.26285243254153495,-4.663080121410107,-6.247818456529013
SNDK,0.9911,1.0,1.0,False,0.6547619047619048,26,9,6,0.17349667191322315,0.03250241932792752,1.657476595379198,11.268437747819192,0.03630337277363612,0.012628957164468836,TRENDING,3,618.82,3.9385332024470405,0.7285351861799393,1.2628957164468835
TTMI,0.9911,1.0,1.0,False,0.6547619047619048,38,8,13,0.029916960527812675,-0.014798694232861842,0.16525096525096528,3.113584734211722,-0.048299524551646995,-0.08810985774616567,BREAKDOWN,8,90.54,-8.263346317519641,-9.100731462446817,-8.810985774616567
TERN,0.991,1.0,0.999,False,0.6547619047619048,24,10,7,0.03316207379729108,0.14492753623188404,-0.00829410446088319,11.087431693989071,0.16702972606378144,0.10097915540337599,TRENDING,24,44.24,1.703747222151265,6.784979482994462,10.097915540337599
NBTX,0.99,1.0,0.9591,False,0.6587301587301587,28,9,15,-0.07266843189173289,0.30679933665008274,0.39840283939662835,8.551515151515153,0.4740482663090283,0.14264284910684152,PULLBACK,2,31.52,-8.342487883683352,6.323990040960551,14.264284910684152
TYRA,0.9894,1.0,0.983,True,0.6547619047619048,21,11,11,0.027397260273972712,0.19999999999999996,0.6150740242261103,2.3271719038817005,1.0934212823033318,0.11729452054794519,TRENDING,3,36.0,4.042901640923547,9.853383513273952,11.72945205479452
SLGL,0.9881,1.0,1.0,False,0.6507936507936508,44,9,6,0.044825474586650316,0.2906202723146749,1.0167848699763593,13.124172185430464,0.3238407580216657,0.08415134358183322,PULLBACK,1,85.31,-3.04335198070439,1.7654777525945413,8.415134358183323
FIVE,0.9866,1.0,1.0,True,0.6666666666666666,42,11,14,0.008128948346339593,0.05293033184552676,0.2250508015353354,1.9463752375780614,0.30390122263306163,0.021823377087239915,DIP,7,217.03,-1.29616154265963,-0.21696580653918981,2.182337708723978
