ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
LITE,897.3,0.35,8.52,33.53,157.65,450.19,1693.88,24.02,3.94,4.7,2.86,10.74,5,True,True,True,True,True,4.91,33.06,1657.03,4.06,32.97,1647.01,6.67,41.72,1634.83,0.0084,XLI,0.43,0.52,clean,1.054,normal,none,91.74571805006588,99.84189723320158,90.27667984189723,94.0,1
AXTI,64.18,1.68,21.46,35.52,148.47,1108.66,4762.12,12.78,1.65,4.18,7.47,32.07,4,True,True,True,True,True,17.86,35.05,4725.27,17.0,34.96,4715.25,19.62,43.71,4703.07,-0.0007,XLK,0.38,1.65,clean,1.684,confirmed,none,97.91831357048748,92.64822134387352,90.11857707509881,93.6,2
CENX,66.96,0.98,7.02,15.31,54.86,111.9,388.76,7.16,2.18,3.58,2.04,7.09,4,True,True,True,True,True,3.41,14.85,351.9,2.56,14.75,341.89,5.17,23.5,329.71,0.7358,IAU,0.42,-0.13,clean,0.78,normal,none,90.87615283267456,92.64822134387352,94.78260869565217,92.8,3
FTI,73.79,0.38,3.9,14.62,49.25,94.59,218.33,10.24,3.75,3.37,1.92,4.43,5,True,True,True,True,True,0.3,14.15,181.48,-0.56,14.06,171.46,2.06,22.81,159.29,0.4013,XLI,0.48,-0.43,clean,0.829,normal,none,82.63504611330698,99.84189723320158,93.43873517786562,92.0,4
AAOI,150.6,12.98,44.93,18.57,356.23,367.41,1307.48,3.46,0.41,19.18,1.03,3.67,4,True,True,True,True,True,41.33,18.11,1270.62,40.47,18.02,1260.61,43.09,26.76,1248.43,-0.3815,XLK,0.31,1.0,clean,1.729,confirmed,none,99.01844532279314,92.64822134387352,84.42687747035573,92.0,4
PLAB,44.9,0.94,9.91,30.56,41.28,90.66,165.37,10.5,3.08,1.35,2.2,4.01,4,True,True,True,True,True,6.31,30.1,128.51,5.45,30.01,118.5,8.07,38.75,106.32,0.0315,XLK,0.69,1.54,clean,0.815,normal,none,90.52700922266139,92.64822134387352,90.51383399209486,91.2,6
FPLSF,25.69,3.34,13.72,20.72,80.79,96.86,552.03,4.11,1.51,3.9,1.2,6.83,4,True,True,True,True,True,10.12,20.26,515.17,9.26,20.17,505.16,11.88,28.91,492.98,-0.4062,XLI,0.59,1.23,clean,0.522,thin,none,96.86429512516469,92.64822134387352,83.71541501976284,91.1,7
FORM,123.8,2.25,20.01,34.83,91.88,224.17,434.08,8.87,1.74,2.64,2.44,4.72,4,True,True,True,True,True,16.4,34.37,397.23,15.55,34.27,387.21,18.17,43.02,375.03,-0.4923,XLI,0.58,1.64,clean,0.873,normal,none,97.62187088274044,92.64822134387352,81.10671936758894,90.5,8
MEOH,59.87,3.33,0.02,11.95,32.43,52.54,131.43,0.01,715.23,2.71,1.62,4.05,4,True,True,True,True,True,-3.59,11.49,94.57,-4.44,11.39,84.56,-1.83,20.14,72.38,4.521,XLE,0.46,-1.48,clean,1.939,confirmed,none,78.01054018445322,92.64822134387352,99.36758893280633,90.0,9
SRZN,28.2,2.73,1.18,4.6,47.95,100.85,201.6,0.43,3.88,10.43,2.1,4.2,4,True,True,True,True,True,-2.42,4.14,164.75,-3.28,4.04,154.73,-0.66,12.79,142.56,0.8268,XLB,0.38,1.22,clean,0.97,normal,none,79.67720685111989,92.64822134387352,95.0197628458498,89.1,10
AEIS,379.64,1.24,14.24,20.58,79.93,117.04,373.54,11.46,1.45,3.88,1.46,4.67,4,True,True,True,True,True,10.64,20.12,336.69,9.78,20.03,326.67,12.4,28.77,314.5,-0.6835,XLI,0.69,1.49,clean,0.663,thin,none,94.82213438735177,92.64822134387352,74.9407114624506,87.5,11
MTZ,361.22,1.08,7.43,18.93,64.92,65.0,238.16,6.89,2.55,3.43,1.0,3.67,4,True,True,True,True,True,3.82,18.47,201.3,2.97,18.37,191.29,5.58,27.12,179.11,-0.5422,XLI,0.67,1.25,clean,0.732,thin,none,90.43478260869564,92.64822134387352,78.73517786561266,87.3,12
REX,44.21,-0.16,-2.64,11.47,35.2,42.43,152.63,16.72,-4.34,3.07,1.21,4.34,4,True,True,True,True,True,-6.25,11.01,115.77,-7.1,10.92,105.76,-4.48,19.66,93.58,2.5125,XLE,0.43,-1.18,clean,1.071,normal,buy_today,67.63504611330698,92.64822134387352,98.65612648221344,86.3,13
SYRE,51.29,-0.93,7.8,23.59,70.17,190.1,334.66,-8.41,3.03,2.97,2.71,4.77,4,True,True,True,True,True,4.19,23.13,297.81,3.34,23.03,287.79,5.96,31.78,275.61,-0.4414,VXUS,0.51,-0.43,clean,1.007,normal,buy_today,83.10935441370223,92.64822134387352,82.92490118577075,86.2,14
