ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
TNGX,18.88,1.07,10.09,52.14,110.71,147.77,966.67,9.42,5.17,2.12,1.33,8.73,5,True,True,True,True,True,11.41,56.37,949.51,11.29,54.73,942.32,19.27,59.57,914.98,1.1478,,,0.14,clean,0.902,normal,none,97.31534478059417,99.83646770237122,97.05641864268193,98.1,1
TYRA,37.89,-0.42,5.25,28.88,64.95,211.85,248.25,-12.49,5.5,2.25,3.26,3.82,4,True,True,True,True,True,6.57,33.11,231.1,6.46,31.47,223.91,14.43,36.31,196.57,1.4532,,,-0.03,clean,1.188,normal,buy_today,91.29190515126737,98.11937857726902,97.79231398201145,95.7,2
PRE,20.99,2.59,1.01,4.64,26.6,95.8,382.53,0.39,4.59,5.74,3.6,14.38,4,True,True,True,True,True,2.33,8.87,365.37,2.22,7.23,358.19,10.19,12.07,330.84,1.193,,,-0.52,clean,0.68,thin,none,90.35159443990187,98.11937857726902,97.13818479149631,95.2,3
CIEN,404.0,4.86,19.94,29.92,92.53,196.23,528.01,4.1,1.5,3.09,2.12,5.71,4,True,True,True,True,True,21.26,34.15,510.86,21.15,32.52,503.67,29.12,37.36,476.33,-0.2819,XLK,0.53,1.11,clean,0.95,normal,none,98.74625238484602,98.11937857726902,85.60915780866722,94.2,4
ASTS,91.9,1.28,5.52,8.85,34.42,123.11,250.1,4.32,1.6,3.89,3.58,7.27,4,True,False,True,True,False,6.84,13.08,232.94,6.73,11.44,225.75,14.7,16.28,198.41,0.0242,XLI,0.43,0.13,clean,0.59,thin,none,93.63586808394659,98.11937857726902,90.59689288634505,94.1,5
LINC,37.84,-2.06,1.51,26.82,63.05,78.25,152.79,-0.73,17.75,2.35,1.24,2.42,4,True,True,True,True,True,2.83,31.05,135.64,2.72,29.42,128.45,10.69,34.26,101.11,1.869,,,-0.27,clean,1.575,confirmed,none,79.56527664213682,98.11937857726902,98.36467702371219,92.0,6
GPRE,16.37,1.49,1.11,22.44,72.13,70.34,214.2,0.75,20.18,3.21,0.98,2.97,3,True,True,True,True,True,2.43,26.67,197.05,2.32,25.03,189.86,10.29,29.88,162.52,1.1185,XLE,0.4,0.71,clean,0.895,normal,none,92.41618969746526,85.6909239574816,96.89288634505316,91.7,7
TERN,48.53,1.57,9.7,23.33,13.07,555.81,1435.76,6.18,2.41,0.56,42.52,109.84,3,True,True,True,True,True,11.02,27.56,1418.61,10.9,25.93,1411.42,18.88,30.77,1384.07,0.4519,,,0.98,clean,1.239,normal,none,94.23548650858544,85.6909239574816,95.09403107113656,91.7,7
PBR,19.9,0.66,4.9,30.15,68.79,54.02,43.37,7.46,6.15,2.28,0.79,0.63,3,True,True,True,True,True,6.22,34.38,26.22,6.11,32.75,19.03,14.08,37.59,-8.31,1.3131,XLE,0.49,0.4,clean,1.122,normal,none,89.26137912237665,85.6909239574816,97.46524938675388,90.8,9
MNMD,18.22,3.29,1.33,4.83,48.61,90.39,182.48,0.41,3.62,10.06,1.86,3.75,4,True,True,True,True,True,2.66,9.06,165.33,2.54,7.43,158.14,10.51,12.27,130.8,-0.6864,,,-0.46,clean,0.699,thin,none,91.54401744344507,98.11937857726902,79.55846279640228,89.7,10
XOP,175.85,1.44,5.48,18.78,40.73,31.89,34.98,3.82,3.42,2.17,0.78,0.86,3,True,True,True,True,True,6.8,23.01,17.82,6.69,21.37,10.63,14.66,26.21,-16.71,0.2853,XLE,0.83,1.46,clean,1.043,normal,none,86.74025620059962,85.6909239574816,94.11283728536387,88.8,11
TTE,89.82,3.36,10.33,16.12,40.67,46.79,41.83,3.07,1.56,2.52,1.15,1.03,3,True,True,True,True,True,11.65,20.35,24.67,11.54,18.72,17.48,19.51,23.56,-9.86,-0.0101,XLE,0.64,2.73,overextended,1.31,normal,none,90.03815753611337,85.6909239574816,90.1880621422731,88.6,12
PWR,572.01,0.0,0.9,10.15,30.45,52.13,117.2,514.58,11.28,3.0,1.71,3.85,5,True,True,True,True,True,2.22,14.38,100.04,2.11,12.74,92.85,10.08,17.59,65.51,-0.7055,XLI,0.56,-0.43,clean,1.011,normal,none,85.71817934041974,99.83646770237122,79.23139820114473,88.3,13
NYT,81.3,1.12,4.15,7.68,20.8,39.02,66.84,3.71,1.85,2.71,1.88,3.21,4,True,True,True,True,True,5.47,11.91,49.68,5.36,10.28,42.49,13.33,15.12,15.15,-0.8158,XLC,0.34,0.41,clean,0.74,thin,none,86.6721177432543,98.11937857726902,76.778413736713,87.2,14
FANG,191.37,0.89,8.11,9.98,28.39,36.24,23.46,9.1,1.23,2.85,1.28,0.83,3,True,True,True,True,True,9.43,14.21,6.31,9.32,12.57,-0.88,17.29,17.41,-28.22,0.0636,XLE,0.67,1.29,clean,1.113,normal,none,83.86481330062688,85.6909239574816,91.74161896974653,87.1,15
LBRT,32.28,2.02,6.53,19.03,79.63,196.69,120.79,3.23,2.91,4.19,2.47,1.52,3,True,True,True,True,True,7.86,23.26,103.64,7.74,21.62,96.45,15.71,26.46,69.11,-0.7847,XLI,0.39,0.9,clean,0.827,normal,none,95.42790951212866,85.6909239574816,77.35077677841373,86.2,16
