ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,potential_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
COKE,192.28,179.81,6.93,OPTIMAL,90,1.5,1.11,183.58,4.74,,,,0.333,79.2,86.3,28.0,clean,47.7,CAUTION,-12.1,0,Deep Decline,7.48,10.09,6.06,XLP,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -3.78, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 44.2}",76.0
BAND,60.89,59.7,1.99,OPTIMAL,95,1.48,0.9,53.28,14.29,ELEVATED,1.51,0.6,0.581,-403.1,81.5,60.0,clean,43.6,CAUTION,-19.9,3,Parabolic,19.82,5.6,261.15,,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",74.9
BMY,58.56,56.57,3.51,OPTIMAL,95,1.48,0.9,55.81,4.92,,,,0.013,9.7,78.5,98.0,overextended,46.6,CAUTION,-5.9,1,Basing,7.06,2.9,0.03,XLV,equity,Equity,7.0,True,False,"{'grade': 'OK', 'median_mae': -3.23, 'median_ttg': 1.0, 'prob_good': 37.2, 'prob_bad': 40.0}",74.7
GNK,24.39,23.91,2.01,OPTIMAL,95,1.48,0.9,23.83,2.36,,,,0.046,-14.6,84.0,40.0,clean,40.0,CAUTION,-10.5,2,Sustained Uptrend,3.48,1.25,9.18,XLF,index,Index,10.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -2.43, 'median_ttg': 1.0, 'prob_good': 44.0, 'prob_bad': 33.8}",74.7
RCKY,41.49,38.57,7.57,OPTIMAL,90,1.5,1.11,40.7,1.94,,,,0.706,124.8,82.3,56.0,clean,42.2,CAUTION,-7.5,0,Deep Decline,1.57,7.4,9.44,LQD,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -3.78, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 44.2}",73.0
YOU,56.03,55.18,1.54,OPTIMAL,95,1.48,0.9,52.87,5.98,,,,0.15,-60.0,78.1,104.0,clean,40.0,CAUTION,-10.7,3,Parabolic,7.83,-1.22,18.11,,equity,Equity,27.0,False,False,"{'grade': 'OK', 'median_mae': -5.17, 'median_ttg': 1.0, 'prob_good': 32.4, 'prob_bad': 53.1}",72.6
PCG,17.24,16.64,3.61,OPTIMAL,95,1.48,0.9,16.85,2.34,,,,0.345,44.3,66.8,224.0,clean,50.8,WARNING,-8.9,0,Deep Decline,3.67,5.83,0.41,XLU,index,Index,10.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -2.43, 'median_ttg': 1.0, 'prob_good': 44.0, 'prob_bad': 33.8}",71.9
OOMA,19.44,17.93,8.42,OPTIMAL,90,1.5,1.11,17.83,9.04,,,,0.235,68.4,82.1,57.0,clean,37.5,CAUTION,-11.5,3,Parabolic,12.37,9.4,38.86,,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -3.78, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 44.2}",71.5
DDOG,248.57,231.3,7.47,OPTIMAL,90,1.5,1.11,228.77,8.65,,,,0.361,-153.1,79.7,79.0,clean,40.0,CAUTION,-10.8,3,Parabolic,12.29,10.36,117.13,,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -6.55, 'median_ttg': 2.0, 'prob_good': 24.7, 'prob_bad': 57.5}",71.4
TPC,81.88,75.51,8.44,OPTIMAL,90,1.5,1.11,79.65,2.81,,,,0.715,191.5,66.4,234.0,clean,53.6,WARNING,-18.1,1,Basing,0.47,11.75,7.52,XLI,index,Index,1.0,False,False,"{'grade': 'OK', 'median_mae': -3.47, 'median_ttg': 2.0, 'prob_good': 36.8, 'prob_bad': 43.5}",70.8
