ticker,price,ret_1m,ret_3m,ret_6m,ret_1y,ret_5y,ret_10y,ratio_3m_1m,ratio_6m_3m,ratio_1y_6m,ratio_5y_1y,ratio_10y_5y,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1y,vs_spy_5y,vs_spy_10y,vs_qqq_1y,vs_qqq_5y,vs_qqq_10y,vs_iau_1y,vs_iau_5y,vs_iau_10y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,strong_flag,score_returns,score_ratios,score_spy_days,history_depth,score_depth,score,rank
CLMT,37.41,3.86,23.51,91.65,183.41,539.49,956.78,6.09,3.9,2.0,2.94,1.77,5,True,True,True,True,True,156.4,458.92,695.02,142.96,417.0,378.81,150.12,406.41,699.96,1.6131,,,-0.41,clean,0.806,normal,none,strong_buy,77.65356302880357,99.32649134060296,97.69082745349583,6,100.0,92.7,1
EACO,109.99,15.17,35.32,48.64,165.04,469.01,1955.89,2.33,1.38,3.39,2.84,4.17,4,True,True,True,True,True,138.03,388.45,1694.13,124.58,346.53,1377.92,131.74,335.94,1699.07,1.0181,,,0.4,clean,,normal,none,strong_buy,84.21149088243381,91.88582424631174,95.25336754329699,6,100.0,92.7,1
EXCE,24.5,6.52,27.27,44.12,143.78,842.31,55581.82,4.18,1.62,3.26,5.86,65.99,5,True,True,True,True,True,116.77,761.74,55320.06,103.33,719.82,55003.85,110.49,709.23,55325.0,0.2183,,,-0.2,clean,,normal,none,strong_buy,79.0525061852836,99.32649134060296,90.76330981398331,6,100.0,91.7,3
MPC,267.05,2.51,22.86,38.58,64.88,334.93,648.46,9.11,1.69,1.68,5.16,1.94,5,True,True,True,True,True,37.87,254.37,386.7,24.42,212.45,70.49,31.59,201.86,391.64,1.2748,XLE,0.73,-0.24,clean,0.978,normal,none,strong_buy,69.01096551513486,99.32649134060296,96.60038486209108,6,100.0,89.9,4
PBT,29.14,25.33,41.05,67.38,162.76,595.47,329.16,1.62,1.64,2.42,3.66,0.55,3,True,True,True,True,True,135.75,514.9,67.4,122.31,472.98,-248.81,129.47,462.39,72.34,1.123,XLE,0.54,1.56,clean,1.837,confirmed,none,strong_buy,87.34842237087267,71.87299550994227,95.95894804361771,6,100.0,89.8,5
VLO,258.85,2.13,13.52,44.99,97.67,220.4,373.91,6.34,3.33,2.17,2.26,1.7,5,True,True,True,True,True,70.66,139.83,112.15,57.22,97.91,-204.06,64.38,87.32,117.09,1.2986,XLE,0.73,-0.48,clean,0.867,normal,none,strong_buy,67.01945691682702,99.32649134060296,96.66452854393842,6,100.0,89.3,6
AXSM,231.48,3.77,43.37,62.91,110.23,282.61,2474.86,11.49,1.45,1.75,2.56,8.76,4,True,True,True,True,True,83.22,202.05,2213.1,69.77,160.13,1896.9,76.93,149.54,2218.04,0.0029,,,-0.28,clean,0.941,normal,none,strong_buy,77.18317602858976,91.88582424631174,88.26170622193715,6,100.0,89.2,7
WDC,575.5,23.69,122.18,259.71,970.3,904.01,1625.12,5.16,2.13,3.74,0.93,1.8,4,True,True,True,True,True,943.29,823.45,1363.36,929.85,781.53,1047.15,937.01,770.94,1368.3,-0.8457,XLK,0.58,0.1,clean,0.786,normal,none,strong_buy,94.45920767280614,91.88582424631174,61.70622193713919,6,100.0,89.1,8
CENX,66.43,6.66,23.25,123.82,242.07,384.89,875.48,3.49,5.33,1.96,1.59,2.27,4,True,True,True,True,True,215.06,304.33,613.72,201.62,262.4,297.51,208.78,251.82,618.66,-0.3907,IAU,0.35,-0.39,clean,0.896,normal,none,strong_buy,81.89315495280857,91.88582424631174,79.6023091725465,6,100.0,88.9,9
STX,925.99,20.1,152.08,246.98,651.43,860.27,4210.94,7.57,1.62,2.64,1.32,4.89,4,True,True,True,True,True,624.42,779.71,3949.18,610.98,737.79,3632.97,618.14,727.2,3954.12,-0.9027,XLK,0.54,-0.01,clean,0.88,normal,none,strong_buy,94.01936528299582,91.88582424631174,58.691468890314304,6,100.0,88.3,10
