ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,slope_stage,slope_tq_score,spread_support,source_count,sources,sector
PHYS,IAU,134.0,68.1,12.0,88.1,,,,,,3.4,6.0,,,none,4,"['ranker', 'ranker_long', 'secrot', 'stock_secrot']",Financial Services
VIV,VXUS,20.0,83.7,112.0,79.0,,,,,,,5.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Communication Services
RBC,XLI,31.0,81.4,26.0,86.8,,,,,,,5.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
LHX,XLI,33.0,80.9,86.0,80.9,,,,,,,8.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
SII,IAU,35.0,80.5,6.0,89.5,,,,,,3.9,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
ITA,XLI,37.0,80.4,100.0,79.6,,,,,,3.7,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
CW,XLI,47.0,78.9,116.0,78.5,,,,,,,5.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
EIS,XLK,50.0,78.1,86.0,80.9,,,,,,3.6,,,,bullish,3,"['ranker', 'ranker_long', 'secrot']",
XLE,XLE,54.0,76.7,133.0,77.7,,,,,,0.4,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
VDE,XLE,57.0,76.5,140.0,77.4,,,,,,0.4,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
PPA,XLI,74.0,74.4,107.0,79.3,,,,,,3.7,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
IGF,VXUS,76.0,74.1,109.0,79.1,,,,,,4.0,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
XLU,XLU,77.0,73.8,100.0,79.6,,,,,,4.0,,,,bearish,3,"['ranker', 'ranker_long', 'secrot']",
NOC,XLI,84.0,73.1,11.0,88.2,,,,,,,7.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
NVS,XLV,84.0,73.1,26.0,86.8,,,,,,,6.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Healthcare
VPU,XLU,86.0,73.0,124.0,78.3,,,,,,3.8,,,,bearish,3,"['ranker', 'ranker_long', 'secrot']",
EWC,VXUS,94.0,71.5,150.0,76.9,,,,,,3.8,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
GNR,XLB,96.0,71.3,143.0,77.1,,,,,,3.9,,,,bearish,3,"['ranker', 'ranker_long', 'secrot']",
CACI,--,109.0,70.4,99.0,79.7,,,,,,,5.0,,,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Technology
SGOL,IAU,141.0,67.5,14.0,87.8,,,,,,3.5,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
IAU,IAU,141.0,67.5,17.0,87.7,,,,,,3.3,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
GLD,IAU,145.0,67.2,17.0,87.7,,,,,,3.3,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
FAN,VGK,147.0,67.1,148.0,77.0,,,,,,3.9,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
NBTX,--,6.0,91.1,80.0,81.4,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
NYT,XLC,7.0,90.7,58.0,82.9,,,,,,,4.0,,,none,2,"['ranker', 'ranker_long']",Communication Services
AAOI,--,8.0,90.5,37.0,85.3,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
INSW,XLV,9.0,89.6,34.0,85.5,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
TIGO,XLRE,10.0,89.0,76.0,81.7,,,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
TERN,--,11.0,88.6,58.0,82.9,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
GLTO,--,12.0,88.4,143.0,77.1,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
ECPG,XLI,13.0,88.0,74.0,81.9,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
APEI,XLY,14.0,87.8,4.0,89.8,,,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
MTZ,XLI,15.0,87.4,50.0,83.4,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Industrials
RTX,XLI,16.0,85.6,136.0,77.6,,,,,,,4.0,,,none,2,"['ranker', 'ranker_long']",Industrials
STNG,--,17.0,84.9,56.0,83.1,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
DNTH,--,18.0,84.8,136.0,77.6,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
EFXT,XLI,19.0,84.6,64.0,82.8,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
WMB,XLE,21.0,83.3,48.0,83.6,,,,,,,2.0,,,none,2,"['ranker', 'ranker_long']",Energy
SLGL,--,22.0,82.6,30.0,86.0,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
GD,XLI,23.0,82.4,124.0,78.3,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Industrials
TEN,--,27.0,82.0,55.0,83.2,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
SBLK,--,30.0,81.6,42.0,84.8,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
MRNA,--,32.0,81.1,,,,,,,,,6.0,,,none,2,"['ranker', 'stock_secrot']",Healthcare
ORANY,--,33.0,80.9,126.0,78.0,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
ISSC,QQQ,35.0,80.5,20.0,87.4,,,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
TRV,--,38.0,80.2,50.0,83.4,,,,,,,1.0,,,none,2,"['ranker', 'ranker_long']",Financial Services
TRMD,--,39.0,80.1,48.0,83.6,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
MISL,XLI,39.0,80.1,,,,,,,,5.0,,,,none,2,"['ranker', 'secrot']",
KYMR,--,44.0,79.2,83.0,81.2,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
IYZ,XLI,44.0,79.2,,,,,,,,3.7,,,,none,2,"['ranker', 'secrot']",
SOYB,TLT,46.0,79.1,,,,,,,,3.1,,,,none,2,"['ranker', 'secrot']",
TJX,--,48.0,78.8,45.0,84.0,,,,,,,1.0,,,bearish,2,"['ranker', 'ranker_long']",Consumer Cyclical
KMI,XLE,49.0,78.3,136.0,77.6,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Energy
NMM,IAU,51.0,78.0,19.0,87.5,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
AROC,XLE,52.0,77.7,25.0,86.9,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
ATI,XLI,58.0,76.4,2.0,92.1,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Industrials
XOM,XLE,58.0,76.4,116.0,78.5,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Energy
ANAB,--,60.0,76.1,58.0,82.9,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
KNX,XLY,60.0,76.1,109.0,79.1,,,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
HCA,--,64.0,75.7,43.0,84.5,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Healthcare
JNJ,XLP,64.0,75.7,67.0,82.6,,,,,,,2.0,,,bearish,2,"['ranker', 'ranker_long']",Healthcare
