ticker,name,sr_score,sr_total,hist_agree,ret_3d,ret_5d,ret_10d,ret_1m,ret_3m,mom_3m,mom_1m,mom_10d,mom_5d,pred_3d_avg,pred_3d_winrate,pred_3d_n,pred_5d_avg,pred_5d_winrate,pred_5d_n,pred_10d_avg,pred_10d_winrate,pred_10d_n
AAXJ,Asia ex-Jpn,4.2,10,bullish,-3.7,-4.55,-3.0,-12.12,2.59,-0.99,-2.0,-1.12,-1.83,,,71.0,,,71.0,,,71.0
ACWI,ACWI,4.0,10,bullish,-1.71,-2.11,-2.86,-8.22,-4.23,-1.61,-2.0,-1.29,-1.12,,,72.0,,,72.0,,,72.0
ACWX,ACWX,4.3,10,bullish,-1.76,-2.38,-2.88,-10.7,-0.54,-2.0,-2.0,-1.18,-1.15,,,72.0,,,72.0,,,72.0
AFK,Africa,3.3,10,bullish,-0.08,-1.03,-5.2,-18.22,-7.04,-2.0,-2.0,-1.49,-0.52,,,71.0,,,71.0,,,71.0
AGF,AGF,0.0,10,bearish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.06,,,54.0,,,54.0,,,54.0
AGG,Agg Bond,2.2,10,bullish,-0.47,-0.93,-0.74,-2.45,-1.24,-1.6,-2.0,-1.01,-1.6,,,92.0,,,92.0,,,92.0
AIA,AIA,4.3,10,bullish,-4.82,-5.69,-2.53,-12.35,9.27,-0.24,-2.0,-0.84,-1.77,,,72.0,,,72.0,,,72.0
AIQ,AIQ,4.7,10,bullish,-4.24,-4.78,-4.37,-8.08,-9.42,-1.5,-1.56,-1.2,-1.56,,,40.0,,,40.0,,,40.0
AIRR,AIRR,4.8,10,bullish,-1.25,-1.91,-0.18,-8.34,7.29,-0.31,-2.0,-0.49,-0.9,,,46.0,,,46.0,,,46.0
ALAI,ALAI,4.6,10,bullish,-3.34,-6.56,-4.11,-8.1,-12.08,-1.22,-1.4,-1.13,-1.96,,,10.0,,,10.0,,,10.0
AMG,AMG,4.2,10,bullish,0.34,-0.88,2.14,-11.65,-5.5,-1.51,-2.0,-0.01,-0.47,,,100.0,,,100.0,,,100.0
APIE,APIE,3.9,10,bullish,-0.8,-1.37,-2.59,-11.09,-2.39,-1.84,-2.0,-0.95,-0.65,,,12.0,,,12.0,,,12.0
APO,APO,6.9,10,bullish,-0.42,-1.24,9.66,-6.16,-25.87,-1.58,-0.47,1.48,-0.16,,,54.0,,,54.0,,,54.0
ARES,ARES,5.4,10,bullish,0.77,-0.04,11.79,-9.43,-36.03,-1.7,-0.58,1.53,0.08,,,46.0,,,46.0,,,46.0
ARGT,ARGT,3.3,10,bullish,0.77,-0.06,1.45,-5.0,-4.46,-0.53,-0.56,0.13,-0.05,,,54.0,,,54.0,,,54.0
ARKF,ARKF,5.0,10,bullish,-6.38,-6.14,-5.53,-3.68,-23.2,-1.11,-0.45,-0.86,-1.26,,,40.0,,,40.0,,,40.0
ARKG,ARKG,6.0,10,bullish,-0.36,-0.62,1.39,-9.25,-11.96,-1.12,-1.14,0.07,-0.18,,,46.0,,,46.0,,,46.0
ARKK,ARKK,5.4,10,bullish,-4.97,-5.17,-4.59,-8.36,-16.29,-1.04,-1.03,-0.83,-1.1,,,46.0,,,46.0,,,46.0
ARKQ,ARKQ,4.8,10,bullish,-2.89,-4.19,-4.06,-8.68,-4.8,-1.09,-1.44,-1.0,-1.13,,,46.0,,,46.0,,,46.0
ARKW,ARKW,5.1,10,bullish,-5.46,-5.56,-5.42,-5.44,-22.1,-1.12,-0.68,-0.91,-1.19,,,46.0,,,46.0,,,46.0
ARKX,ARKX,4.0,10,bullish,-2.58,-4.85,-3.96,-7.24,-0.93,-0.93,-1.22,-0.95,-1.27,,,25.0,,,25.0,,,25.0
ARTY,ARTY,5.0,10,bullish,-4.83,-6.8,-3.23,-10.87,-3.31,-0.81,-1.77,-0.9,-1.87,,,40.0,,,40.0,,,40.0
ASEA,ASEA,3.9,10,bullish,-1.24,-1.03,0.37,-7.12,1.43,-0.83,-2.0,-0.17,-0.64,,,54.0,,,54.0,,,54.0
ASHR,ASHR,2.5,10,bullish,-0.72,-3.45,-4.97,-7.64,-2.41,-1.21,-2.0,-1.88,-1.62,,,46.0,,,46.0,,,46.0
AVDE,AVDE,5.0,10,bullish,-0.76,-1.48,-2.78,-10.32,0.08,-1.93,-2.0,-1.16,-0.8,,,40.0,,,40.0,,,40.0
AVDV,AVDV,4.4,10,bullish,-0.35,-1.35,-3.51,-11.41,2.95,-1.58,-2.0,-1.36,-0.75,,,40.0,,,40.0,,,40.0
AVEM,AVEM,3.5,10,bullish,-3.24,-3.81,-2.45,-12.12,2.59,-1.07,-2.0,-1.03,-1.65,,,40.0,,,40.0,,,40.0
AVES,AVES,3.3,10,bullish,-2.33,-3.41,-2.9,-12.37,0.69,-1.27,-2.0,-1.17,-1.57,,,32.0,,,32.0,,,32.0
AVIV,AVIV,4.6,10,bullish,-0.46,-0.98,-2.39,-9.44,1.84,-1.76,-2.0,-1.06,-0.61,,,32.0,,,32.0,,,32.0
AVNM,AVNM,3.5,10,bullish,-1.27,-1.92,-2.68,-10.8,1.26,-1.69,-2.0,-1.17,-1.01,,,12.0,,,12.0,,,12.0
BAI,BAI,4.4,10,bullish,-4.42,-5.49,-0.9,-8.37,-2.48,-0.59,-1.41,-0.46,-1.47,,,10.0,,,10.0,,,10.0
BAM,BAM,4.6,10,bullish,0.77,0.49,1.26,-11.71,-17.78,-1.35,-1.27,0.26,0.17,,,12.0,,,12.0,,,12.0
BATT,BATT,4.3,10,bullish,-1.42,0.11,-4.91,-14.1,0.18,-1.01,-2.0,-1.23,-0.21,,,40.0,,,40.0,,,40.0
BBCA,BBCA,4.7,10,bullish,-1.2,-0.89,-4.03,-6.85,-1.93,-2.0,-2.0,-2.0,-0.71,,,40.0,,,40.0,,,40.0
BBEU,BBEU,5.4,10,bullish,-1.32,-2.22,-3.7,-11.33,-3.8,-2.0,-2.0,-1.35,-1.03,,,40.0,,,40.0,,,40.0
BBIN,BBIN,5.1,10,bullish,-1.56,-2.28,-3.35,-10.88,-1.91,-2.0,-2.0,-1.23,-1.05,,,40.0,,,40.0,,,40.0
BBJP,BBJP,4.4,10,bullish,-1.01,-1.5,-1.7,-10.5,1.96,-0.86,-2.0,-0.6,-0.61,,,40.0,,,40.0,,,40.0
BEN,BEN,3.2,10,bullish,-1.38,-1.26,-0.84,-13.54,-2.56,-0.68,-1.8,-0.31,-0.43,,,100.0,,,100.0,,,100.0
BIL,BIL,2.0,10,bullish,0.02,0.07,0.13,0.01,0.33,2.0,0.17,0.8,0.47,,,76.0,,,76.0,,,76.0
BINV,BINV,3.6,10,bullish,-0.36,-0.8,-2.1,-9.52,-0.24,-2.0,-2.0,-0.91,-0.5,,,12.0,,,12.0,,,12.0
BITO,BITO,3.1,10,bullish,-3.14,-2.64,-2.94,-1.41,-27.13,-0.68,0.29,-0.09,-0.25,,,25.0,,,25.0,,,25.0
BITQ,BITQ,0.0,10,bearish,-6.43,-5.8,-2.38,-4.05,-7.96,-0.59,-0.51,-0.42,-0.89,,,33.0,,,33.0,,,33.0
