ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
BE,295.25,2.29,30.43,118.7,74.82,123.4,1695.92,13.29,3.9,0.63,1.65,22.67,4,True,True,True,True,True,28.73,108.86,1668.22,26.77,102.88,1656.49,31.32,120.9,1655.38,1.0867,XLK,0.58,0.06,clean,1.117,normal,none,95.26279391424619,96.5076071922545,92.32365145228216,94.7,1
PKX,85.32,3.9,12.23,45.85,38.15,56.21,84.8,3.14,3.75,0.83,1.47,2.22,4,True,True,True,True,True,10.54,36.01,57.09,8.57,30.02,45.36,13.12,48.04,44.25,2.3251,VXUS,0.64,1.21,clean,1.376,normal,none,87.58644536652837,96.5076071922545,98.20193637621023,94.1,2
AIP,30.13,4.44,17.47,65.19,107.51,121.38,348.36,3.94,3.73,1.65,1.13,3.24,4,True,True,True,True,True,15.77,55.35,320.66,13.81,49.36,308.93,18.36,67.38,307.82,0.5411,XLK,0.73,0.1,clean,1.404,normal,none,96.32319041032734,96.5076071922545,85.82295988934993,92.9,3
CVE,30.45,1.57,11.05,13.28,52.63,79.96,152.91,7.05,1.2,3.96,1.52,2.91,4,True,True,True,True,True,9.35,3.44,125.2,7.39,-2.54,113.47,11.94,15.47,112.36,2.2524,XLE,0.8,0.64,clean,0.738,thin,none,84.07676348547717,96.5076071922545,97.9253112033195,92.8,4
GPRE,18.25,1.0,8.5,13.42,48.13,77.53,379.0,8.53,1.58,3.59,1.61,7.87,4,True,True,True,True,True,6.8,3.58,351.3,4.84,-2.4,339.57,9.39,15.62,338.46,2.708,XLE,0.47,0.51,clean,0.811,normal,none,82.35938220378054,96.5076071922545,98.89349930843707,92.6,5
ASX,33.44,3.59,11.17,48.29,72.46,108.87,267.47,3.11,4.32,1.5,1.5,3.69,4,True,True,True,True,True,9.47,38.45,239.77,7.51,32.47,228.04,12.06,50.48,226.93,0.5454,VXUS,0.64,0.74,clean,0.946,normal,none,93.7989857076994,96.5076071922545,86.03042876901799,92.1,6
MXL,81.68,4.56,57.05,342.71,382.17,439.14,664.08,12.52,6.01,1.12,1.15,1.74,3,True,True,True,True,True,55.35,332.87,636.38,53.39,326.89,624.64,57.94,344.9,623.53,5.994,XLK,0.38,0.43,clean,3.142,confirmed,none,98.4612724757953,77.97372060857538,100.0,92.1,6
DOCN,152.77,40.4,61.87,75.46,161.95,275.73,369.2,1.53,1.22,2.15,1.7,2.28,3,True,True,True,True,True,60.17,65.62,341.49,58.21,59.63,329.76,62.76,77.65,328.65,2.3806,XLK,0.37,4.86,overextended,1.273,normal,none,98.89349930843707,77.97372060857538,98.27109266943292,91.7,8
WTTR,17.25,3.85,4.42,13.94,41.16,49.22,94.26,1.15,3.15,2.95,1.2,2.29,4,True,True,True,True,True,2.72,4.1,66.55,0.76,-1.88,54.82,5.31,16.13,53.71,1.4565,XLE,0.36,0.32,clean,0.788,normal,none,81.34508990318119,96.5076071922545,94.46749654218533,90.8,9
EFXT,27.79,1.31,9.32,37.71,42.29,120.73,311.09,7.1,4.04,1.12,2.85,7.36,4,True,True,True,True,True,7.63,27.87,283.39,5.66,21.89,271.66,10.21,39.9,270.55,0.643,XLK,0.39,0.27,clean,0.682,thin,none,87.48271092669432,96.5076071922545,87.06777316735823,90.4,10
