year,period,date,date_start,label,composite,momentum,spreads
2026,24,2026-03-04,2026-02-19,Mar 04,1.0,1.0,1.0
2026,23,2026-02-18,2026-02-05,Feb 18,0.6151,0.6532,0.5769
2026,0,2025-04-02,2025-03-20,Apr 02,0.6108,0.5678,0.6538
2004,18,2004-10-08,2004-09-27,Oct 08,0.5997,0.4852,0.7143
2026,1,2025-04-16,2025-04-03,Apr 16,0.5932,0.4941,0.6923
2004,12,2004-07-16,2004-07-05,Jul 16,0.5893,0.5358,0.6429
2004,19,2004-10-22,2004-10-11,Oct 22,0.5852,0.5275,0.6429
2025,3,2025-03-12,2025-02-27,Mar 12,0.5828,0.5117,0.6538
2025,5,2025-04-09,2025-03-27,Apr 09,0.5819,0.5483,0.6154
2001,16,2001-09-10,2001-08-28,Sep 10,0.579,0.5331,0.625
