year,period,date,date_start,label,composite,momentum,spreads
2026,24,2026-03-05,2026-02-20,Mar 05,1.0,1.0,1.0
2004,3,2004-03-12,2004-03-01,Mar 12,0.595,0.547,0.6429
2026,23,2026-02-19,2026-02-06,Feb 19,0.5835,0.667,0.5
2001,16,2001-09-10,2001-08-28,Sep 10,0.5698,0.5147,0.625
2000,10,2000-06-16,2000-06-05,Jun 16,0.5684,0.5369,0.6
2025,5,2025-04-09,2025-03-27,Apr 09,0.5666,0.5563,0.5769
2011,8,2011-05-20,2011-05-09,May 20,0.5511,0.5188,0.5833
2026,0,2025-04-03,2025-03-21,Apr 03,0.5498,0.5611,0.5385
2024,16,2024-09-10,2024-08-28,Sep 10,0.5451,0.5132,0.5769
2015,0,2015-01-29,2015-01-16,Jan 29,0.5437,0.5104,0.5769
