ticker,price,ret_1m,ret_3m,ret_6m,ret_1y,ret_5y,ret_10y,ratio_3m_1m,ratio_6m_3m,ratio_1y_6m,ratio_5y_1y,ratio_10y_5y,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1y,vs_spy_5y,vs_spy_10y,vs_qqq_1y,vs_qqq_5y,vs_qqq_10y,vs_iau_1y,vs_iau_5y,vs_iau_10y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,strong_flag,score_returns,score_ratios,score_spy_days,history_depth,score_depth,score,rank
AGX,790.0,25.3,66.72,166.39,283.09,1543.44,1738.92,2.64,2.49,1.7,5.45,1.13,4,True,True,True,True,True,258.49,1468.39,1484.57,243.58,1429.23,1161.53,258.95,1421.78,1518.59,0.8732,,,1.04,clean,0.952,normal,none,strong_buy,91.94371470845789,94.10272669625871,95.87824984147116,6,100.0,95.6,1
DXPE,169.05,15.26,31.47,56.14,114.88,424.19,1104.92,2.06,1.78,2.05,3.69,2.6,5,True,True,True,True,True,90.29,349.14,850.56,75.38,309.98,527.53,90.75,302.53,884.59,-0.2367,XLI,0.54,0.59,clean,0.967,normal,none,strong_buy,82.29006250566174,99.65123652504757,79.13760304375397,6,100.0,90.4,2
WDC,732.62,59.4,149.96,340.65,1137.74,1197.82,1969.55,2.52,2.27,3.34,1.05,1.64,4,True,True,True,True,True,1113.15,1122.78,1715.19,1098.24,1083.62,1392.16,1113.61,1076.16,1749.22,-0.7591,XLK,0.61,2.45,overextended,0.919,normal,none,none,96.50632605610411,94.10272669625871,61.82625237793279,6,100.0,90.1,3
STX,1094.04,45.66,166.04,294.04,733.24,1055.76,4627.92,3.64,1.77,2.49,1.44,4.38,4,True,True,True,True,True,708.64,980.71,4373.56,693.74,941.55,4050.53,709.1,934.1,4407.59,-0.7792,XLK,0.56,1.38,clean,0.925,normal,none,strong_buy,96.32816982214572,94.10272669625871,60.90678503487634,6,100.0,89.9,4
NWPX,140.92,28.66,99.21,123.29,264.51,370.67,1392.8,3.46,1.24,2.15,1.4,3.76,3,True,True,True,True,True,239.91,295.63,1138.44,225.01,256.47,815.41,240.38,249.02,1172.47,-0.076,XLI,0.56,1.65,clean,1.343,normal,none,strong_buy,92.00108705498687,76.28408370323399,84.33734939759037,6,100.0,89.7,5
CECO,99.67,22.61,80.3,76.19,239.48,1122.94,1660.95,3.55,0.95,3.14,4.69,1.48,3,True,True,True,True,True,214.88,1047.9,1406.6,199.97,1008.74,1083.56,215.34,1001.29,1440.63,-0.019,VXUS,0.4,0.7,clean,1.652,confirmed,none,strong_buy,90.1712111604312,76.28408370323399,85.66899175649968,6,100.0,89.4,6
AXSM,247.85,7.47,57.95,67.47,140.89,267.08,2922.56,7.76,1.16,2.09,1.9,10.94,3,True,True,True,True,True,116.29,192.03,2668.21,101.39,152.87,2345.17,116.75,145.42,2702.24,0.3724,,,0.01,clean,0.974,normal,none,strong_buy,81.69520186007186,76.28408370323399,92.13696892834496,6,100.0,88.2,7
SIMO,336.9,30.57,172.22,298.51,371.25,415.14,660.32,5.63,1.73,1.24,1.12,1.59,3,True,True,True,True,True,346.66,340.09,405.97,331.75,300.93,82.93,347.12,293.48,440.0,-0.4655,XLK,0.35,0.57,clean,1.299,normal,none,strong_buy,94.34429447111754,76.28408370323399,71.5282181357007,6,100.0,87.9,8
ESE,353.01,19.08,35.28,76.89,93.63,295.88,766.07,1.85,2.18,1.22,3.16,2.59,3,True,True,True,True,True,69.04,220.84,511.72,54.13,181.68,188.68,69.5,174.22,545.74,-0.0172,XLI,0.62,1.55,clean,0.92,normal,none,strong_buy,83.48884258839871,76.28408370323399,85.73240329740013,6,100.0,87.4,9
FCFS,228.89,1.02,19.16,42.37,78.14,173.46,387.0,18.72,2.21,1.84,2.22,2.23,5,True,True,True,True,True,53.54,98.42,132.65,38.64,59.26,-190.39,54.0,51.81,166.67,0.3375,XLI,0.3,-0.7,clean,1.329,normal,none,strong_buy,63.779931757103604,99.65123652504757,91.81991122384274,6,100.0,87.4,9
CNO,51.46,8.96,29.49,19.48,38.86,110.82,169.28,3.29,0.66,1.99,2.85,1.53,4,True,True,True,True,True,14.26,35.77,-85.07,-0.65,-3.39,-408.11,14.72,-10.84,-51.04,0.1992,XLF,0.72,1.47,clean,1.13,normal,none,strong_buy,67.79901561131744,94.10272669625871,89.66391883322765,6,100.0,87.1,11
BELFB,304.33,19.46,49.12,85.36,241.33,2070.68,1610.68,2.52,1.74,2.83,8.58,0.78,4,True,True,True,True,True,216.73,1995.64,1356.33,201.83,1956.48,1033.29,217.2,1949.03,1390.35,-0.8367,VXUS,0.5,0.56,clean,1.274,normal,none,strong_buy,88.50439351390523,94.10272669625871,58.46544071020926,6,100.0,87.1,11
ORKA,85.38,40.73,119.43,200.85,612.69,82.44,-87.37,2.93,1.68,3.05,0.13,-1.06,3,True,True,True,True,True,588.09,7.39,-341.72,573.19,-31.77,-664.76,588.55,-39.22,-307.7,-0.3531,,,0.96,clean,1.189,normal,none,none,89.13246972853823,76.28408370323399,75.64996829422955,6,100.0,87.1,11
WEBC,311.5,22.16,22.16,49.04,72.1,196.67,777.46,1.0,2.21,1.47,2.73,3.95,3,True,True,True,True,True,47.5,121.62,523.11,32.6,82.46,200.07,47.97,75.01,557.14,0.1379,,,2.51,overextended,,normal,none,none,78.92623124075249,76.28408370323399,88.77615726062143,6,100.0,86.7,14
AXGN,44.95,5.29,46.04,43.2,383.85,116.31,679.03,8.7,0.94,8.89,0.3,5.84,3,True,True,True,True,True,359.26,41.27,424.68,344.35,2.11,101.64,359.72,-5.35,458.7,0.2323,XLV,0.34,-0.46,clean,1.106,normal,none,strong_buy,77.29564876045535,76.28408370323399,90.80532656943564,6,100.0,86.6,15
